Month,Nifty (price index),Gold (USD/oz),USD/INR,Gold (INR/oz),Liquid (index)
2000-01,1546.2000,286.2000,43.6500,12492.6300,100.7486
2000-02,1654.8000,294.2000,43.6500,12841.8300,101.4434
2000-03,1528.4500,281.4000,43.6500,12283.1100,102.2328
2000-04,1406.5500,274.7000,43.7000,12004.3900,102.9357
2000-05,1380.4500,274.8000,44.6500,12269.8200,103.6501
2000-06,1471.4500,291.5000,44.7000,13030.0500,104.4111
2000-07,1332.8500,283.2000,45.1500,12786.4800,105.1964
2000-08,1394.1000,282.1000,45.9000,12948.3900,106.0711
2000-09,1271.6500,276.9000,46.0600,12754.0140,106.9714
2000-10,1172.7500,266.4000,46.9000,12494.1600,107.8607
2000-11,1268.1500,273.3000,46.8700,12809.5710,108.6725
2000-12,1263.5500,273.6000,46.7500,12790.8000,109.4995
2001-01,1371.7000,268.0000,46.4400,12445.9200,110.3240
2001-02,1351.4000,267.8000,46.5900,12476.8020,111.0513
2001-03,1148.2000,259.2000,46.8500,12143.5200,111.8320
2001-04,1125.2500,264.4000,46.8800,12395.0720,112.5897
2001-05,1167.9000,266.9000,47.0000,12544.3000,113.3224
2001-06,1107.9000,271.3000,47.0900,12775.5170,114.0031
2001-07,1072.8500,269.2000,47.1800,12700.8560,114.6900
2001-08,1053.7500,276.5000,47.1700,13042.5050,115.3664
2001-09,913.8500,294.0000,47.9000,14082.6000,116.0303
2001-10,971.9000,280.5000,48.0400,13475.2200,116.7092
2001-11,1067.1500,274.9000,47.9800,13189.7020,117.3533
2001-12,1059.0500,279.0000,48.2700,13467.3300,118.0332
2002-01,1075.4000,282.9000,48.5600,13737.6240,118.7164
2002-02,1142.0500,297.1000,48.7600,14486.5960,119.2949
2002-03,1129.5500,303.7000,48.8300,14829.6710,119.9147
2002-04,1084.5000,309.2000,48.9800,15144.6160,120.4992
2002-05,1028.8000,327.5000,49.0600,16067.1500,121.1765
2002-06,1057.8000,313.9000,48.9100,15352.8490,121.8138
2002-07,958.9000,305.2000,48.6900,14860.1880,122.4189
2002-08,1010.6000,313.9000,48.5200,15230.4280,123.0232
2002-09,963.1500,325.2000,48.4000,15739.6800,123.6043
2002-10,951.4000,318.4000,48.3900,15407.3760,124.2078
2002-11,1050.1500,316.8000,48.3600,15320.4480,124.7649
2002-12,1093.5000,348.2000,48.0000,16713.6000,125.3332
2003-01,1041.8500,369.1000,47.8300,17654.0530,125.9154
2003-02,1063.4000,350.3000,47.6600,16695.2980,126.4663
2003-03,978.2000,336.9000,47.5300,16012.8570,127.0915
2003-04,934.0500,339.4000,47.3700,16077.3780,127.6358
2003-05,1006.8000,365.6000,47.0700,17208.7920,128.1269
2003-06,1134.1500,346.3000,46.4000,16068.3200,128.6469
2003-07,1185.8500,355.8000,46.1500,16420.1700,129.1830
2003-08,1356.5500,376.8000,45.8800,17287.5840,129.7198
2003-09,1417.1000,386.1000,45.7800,17675.6580,130.2130
2003-10,1555.9000,384.6000,45.3300,17433.9180,130.7181
2003-11,1615.2500,396.8000,45.8200,18181.3760,131.1993
2003-12,1879.7500,416.1000,45.5500,18953.3550,131.6679
2004-01,1809.7500,402.9000,45.3200,18259.4280,132.1443
2004-02,1800.3000,396.8000,45.3200,17982.9760,132.6037
2004-03,1771.9000,428.3000,43.4000,18588.2200,133.0844
2004-04,1796.1000,387.5000,44.5200,17251.5000,133.5644
2004-05,1483.6000,394.9000,45.4200,17936.3580,134.0643
2004-06,1505.6000,393.0000,45.9900,18074.0700,134.5551
2004-07,1632.3000,393.7000,46.4000,18267.6800,135.0681
2004-08,1631.7500,412.4000,46.3500,19114.7400,135.6120
2004-09,1745.5000,420.4000,45.9100,19300.5640,136.1407
2004-10,1786.9000,429.4000,45.3000,19451.8200,136.7367
2004-11,1958.8000,453.2000,44.4700,20153.8040,137.3532
2004-12,2080.5000,438.4000,43.2700,18969.5680,137.9739
2005-01,2057.6000,424.1000,43.6000,18490.7600,138.5995
2005-02,2103.2500,437.6000,43.5700,19066.2320,139.1597
2005-03,2035.6500,431.1000,43.6200,18804.5820,139.7815
2005-04,1902.5000,436.1000,43.4800,18961.6280,140.3810
2005-05,2087.5500,418.9000,43.6200,18272.4180,141.0000
2005-06,2220.6000,437.1000,43.5100,19018.2210,141.6124
2005-07,2312.3000,435.8000,43.4000,18913.7200,142.2689
