Month,Nifty,Gold,Liquid
2000-02,0.07132004,0.02795248,0.00689728
2000-03,-0.07527030,-0.04350782,0.00778129
2000-04,-0.07867067,-0.02269132,0.00687540
2000-05,-0.01747271,0.02211108,0.00694053
2000-06,0.06700387,0.06195934,0.00734130
2000-07,-0.09310947,-0.01869294,0.00752166
2000-08,0.04703749,0.01266259,0.00831466
2000-09,-0.08675111,-0.01501160,0.00848764
2000-10,-0.07668964,-0.02037429,0.00831366
2000-11,0.08243059,0.02524467,0.00752601
2000-12,-0.00254400,-0.00146539,0.00761040
2001-01,0.08667551,-0.02696313,0.00752967
2001-02,-0.01371582,0.00248130,0.00659266
2001-03,-0.14927925,-0.02671213,0.00703017
2001-04,-0.01890447,0.02071492,0.00677521
2001-05,0.03898602,0.01203930,0.00650806
2001-06,-0.05029093,0.01843204,0.00600620
2001-07,-0.03055310,-0.00584407,0.00602545
2001-08,-0.01671971,0.02689968,0.00589766
2001-09,-0.13168060,0.07974657,0.00575499
2001-10,0.06460579,-0.04312982,0.00585093
2001-11,0.09908724,-0.02118837,0.00551899
2001-12,-0.00650698,0.02104885,0.00579289
2002-01,0.01652170,0.02007035,0.00578825
2002-02,0.06306027,0.05451976,0.00487300
2002-03,-0.00986190,0.02368224,0.00519554
2002-04,-0.03879981,0.02123749,0.00487469
2002-05,-0.05027674,0.06091498,0.00562102
2002-06,0.02927151,-0.04445723,0.00525847
2002-07,-0.09241260,-0.03208922,0.00496759
2002-08,0.05499928,0.02491489,0.00493694
2002-09,-0.04586897,0.03343649,0.00472281
2002-10,-0.01111622,-0.02111250,0.00488256
2002-11,0.10487774,-0.00564197,0.00448517
2002-12,0.04236315,0.09093416,0.00455555
2003-01,-0.04615032,0.05626873,0.00464484
2003-02,0.02176769,-0.05430793,0.00437514
2003-03,-0.07903704,-0.04087624,0.00494374
2003-04,-0.04405059,0.00402932,0.00428299
2003-05,0.07896996,0.07037304,0.00384733
2003-06,0.12757320,-0.06627264,0.00405836
2003-07,0.04666813,0.02189712,0.00416720
2003-08,0.14503071,0.05282613,0.00415593
2003-09,0.04571862,0.02244813,0.00380152
2003-10,0.09902984,-0.01367644,0.00387888
2003-11,0.03922846,0.04287378,0.00368122
2003-12,0.16483507,0.04245988,0.00357196
2004-01,-0.03615566,-0.03661236,0.00361804
2004-02,-0.00413838,-0.01514023,0.00347674
2004-03,-0.01469182,0.03365650,0.00362476
2004-04,0.01474099,-0.07191221,0.00360693
2004-05,-0.17290475,0.03969846,0.00374272
2004-06,0.01591213,0.00767781,0.00366085
2004-07,0.08523583,0.01071203,0.00381243
2004-08,0.00074639,0.04636933,0.00402753
2004-09,0.07079377,0.00972150,0.00389835
2004-10,0.02480147,0.00783687,0.00437752
2004-11,0.09728346,0.03608835,0.00450886
2004-12,0.06321321,-0.05875992,0.00451935
2005-01,-0.00992364,-0.02524085,0.00453403
2005-02,0.02326938,0.03112214,0.00404137
2005-03,-0.03105740,-0.01372321,0.00446832
2005-04,-0.06432575,0.00835148,0.00428901
2005-05,0.09835009,-0.03634762,0.00440943
2005-06,0.06481833,0.04081578,0.00434334
2005-07,0.04237848,-0.00549478,0.00463605
2005-08,0.03237253,0.01917550,0.00448192
2005-09,0.09197718,0.07659428,0.00427428
2005-10,-0.08750358,0.01443941,0.00467804
2005-11,0.11972776,0.08658573,0.00474036
2005-12,0.07057150,0.02120823,0.00496194
2006-01,0.05909394,0.08298041,0.00530335
2006-02,0.02560767,-0.01458403,0.00509509
2006-03,0.10771162,0.04678685,0.00560657
2006-04,0.04665210,0.12509204,0.00463714
2006-05,-0.13568022,0.02165842,0.00481652
2006-06,0.01969260,-0.05803490,0.00495875
2006-07,0.00587842,0.06419228,0.00545595
2006-08,0.08720576,-0.02074598,0.00545139
2006-09,0.05219789,-0.05715280,0.00534360
2006-10,0.04447314,-0.01864605,0.00563963
2006-11,0.05727841,0.06854355,0.00547822
2006-12,0.00409256,-0.03334034,0.00590256
2007-01,0.03040463,0.03025611,0.00613715
2007-02,-0.08155806,0.02242377,0.00595254
2007-03,0.02144218,-0.02732106,0.00650766
2007-04,0.07078018,-0.02715762,0.00626598
2007-05,0.05194074,-0.04074131,0.00648002
2007-06,0.00632101,-0.01837705,0.00612025
2007-07,0.04984095,0.03334474,0.00458605
2007-08,-0.01323598,0.01506994,0.00562977
2007-09,0.12593772,0.07604611,0.00583146
2007-10,0.17619560,0.04732840,0.00602490
2007-11,-0.02228697,-0.00122491,0.00611787
2007-12,0.06630393,0.05901345,0.00633428
2008-01,-0.16200760,0.10458862,0.00605237
2008-02,0.01783289,0.06801924,0.00582466
2008-03,-0.09253206,-0.05345268,0.00626546
