Date,Nifty,Gold,Liquid
2000-01-01,1592.2,283.7,100.0
2000-01-02,1592.2,283.7,100.0253397260274
2000-01-03,1592.2,283.7,100.05068587307196
2000-01-04,1638.7,283.7,100.07603844276076
2000-01-05,1595.8,282.1,100.10139743672124
2000-01-06,1617.6,282.4,100.1267628565813
2000-01-07,1613.3,282.9,100.15213470396928
2000-01-08,1613.3,282.9,100.17751298051384
2000-01-09,1613.3,282.9,100.2028976878442
2000-01-10,1632.95,282.7,100.2282888275898
2000-01-11,1572.5,284.4,100.25368640138068
2000-01-12,1624.8,283.7,100.27909041084716
2000-01-13,1621.4,285.1,100.30450085762004
2000-01-14,1622.75,284.9,100.32991774333053
2000-01-15,1622.75,284.9,100.35453595637988
2000-01-16,1622.75,284.9,100.37916021006424
2000-01-17,1611.6,284.9,100.40379050586584
2000-01-18,1606.7,289.6,100.4284268452672
2000-01-19,1634.85,290.3,100.45306922975128
2000-01-20,1601.1,289.3,100.4777176608014
2000-01-21,1620.6,289.7,100.5023721399012
2000-01-22,1620.6,289.7,100.52703266853467
2000-01-23,1620.6,289.7,100.55169924818628
2000-01-24,1613.6,288.1,100.57637188034072
2000-01-25,1586.4,286.6,100.60105056648312
2000-01-26,1586.4,286.5,100.62573530809898
2000-01-27,1603.9,287.1,100.65042610667412
2000-01-28,1599.1,286.0,100.6751229636948
2000-01-29,1599.1,286.0,100.69959529324264
2000-01-30,1599.1,286.0,100.72407357157796
2000-01-31,1546.2,286.2,100.74855780014686
2000-02-01,1549.5,285.4,100.77304798039567
2000-02-02,1588.0,287.7,100.7975441137712
2000-02-03,1597.9,289.9,100.82204620172053
2000-02-04,1599.75,313.0,100.84655424569108
2000-02-05,1599.75,313.0,100.8693389359443
2000-02-06,1599.75,313.0,100.89212877403936
2000-02-07,1636.6,304.5,100.91492376113928
2000-02-08,1662.75,301.7,100.93772389840748
2000-02-09,1689.65,308.6,100.96052918700748
2000-02-10,1711.2,318.7,100.9833396281032
2000-02-11,1756.0,313.6,101.00615522285874
2000-02-12,1756.0,313.6,101.0302456059732
2000-02-13,1756.0,313.6,101.05434173474302
2000-02-14,1744.5,311.0,101.0784436105386
2000-02-15,1702.55,304.1,101.10255123473056
2000-02-16,1711.1,305.0,101.12666460869
2000-02-17,1742.1,303.8,101.1507837337882
2000-02-18,1717.8,307.3,101.17490861139687
2000-02-19,1717.8,307.3,101.199039242888
2000-02-20,1717.8,307.3,101.2231756296339
2000-02-21,1753.5,307.3,101.24731777300724
2000-02-22,1739.05,307.7,101.27146567438096
2000-02-23,1696.4,302.4,101.29561933512842
2000-02-24,1732.0,300.9,101.31977875662322
2000-02-25,1710.45,294.6,101.34394394023934
2000-02-26,1710.45,294.6,101.36881096753588
2000-02-27,1710.45,294.6,101.39368409651962
2000-02-28,1722.55,294.2,101.41856332868775
2000-02-29,1654.8,294.2,101.44344866553786
