Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,10332.591765,0.000000,0.000000,10332.591765,0.033259,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,21207.783911,0.000000,0.000000,21207.783911,0.043044,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,32563.383916,0.000000,0.000000,32563.383916,0.043438,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,44467.555976,0.000000,0.000000,44467.555976,0.044737,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,55743.076685,0.000000,0.000000,55743.076685,0.023418,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,66451.514892,0.000000,0.000000,66451.514892,0.010776,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,75340.229631,0.000000,0.000000,75340.229631,-0.014536,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,88271.294710,0.000000,0.000000,88271.294710,0.034346,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,99174.274791,0.000000,0.000000,99174.274791,0.009189,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,109494.451964,0.000000,0.000000,109494.451964,0.002933,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,120608.792294,0.000000,0.000000,120608.792294,0.009325,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,135511.288067,0.000000,0.000000,135511.288067,0.037536,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
