Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2010-02,10000.000000,10000.000000,10083.184922,0.000000,0.000000,10083.184922,0.008318,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-03,10000.000000,20000.000000,21427.624279,0.000000,0.000000,21427.624279,0.066944,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-04,10000.000000,30000.000000,31624.636262,0.000000,0.000000,31624.636262,0.006269,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-05,10000.000000,40000.000000,40148.251336,0.000000,0.000000,40148.251336,-0.035469,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-06,10000.000000,50000.000000,52422.336478,0.000000,0.000000,52422.336478,0.045347,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-07,10000.000000,60000.000000,63127.276034,0.000000,0.000000,63127.276034,0.011293,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-08,10000.000000,70000.000000,73670.531064,0.000000,0.000000,73670.531064,0.007429,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-09,10000.000000,80000.000000,93469.282421,0.000000,0.000000,93469.282421,0.117111,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-10,10000.000000,90000.000000,103361.183364,0.000000,0.000000,103361.183364,-0.001045,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-11,10000.000000,100000.000000,110554.353998,0.000000,0.000000,110554.353998,-0.024760,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2010-12,10000.000000,110000.000000,126263.488055,0.000000,0.000000,126263.488055,0.047357,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
2011-01,10000.000000,120000.000000,122439.249676,0.000000,0.000000,122439.249676,-0.101452,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
