Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,10202.788399,0.000000,0.000000,10202.788399,0.020279,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,20973.363856,0.000000,0.000000,20973.363856,0.038142,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,32263.016684,0.000000,0.000000,32263.016684,0.041637,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,44122.295213,0.000000,0.000000,44122.295213,0.043993,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,55061.156474,0.000000,0.000000,55061.156474,0.017347,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,65511.805180,0.000000,0.000000,65511.805180,0.006927,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,73684.336296,0.000000,0.000000,73684.336296,-0.024201,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,86447.164901,0.000000,0.000000,86447.164901,0.033015,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,97062.007331,0.000000,0.000000,97062.007331,0.006375,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,105830.091097,0.000000,0.000000,105830.091097,-0.011507,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,115671.693131,0.000000,0.000000,115671.693131,-0.001368,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,127642.037221,0.000000,0.000000,127642.037221,0.015679,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,130596.041117,0.000000,0.000000,130596.041117,-0.051191,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,141207.938934,0.000000,0.000000,141207.938934,0.004352,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,151964.814881,0.000000,0.000000,151964.814881,0.005006,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,161545.760746,0.000000,0.000000,161545.760746,-0.002587,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-06,10000.000000,170000.000000,168365.258419,0.000000,0.000000,168365.258419,-0.018540,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-07,10000.000000,180000.000000,176734.993641,0.000000,0.000000,176734.993641,-0.009140,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-08,10000.000000,190000.000000,203915.940348,0.000000,0.000000,203915.940348,0.092007,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-09,10000.000000,200000.000000,216915.528479,0.000000,0.000000,216915.528479,0.014022,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-10,10000.000000,210000.000000,225969.765541,0.000000,0.000000,225969.765541,-0.004168,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-11,10000.000000,220000.000000,238993.976886,0.000000,0.000000,238993.976886,0.012816,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1984-12,10000.000000,230000.000000,247222.273328,0.000000,0.000000,247222.273328,-0.007115,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-01,10000.000000,240000.000000,269294.994772,0.000000,0.000000,269294.994772,0.046935,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-02,10000.000000,250000.000000,295448.225638,0.000000,0.000000,295448.225638,0.057836,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-03,10000.000000,260000.000000,303977.259626,0.000000,0.000000,303977.259626,-0.004816,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-04,10000.000000,270000.000000,317184.519812,0.000000,0.000000,317184.519812,0.010215,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-05,10000.000000,280000.000000,336124.817215,0.000000,0.000000,336124.817215,0.027325,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-06,10000.000000,290000.000000,354805.646057,0.000000,0.000000,354805.646057,0.025080,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-07,10000.000000,300000.000000,372993.410423,0.000000,0.000000,372993.410423,0.022444,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
1985-08,10000.000000,310000.000000,375916.179252,0.000000,0.000000,375916.179252,-0.018479,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,10000.000000,0.000000,10.000000
