Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,3444.197255,3349.007407,3442.476910,10235.681572,0.023568,0.333333,0.333333,0.333333,0.336489,0.327189,0.336321,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,7069.244645,6856.030265,5820.479462,19745.754372,-0.024211,0.333333,0.333333,0.333333,0.358013,0.347215,0.294771,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,10854.272915,10361.318883,9450.255579,30665.847377,0.030932,0.333333,0.333333,0.333333,0.353953,0.337878,0.308169,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,14822.159307,13836.486298,12937.220638,41595.866243,0.022870,0.333333,0.333333,0.333333,0.356337,0.332641,0.311022,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,18580.467895,16932.585897,15430.411846,50943.465638,-0.012644,0.333333,0.333333,0.333333,0.364727,0.332380,0.302893,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,22149.675908,19892.726557,18376.366060,60418.768525,-0.008610,0.333333,0.333333,0.333333,0.366603,0.329247,0.304150,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,25112.311430,23041.971021,22628.732402,70783.014853,0.005173,0.333333,0.333333,0.333333,0.354779,0.325530,0.319692,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,29422.434212,26972.549195,25742.307084,82137.290491,0.016764,0.333333,0.333333,0.333333,0.358210,0.328384,0.313406,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,33056.524711,30876.709585,27880.006705,91813.241001,-0.003517,0.333333,0.333333,0.333333,0.360041,0.336299,0.303660,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,36496.337457,34739.056496,30701.666670,101937.060624,0.001216,0.333333,0.333333,0.333333,0.358028,0.340789,0.301183,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,40200.873501,38541.659251,34936.524514,113679.057267,0.015562,0.333333,0.333333,0.333333,0.353635,0.339039,0.307326,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,45168.101089,43590.212252,37377.427902,126135.741244,0.019863,0.333333,0.333333,0.333333,0.358091,0.345582,0.296327,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,46140.972613,47042.811715,42466.288675,135650.073002,-0.003568,0.333333,0.333333,0.333333,0.340147,0.346795,0.313058,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,49554.698527,49372.271690,46618.578780,145545.548997,-0.000718,0.333333,0.333333,0.333333,0.340476,0.339222,0.320302,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,53676.230547,52849.031261,48776.237878,155301.499686,-0.001569,0.333333,0.333333,0.333333,0.345626,0.340300,0.314074,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,57896.372145,55394.182738,52497.159640,165787.714524,0.002941,0.333333,0.333333,0.333333,0.349220,0.334127,0.316653,10000.000000,0.000000,10.000000
