Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2010-02,10000.000000,10000.000000,3361.061641,3435.607354,3340.488767,10137.157762,0.013716,0.333333,0.333333,0.333333,0.331559,0.338912,0.329529,10000.000000,0.000000,10.000000
2010-03,10000.000000,20000.000000,7142.550963,6577.999660,6695.061791,20415.612414,0.013828,0.333333,0.333333,0.333333,0.349857,0.322204,0.327938,10000.000000,0.000000,10.000000
2010-04,10000.000000,30000.000000,10541.443377,10321.464487,10059.788050,30922.695915,0.016672,0.333333,0.333333,0.333333,0.340897,0.333783,0.325321,10000.000000,0.000000,10.000000
2010-05,10000.000000,40000.000000,13382.596861,14862.821170,13438.987602,41684.405632,0.018613,0.333333,0.333333,0.333333,0.321046,0.356556,0.322398,10000.000000,0.000000,10.000000
2010-06,10000.000000,50000.000000,17474.055195,18514.261268,16841.947992,52830.264455,0.022170,0.333333,0.333333,0.333333,0.330758,0.350448,0.318794,10000.000000,0.000000,10.000000
2010-07,10000.000000,60000.000000,21042.389626,20730.248463,20266.089041,62038.727130,-0.012598,0.333333,0.333333,0.333333,0.339182,0.334150,0.326668,10000.000000,0.000000,10.000000
2010-08,10000.000000,70000.000000,24556.756955,25776.982482,23718.595809,74052.335246,0.027952,0.333333,0.333333,0.333333,0.331614,0.348091,0.320295,10000.000000,0.000000,10.000000
2010-09,10000.000000,80000.000000,31156.347500,28892.308179,27185.020223,87233.675901,0.037850,0.333333,0.333333,0.333333,0.357160,0.331206,0.311634,10000.000000,0.000000,10.000000
2010-10,10000.000000,90000.000000,34453.434334,33313.398144,30685.536177,98452.368655,0.012534,0.333333,0.333333,0.333333,0.349950,0.338371,0.311679,10000.000000,0.000000,10.000000
2010-11,10000.000000,100000.000000,36851.017994,38582.800046,34207.013764,109640.831804,0.010958,0.333333,0.333333,0.333333,0.336107,0.351902,0.311992,10000.000000,0.000000,10.000000
2010-12,10000.000000,110000.000000,42087.348832,42014.076050,37765.130024,121866.554905,0.018603,0.333333,0.333333,0.333333,0.345356,0.344755,0.309889,10000.000000,0.000000,10.000000
2011-01,10000.000000,120000.000000,40812.551579,43636.074884,41346.188984,125794.815447,-0.046045,0.333333,0.333333,0.333333,0.324437,0.346883,0.328680,10000.000000,0.000000,10.000000
2011-02,10000.000000,130000.000000,42806.262534,48819.933505,44922.292697,136548.488736,0.005550,0.333333,0.333333,0.333333,0.313488,0.357528,0.328984,10000.000000,0.000000,10.000000
2011-03,10000.000000,140000.000000,50516.113507,52504.906507,48548.519553,151569.539568,0.034262,0.333333,0.333333,0.333333,0.333287,0.346408,0.320305,10000.000000,0.000000,10.000000
2011-04,10000.000000,150000.000000,53126.811170,59945.782851,52190.498812,165263.092834,0.022860,0.333333,0.333333,0.333333,0.321468,0.362729,0.315803,10000.000000,0.000000,10.000000
2011-05,10000.000000,160000.000000,54658.771747,63608.479724,55898.119132,174165.370603,-0.006263,0.333333,0.333333,0.333333,0.313833,0.365219,0.320949,10000.000000,0.000000,10.000000
2011-06,10000.000000,170000.000000,58961.741781,64803.253935,59629.384953,183394.380670,-0.004186,0.333333,0.333333,0.333333,0.321502,0.353355,0.325143,10000.000000,0.000000,10.000000
2011-07,10000.000000,180000.000000,60534.944623,73307.556354,63398.575283,197241.076260,0.019890,0.333333,0.333333,0.333333,0.306908,0.371665,0.321427,10000.000000,0.000000,10.000000
2011-08,10000.000000,190000.000000,58330.742326,89152.820482,67204.009063,214687.571871,0.035932,0.333333,0.333333,0.333333,0.271701,0.415268,0.313032,10000.000000,0.000000,10.000000
2011-09,10000.000000,200000.000000,61016.084855,87741.000510,71023.224433,219780.309798,-0.021840,0.333333,0.333333,0.333333,0.277623,0.399221,0.323156,10000.000000,0.000000,10.000000
2011-10,10000.000000,210000.000000,69406.419407,96096.533113,74893.676368,240396.628888,0.046202,0.333333,0.333333,0.333333,0.288716,0.399742,0.311542,10000.000000,0.000000,10.000000
2011-11,10000.000000,220000.000000,66062.368407,108022.846088,78791.778471,252876.992966,0.009906,0.333333,0.333333,0.333333,0.261243,0.427175,0.311581,10000.000000,0.000000,10.000000
2011-12,10000.000000,230000.000000,66484.740372,101379.996013,82721.363255,250586.099640,-0.046755,0.333333,0.333333,0.333333,0.265317,0.404572,0.330112,10000.000000,0.000000,10.000000
2012-01,10000.000000,240000.000000,78571.338206,108697.364024,86681.631206,273950.333436,0.051285,0.333333,0.333333,0.333333,0.286809,0.396778,0.316414,10000.000000,0.000000,10.000000
2012-02,10000.000000,250000.000000,84919.713127,108930.690987,90651.285038,284501.689152,0.001942,0.333333,0.333333,0.333333,0.298486,0.382882,0.318632,10000.000000,0.000000,10.000000
2012-03,10000.000000,260000.000000,86876.513640,113929.192756,94704.290846,295509.997242,0.003424,0.333333,0.333333,0.333333,0.293988,0.385534,0.320477,10000.000000,0.000000,10.000000
2012-04,10000.000000,270000.000000,89497.184254,120755.292657,98733.342737,308985.819648,0.011377,0.333333,0.333333,0.333333,0.289648,0.390812,0.319540,10000.000000,0.000000,10.000000
2012-05,10000.000000,280000.000000,87199.130752,124891.194852,102795.318421,314885.644025,-0.012854,0.333333,0.333333,0.333333,0.276923,0.396624,0.326453,10000.000000,0.000000,10.000000
2012-06,10000.000000,290000.000000,97147.799772,129610.234806,106849.910540,333607.945119,0.026847,0.333333,0.333333,0.333333,0.291203,0.388511,0.320286,10000.000000,0.000000,10.000000
2012-07,10000.000000,300000.000000,99637.267494,133753.388425,110952.044499,344342.700418,0.002138,0.333333,0.333333,0.333333,0.289355,0.388431,0.322214,10000.000000,0.000000,10.000000
2012-08,10000.000000,310000.000000,103660.147466,143203.324106,115084.220128,361947.691700,0.021462,0.333333,0.333333,0.333333,0.286395,0.395646,0.317958,10000.000000,0.000000,10.000000
2012-09,10000.000000,320000.000000,116156.509618,146813.028955,119210.107206,382179.645780,0.027509,0.333333,0.333333,0.333333,0.303932,0.384147,0.311922,10000.000000,0.000000,10.000000
2012-10,10000.000000,330000.000000,117864.780803,147923.844526,123385.802379,389174.427708,-0.007663,0.333333,0.333333,0.333333,0.302858,0.380097,0.317045,10000.000000,0.000000,10.000000
2012-11,10000.000000,340000.000000,126936.796537,151978.721209,127569.527499,406485.045245,0.018314,0.333333,0.333333,0.333333,0.312279,0.373885,0.313836,10000.000000,0.000000,10.000000
