Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,3400.929466,3306.935488,3399.230767,10107.095720,0.010710,0.333333,0.333333,0.333333,0.336489,0.327189,0.336321,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,6991.104808,6780.847837,5756.151972,19528.104617,-0.028795,0.333333,0.333333,0.333333,0.358002,0.347235,0.294762,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,10754.151733,10267.121063,9367.652981,30388.925777,0.029153,0.333333,0.333333,0.333333,0.353884,0.337857,0.308259,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,14707.074831,13731.523055,12844.467938,41283.065825,0.022138,0.333333,0.333333,0.333333,0.356250,0.332619,0.311132,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,18353.167949,16729.241885,15251.436165,50333.845998,-0.018509,0.333333,0.333333,0.333333,0.364629,0.332366,0.303006,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,21836.450684,19618.128998,18131.769250,59586.348931,-0.012389,0.333333,0.333333,0.333333,0.366467,0.329239,0.304294,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,24560.370511,22546.228114,22154.340973,69260.939598,-0.004676,0.333333,0.333333,0.333333,0.354606,0.325526,0.319868,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,28814.419041,26431.529463,25239.415886,80485.364390,0.015448,0.333333,0.333333,0.333333,0.358008,0.328402,0.313590,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,32352.470510,30240.946860,27321.405474,89914.822843,-0.006305,0.333333,0.333333,0.333333,0.359812,0.336329,0.303859,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,35274.947015,33602.614880,29718.117382,98595.679277,-0.013203,0.333333,0.333333,0.333333,0.357774,0.340812,0.301414,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,38555.261654,36995.077842,33567.492235,109117.831732,0.004808,0.333333,0.333333,0.333333,0.353336,0.339038,0.307626,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,42545.159193,41095.901760,35281.074818,118922.135771,-0.001643,0.333333,0.333333,0.333333,0.357756,0.345570,0.296674,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,43529.725168,44423.821268,40172.521441,128126.067878,-0.006175,0.333333,0.333333,0.333333,0.339741,0.346720,0.313539,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,47066.954613,46932.854022,44404.315582,138404.124218,0.002013,0.333333,0.333333,0.333333,0.340069,0.339100,0.320831,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,50652.504830,49911.368270,46159.438411,146723.311511,-0.011326,0.333333,0.333333,0.333333,0.345225,0.340173,0.314602,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,53846.048554,51559.761761,48970.037660,154375.847974,-0.014978,0.333333,0.333333,0.333333,0.348798,0.333989,0.317213,10000.000000,0.000000,10.000000
1984-06,10000.000000,170000.000000,56119.118803,55061.260844,52438.916353,163619.296001,-0.004603,0.333333,0.333333,0.333333,0.342986,0.336521,0.320493,10000.000000,0.000000,10.000000
1984-07,10000.000000,180000.000000,58908.964333,59682.739145,51342.923245,169934.626723,-0.021223,0.333333,0.333333,0.333333,0.346657,0.351210,0.302133,10000.000000,0.000000,10.000000
1984-08,10000.000000,190000.000000,67968.893892,65951.264240,54673.217905,188593.376037,0.048122,0.333333,0.333333,0.333333,0.360399,0.349701,0.289900,10000.000000,0.000000,10.000000
1984-09,10000.000000,200000.000000,72301.785868,70790.291069,56670.213331,199762.290268,0.005886,0.333333,0.333333,0.333333,0.361939,0.354373,0.283688,10000.000000,0.000000,10.000000
1984-10,10000.000000,210000.000000,75319.607573,76407.131331,60177.158933,211903.897836,0.010210,0.333333,0.333333,0.333333,0.355442,0.360574,0.283983,10000.000000,0.000000,10.000000
1984-11,10000.000000,220000.000000,79660.750609,83278.164256,63693.869495,226632.784360,0.021311,0.333333,0.333333,0.333333,0.351497,0.367459,0.281044,10000.000000,0.000000,10.000000
1984-12,10000.000000,230000.000000,82403.371013,87796.120338,62712.860778,232912.352129,-0.015722,0.333333,0.333333,0.333333,0.353796,0.376949,0.269255,10000.000000,0.000000,10.000000
1985-01,10000.000000,240000.000000,89760.548999,92639.260864,62534.915561,244934.725424,0.008326,0.333333,0.333333,0.333333,0.366467,0.378220,0.255313,10000.000000,0.000000,10.000000
1985-02,10000.000000,250000.000000,98477.698361,96152.309528,64996.151442,259626.159332,0.018402,0.333333,0.333333,0.333333,0.379306,0.370349,0.250345,10000.000000,0.000000,10.000000
1985-03,10000.000000,260000.000000,101320.293258,98436.865338,71754.723705,271511.882300,0.006994,0.333333,0.333333,0.333333,0.373171,0.362551,0.264278,10000.000000,0.000000,10.000000
1985-04,10000.000000,270000.000000,105722.269211,105329.361412,78194.020217,289245.650840,0.027472,0.333333,0.333333,0.333333,0.365510,0.364152,0.270338,10000.000000,0.000000,10.000000
1985-05,10000.000000,280000.000000,112035.220640,113465.426605,78782.210709,304282.857954,0.016833,0.333333,0.333333,0.333333,0.368194,0.372895,0.258911,10000.000000,0.000000,10.000000
1985-06,10000.000000,290000.000000,118261.657267,122814.320253,82372.782549,323448.760069,0.029164,0.333333,0.333333,0.333333,0.365627,0.379703,0.254670,10000.000000,0.000000,10.000000
