Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,6199.555059,2009.404444,2065.486146,10274.445650,0.027445,0.600000,0.200000,0.200000,0.603396,0.195573,0.201031,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,12724.652389,4113.622048,3492.290979,20330.565416,0.002768,0.600000,0.200000,0.200000,0.625888,0.202337,0.171775,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,19537.830485,6216.835595,5670.193522,31424.859602,0.036079,0.600000,0.200000,0.200000,0.621732,0.197832,0.180437,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,26680.152458,8301.973917,7762.408023,42744.534399,0.031857,0.600000,0.200000,0.200000,0.624177,0.194223,0.181600,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,33445.255331,10159.675433,9258.357928,52863.288691,0.002251,0.600000,0.200000,0.200000,0.632675,0.192188,0.175138,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,39870.034028,11935.817369,11025.983430,62831.834827,-0.000500,0.600000,0.200000,0.200000,0.634551,0.189964,0.175484,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,45202.981696,13825.427666,13577.474060,72605.883422,-0.003102,0.600000,0.200000,0.200000,0.622580,0.190417,0.187002,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,52961.375589,16183.824334,15445.659081,84590.859003,0.024029,0.600000,0.200000,0.200000,0.626089,0.191319,0.182593,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,59502.915144,18526.378283,16728.314651,94757.608078,0.001763,0.600000,0.200000,0.200000,0.627949,0.195513,0.176538,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,65694.762887,20843.849428,18421.356397,104959.968711,0.001932,0.600000,0.200000,0.200000,0.625903,0.198589,0.175508,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,72363.110404,23125.470531,20962.329790,116450.910725,0.012969,0.600000,0.200000,0.200000,0.621404,0.198586,0.180010,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,78715.100660,26325.088782,24699.500317,129739.689759,0.026008,0.600000,0.200000,0.200000,0.606716,0.202907,0.190377,12492.563969,2492.563969,14.985128
1984-02,10000.000000,130000.000000,80592.349312,28397.136796,27850.887620,136840.373727,-0.020748,0.600000,0.200000,0.200000,0.588952,0.207520,0.203528,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,86733.104613,29791.412788,30384.677202,146909.194603,0.000469,0.600000,0.200000,0.200000,0.590386,0.202788,0.206826,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,94115.173295,31877.943651,31622.485198,157615.602144,0.004502,0.600000,0.200000,0.200000,0.597118,0.202251,0.200630,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,101672.592760,33402.698203,33872.595882,168947.886845,0.007948,0.600000,0.200000,0.200000,0.601799,0.197710,0.200491,10000.000000,0.000000,10.000000
1984-06,10000.000000,170000.000000,106127.408866,35662.829938,36119.176234,177909.415038,-0.005803,0.600000,0.200000,0.200000,0.596525,0.200455,0.203020,10000.000000,0.000000,10.000000
1984-07,10000.000000,180000.000000,114191.802310,39564.034661,36067.617581,189823.454552,0.010186,0.600000,0.200000,0.200000,0.601568,0.208425,0.190006,10000.000000,0.000000,10.000000
1984-08,10000.000000,190000.000000,133382.603913,44206.817352,38683.994854,216273.416118,0.082322,0.600000,0.200000,0.200000,0.616731,0.204402,0.178866,10000.000000,0.000000,10.000000
1984-09,10000.000000,200000.000000,145034.720640,48446.291364,40786.728537,234267.740541,0.035330,0.600000,0.200000,0.200000,0.619098,0.206799,0.174103,10000.000000,0.000000,10.000000
1984-10,10000.000000,210000.000000,152541.589695,52739.184715,43520.187530,248800.961940,0.018558,0.600000,0.200000,0.200000,0.613107,0.211973,0.174920,10000.000000,0.000000,10.000000
1984-11,10000.000000,220000.000000,161263.004514,57413.340099,45847.779508,264524.124122,0.022114,0.600000,0.200000,0.200000,0.609634,0.217044,0.173322,10000.000000,0.000000,10.000000
1984-12,10000.000000,230000.000000,169017.268932,61293.876227,45561.776358,275872.921516,0.004913,0.600000,0.200000,0.200000,0.612663,0.222182,0.165155,10000.000000,0.000000,10.000000
1985-01,10000.000000,240000.000000,184228.478440,59628.393884,55538.170114,299395.042438,0.047301,0.600000,0.200000,0.200000,0.615336,0.199163,0.185501,19612.807945,9612.807945,29.225616
1985-02,10000.000000,250000.000000,206174.245285,63260.914730,58171.424978,327606.584993,0.058862,0.600000,0.200000,0.200000,0.629335,0.193100,0.177565,10000.000000,0.000000,10.000000
1985-03,10000.000000,260000.000000,210167.762028,64272.079893,62893.314823,337333.156744,-0.000810,0.600000,0.200000,0.200000,0.623027,0.190530,0.186443,10000.000000,0.000000,10.000000
1985-04,10000.000000,270000.000000,210550.847333,66132.251047,65156.314558,341839.412939,-0.015817,0.600000,0.200000,0.200000,0.615935,0.193460,0.190605,10000.000000,0.000000,10.000000
1985-05,10000.000000,280000.000000,224262.592215,71717.670656,65418.717619,361398.980489,0.027170,0.600000,0.200000,0.200000,0.620540,0.198445,0.181015,10000.000000,0.000000,10.000000
1985-06,10000.000000,290000.000000,234905.116935,77142.721389,67305.634803,379353.473127,0.021418,0.600000,0.200000,0.200000,0.619225,0.203353,0.177422,10000.000000,0.000000,10.000000
1985-07,10000.000000,300000.000000,238212.590981,76483.568586,67024.830092,381720.989659,-0.019603,0.600000,0.200000,0.200000,0.624049,0.200365,0.175586,10000.000000,0.000000,10.000000
1985-08,10000.000000,310000.000000,237036.304150,78181.308687,71055.186499,386272.799336,-0.013908,0.600000,0.200000,0.200000,0.613650,0.202399,0.183951,10000.000000,0.000000,10.000000
1985-09,10000.000000,320000.000000,243014.544255,82218.327110,72872.776993,398105.648358,0.004625,0.600000,0.200000,0.200000,0.610427,0.206524,0.183049,10000.000000,0.000000,10.000000
1985-10,10000.000000,330000.000000,250808.708834,84964.327063,74991.122942,410764.158839,0.006514,0.600000,0.200000,0.200000,0.610591,0.206845,0.182565,10000.000000,0.000000,10.000000
1985-11,10000.000000,340000.000000,274832.760031,90716.799304,76473.738197,442023.297532,0.050525,0.600000,0.200000,0.200000,0.621761,0.205231,0.173008,10000.000000,0.000000,10.000000
1985-12,10000.000000,350000.000000,296948.484788,96964.399098,78804.666931,472717.550817,0.045781,0.600000,0.200000,0.200000,0.628173,0.205121,0.166706,10000.000000,0.000000,10.000000
1986-01,10000.000000,360000.000000,293965.228231,98444.701444,104808.330787,497218.260462,0.030040,0.600000,0.200000,0.200000,0.591220,0.197991,0.210789,25738.843232,15738.843232,41.477686
1986-02,10000.000000,370000.000000,320329.719314,105518.598069,105423.637663,531271.955046,0.047423,0.600000,0.200000,0.200000,0.602949,0.198615,0.198436,10000.000000,0.000000,10.000000
1986-03,10000.000000,380000.000000,344230.624564,114292.362288,108921.867294,567444.854145,0.048354,0.600000,0.200000,0.200000,0.606633,0.201416,0.191951,10000.000000,0.000000,10.000000
1986-04,10000.000000,390000.000000,362876.715781,121960.685531,109920.674134,594758.075447,0.029982,0.600000,0.200000,0.200000,0.610125,0.205059,0.184816,10000.000000,0.000000,10.000000
1986-05,10000.000000,400000.000000,372853.334382,121943.220826,113235.744282,608032.299490,0.005414,0.600000,0.200000,0.200000,0.613213,0.200554,0.186233,10000.000000,0.000000,10.000000
1986-06,10000.000000,410000.000000,394882.935203,125298.807959,116802.950323,636984.693484,0.030666,0.600000,0.200000,0.200000,0.619925,0.196706,0.183369,10000.000000,0.000000,10.000000
1986-07,10000.000000,420000.000000,390805.083777,131604.527278,119663.253752,642072.864806,-0.007592,0.600000,0.200000,0.200000,0.608662,0.204968,0.186370,10000.000000,0.000000,10.000000
1986-08,10000.000000,430000.000000,407763.832510,136272.759028,132421.549359,676458.140897,0.037397,0.600000,0.200000,0.200000,0.602792,0.201450,0.195757,10000.000000,0.000000,10.000000
1986-09,10000.000000,440000.000000,407095.605082,137599.393257,150330.882534,695025.880873,0.012481,0.600000,0.200000,0.200000,0.585727,0.197977,0.216295,10000.000000,0.000000,10.000000
1986-10,10000.000000,450000.000000,418348.084955,142576.180491,156622.888364,717547.153810,0.017760,0.600000,0.200000,0.200000,0.583025,0.198699,0.218275,10000.000000,0.000000,10.000000
1986-11,10000.000000,460000.000000,447112.992303,149895.298550,151530.314883,748538.605736,0.028852,0.600000,0.200000,0.200000,0.597315,0.200251,0.202435,10000.000000,0.000000,10.000000
1986-12,10000.000000,470000.000000,463405.511522,155161.489955,151664.305411,770231.306888,0.015415,0.600000,0.200000,0.200000,0.601645,0.201448,0.196907,10000.000000,0.000000,10.000000
1987-01,10000.000000,480000.000000,494846.681132,155872.609699,161352.906873,812072.197703,0.040810,0.600000,0.200000,0.200000,0.609363,0.191944,0.198693,12381.955967,2381.955967,14.763912
1987-02,10000.000000,490000.000000,534538.380521,157319.797928,160950.025537,852808.203986,0.037388,0.600000,0.200000,0.200000,0.626798,0.184473,0.188729,10000.000000,0.000000,10.000000
1987-03,10000.000000,500000.000000,558205.818559,158581.011878,164436.731717,881223.562155,0.021344,0.600000,0.200000,0.200000,0.633444,0.179955,0.186600,10000.000000,0.000000,10.000000
1987-04,10000.000000,510000.000000,554645.486078,151907.722372,176731.215614,883284.424063,-0.008908,0.600000,0.200000,0.200000,0.627935,0.171981,0.200084,10000.000000,0.000000,10.000000
1987-05,10000.000000,520000.000000,555100.010363,147233.427910,185531.257279,887864.695552,-0.006067,0.600000,0.200000,0.200000,0.625208,0.165829,0.208963,10000.000000,0.000000,10.000000
1987-06,10000.000000,530000.000000,594240.919289,154438.402434,185926.289328,934605.611051,0.040920,0.600000,0.200000,0.200000,0.635820,0.165244,0.198936,10000.000000,0.000000,10.000000
1987-07,10000.000000,540000.000000,627451.324883,159163.831455,190921.252700,977536.409038,0.034862,0.600000,0.200000,0.200000,0.641870,0.162821,0.195309,10000.000000,0.000000,10.000000
1987-08,10000.000000,550000.000000,678089.727642,159918.212633,198297.090513,1036305.030788,0.049384,0.600000,0.200000,0.200000,0.654334,0.154316,0.191350,10000.000000,0.000000,10.000000
1987-09,10000.000000,560000.000000,658693.695027,155209.973213,198457.035306,1012360.703546,-0.032442,0.600000,0.200000,0.200000,0.650651,0.153315,0.196034,10000.000000,0.000000,10.000000
1987-10,10000.000000,570000.000000,588132.504002,158048.797906,203407.459104,949588.761012,-0.071180,0.600000,0.200000,0.200000,0.619355,0.166439,0.214206,10000.000000,0.000000,10.000000
1987-11,10000.000000,580000.000000,518200.225548,167279.595803,205608.330872,891088.152224,-0.071385,0.600000,0.200000,0.200000,0.581536,0.187725,0.230738,10000.000000,0.000000,10.000000
1987-12,10000.000000,590000.000000,515698.904685,168612.982216,214965.978190,899277.865090,-0.002009,0.600000,0.200000,0.200000,0.573459,0.187498,0.239043,10000.000000,0.000000,10.000000
1988-01,10000.000000,600000.000000,573300.740779,188538.891691,179920.936350,941760.568819,0.035724,0.600000,0.200000,0.200000,0.608754,0.200198,0.191047,45110.405172,35110.405172,80.220810
1988-02,10000.000000,610000.000000,599747.428176,198168.938209,168900.324647,966816.691032,0.015819,0.600000,0.200000,0.200000,0.620332,0.204971,0.174697,10000.000000,0.000000,10.000000
1988-03,10000.000000,620000.000000,621207.781234,198095.808251,170543.160734,989846.750219,0.013339,0.600000,0.200000,0.200000,0.627580,0.200128,0.172292,10000.000000,0.000000,10.000000
1988-04,10000.000000,630000.000000,630193.748606,199611.186726,178065.987484,1007870.922816,0.008025,0.600000,0.200000,0.200000,0.625272,0.198052,0.176675,10000.000000,0.000000,10.000000
1988-05,10000.000000,640000.000000,629743.084416,200648.862736,181824.688296,1012216.635448,-0.005555,0.600000,0.200000,0.200000,0.622143,0.198227,0.179630,10000.000000,0.000000,10.000000
1988-06,10000.000000,650000.000000,697665.112088,213707.543584,190313.988746,1101686.644418,0.077743,0.600000,0.200000,0.200000,0.633270,0.193982,0.172748,10000.000000,0.000000,10.000000
1988-07,10000.000000,660000.000000,716439.020199,219946.726981,190746.529330,1127132.276509,0.013894,0.600000,0.200000,0.200000,0.635630,0.195138,0.169232,10000.000000,0.000000,10.000000
1988-08,10000.000000,670000.000000,716951.779894,222936.477692,191516.695062,1131404.952647,-0.005037,0.600000,0.200000,0.200000,0.633683,0.197044,0.169273,10000.000000,0.000000,10.000000
1988-09,10000.000000,680000.000000,751001.708082,235171.508089,188987.400790,1175160.616961,0.029574,0.600000,0.200000,0.200000,0.639063,0.200119,0.160818,10000.000000,0.000000,10.000000
1988-10,10000.000000,690000.000000,798273.518592,245575.814067,191205.254891,1235054.587551,0.042099,0.600000,0.200000,0.200000,0.646347,0.198838,0.154815,10000.000000,0.000000,10.000000
1988-11,10000.000000,700000.000000,801188.211949,250946.924889,202706.773082,1254841.909920,0.007861,0.600000,0.200000,0.200000,0.638477,0.199983,0.161540,10000.000000,0.000000,10.000000
1988-12,10000.000000,710000.000000,828881.509225,253284.119145,204940.970888,1287106.599258,0.017603,0.600000,0.200000,0.200000,0.643988,0.196786,0.159226,10000.000000,0.000000,10.000000
1989-01,10000.000000,720000.000000,809467.257394,262981.000493,251334.385595,1323782.643482,0.020566,0.600000,0.200000,0.200000,0.611480,0.198659,0.189861,66617.549671,56617.549671,123.235099
1989-02,10000.000000,730000.000000,850630.596283,268229.437173,245685.358865,1364545.392321,0.023064,0.600000,0.200000,0.200000,0.623380,0.196571,0.180049,10000.000000,0.000000,10.000000
1989-03,10000.000000,740000.000000,867972.332687,273026.590052,252666.786615,1393665.709354,0.013910,0.600000,0.200000,0.200000,0.622798,0.195905,0.181297,10000.000000,0.000000,10.000000
1989-04,10000.000000,750000.000000,919785.850755,284890.259254,254809.606742,1459485.716751,0.039767,0.600000,0.200000,0.200000,0.630212,0.195199,0.174589,10000.000000,0.000000,10.000000
1989-05,10000.000000,760000.000000,987414.027867,302263.437379,254172.252908,1543849.718155,0.050605,0.600000,0.200000,0.200000,0.639579,0.195786,0.164635,10000.000000,0.000000,10.000000
1989-06,10000.000000,770000.000000,1047375.825606,324567.996870,259112.700613,1631056.523090,0.049687,0.600000,0.200000,0.200000,0.642146,0.198992,0.158862,10000.000000,0.000000,10.000000
1989-07,10000.000000,780000.000000,1082634.768665,334480.768393,266021.178568,1683136.715626,0.025642,0.600000,0.200000,0.200000,0.643224,0.198725,0.158051,10000.000000,0.000000,10.000000
1989-08,10000.000000,790000.000000,1153099.315075,340651.457800,263941.026148,1757691.799023,0.038128,0.600000,0.200000,0.200000,0.656030,0.193806,0.150163,10000.000000,0.000000,10.000000
1989-09,10000.000000,800000.000000,1173900.063605,345935.774987,265911.818774,1785747.657366,0.010214,0.600000,0.200000,0.200000,0.657372,0.193720,0.148908,10000.000000,0.000000,10.000000
1989-10,10000.000000,810000.000000,1188500.155374,356105.662051,272811.055072,1817416.872497,0.012067,0.600000,0.200000,0.200000,0.653950,0.195941,0.150109,10000.000000,0.000000,10.000000
1989-11,10000.000000,820000.000000,1180208.574077,366190.586446,296883.018377,1843282.178899,0.008682,0.600000,0.200000,0.200000,0.640276,0.198662,0.161062,10000.000000,0.000000,10.000000
1989-12,10000.000000,830000.000000,1219183.481071,371513.000391,310688.099889,1901384.581350,0.025955,0.600000,0.200000,0.200000,0.641208,0.195391,0.163401,10000.000000,0.000000,10.000000
1990-01,10000.000000,840000.000000,1123446.862711,375964.781052,383520.784747,1882932.428511,-0.014886,0.600000,0.200000,0.200000,0.596647,0.199670,0.203683,88352.732260,78352.732260,166.705465
1990-02,10000.000000,850000.000000,1102598.197125,374620.705111,392706.378930,1869925.281166,-0.012154,0.600000,0.200000,0.200000,0.589648,0.200340,0.210012,10000.000000,0.000000,10.000000
1990-03,10000.000000,860000.000000,1147108.344092,379111.333776,374765.978185,1900985.656053,0.011203,0.600000,0.200000,0.200000,0.603428,0.199429,0.197143,10000.000000,0.000000,10.000000
1990-04,10000.000000,870000.000000,1167370.532760,382798.686638,362275.546731,1912444.766129,0.000764,0.600000,0.200000,0.200000,0.610407,0.200162,0.189431,10000.000000,0.000000,10.000000
1990-05,10000.000000,880000.000000,1220677.698032,389048.180465,360031.288141,1969757.166638,0.024611,0.600000,0.200000,0.200000,0.619710,0.197511,0.182780,10000.000000,0.000000,10.000000
1990-06,10000.000000,890000.000000,1272605.798726,403380.780160,347274.250138,2023260.829024,0.021974,0.600000,0.200000,0.200000,0.628988,0.199372,0.171641,10000.000000,0.000000,10.000000
1990-07,10000.000000,900000.000000,1280100.573315,408298.441993,359999.152843,2048398.168151,0.007445,0.600000,0.200000,0.200000,0.624928,0.199326,0.175747,10000.000000,0.000000,10.000000
1990-08,10000.000000,910000.000000,1180540.641389,404155.094532,392429.468955,1977125.204877,-0.039484,0.600000,0.200000,0.200000,0.597100,0.204416,0.198485,10000.000000,0.000000,10.000000
1990-09,10000.000000,920000.000000,1168593.399863,417407.852184,399923.673249,1985924.925297,-0.000604,0.600000,0.200000,0.200000,0.588438,0.210183,0.201379,10000.000000,0.000000,10.000000
1990-10,10000.000000,930000.000000,1161141.670992,432303.090035,398375.070651,1991819.831677,-0.002057,0.600000,0.200000,0.200000,0.582955,0.217039,0.200006,10000.000000,0.000000,10.000000
1990-11,10000.000000,940000.000000,1203550.443801,447569.061166,401954.748414,2053074.253381,0.025604,0.600000,0.200000,0.200000,0.586219,0.217999,0.195782,10000.000000,0.000000,10.000000
1990-12,10000.000000,950000.000000,1267097.663397,462853.395163,399319.702336,2129270.760895,0.032086,0.600000,0.200000,0.200000,0.595085,0.217376,0.187538,10000.000000,0.000000,10.000000
1991-01,10000.000000,960000.000000,1289611.730301,435459.330535,440872.991867,2165944.052703,0.012468,0.600000,0.200000,0.200000,0.595404,0.201048,0.203548,46999.242984,36999.242984,83.998486
1991-02,10000.000000,970000.000000,1487063.362496,460263.072590,431731.162088,2379057.597174,0.093345,0.600000,0.200000,0.200000,0.625064,0.193464,0.181472,10000.000000,0.000000,10.000000
1991-03,10000.000000,980000.000000,1569750.320678,466484.470991,441319.263180,2477554.054848,0.037042,0.600000,0.200000,0.200000,0.633589,0.188284,0.178127,10000.000000,0.000000,10.000000
1991-04,10000.000000,990000.000000,1666896.647290,490199.824177,452286.330086,2609382.801553,0.048975,0.600000,0.200000,0.200000,0.638809,0.187860,0.173331,10000.000000,0.000000,10.000000
1991-05,10000.000000,1000000.000000,1721253.735596,509708.733587,466947.656210,2697910.125392,0.029979,0.600000,0.200000,0.200000,0.637995,0.188927,0.173078,10000.000000,0.000000,10.000000
1991-06,10000.000000,1010000.000000,1779143.022063,521427.749053,494848.771585,2795419.542702,0.032316,0.600000,0.200000,0.200000,0.636449,0.186529,0.177021,10000.000000,0.000000,10.000000
1991-07,10000.000000,1020000.000000,2187780.123228,641335.435813,605843.119345,3434958.678386,0.224401,0.600000,0.200000,0.200000,0.636916,0.186708,0.176376,10000.000000,0.000000,10.000000
