Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2010-02,10000.000000,10000.000000,6049.910953,2061.364412,2004.293260,10115.568626,0.011557,0.600000,0.200000,0.200000,0.598079,0.203781,0.198139,10000.000000,0.000000,10.000000
2010-03,10000.000000,20000.000000,12856.584878,3946.797691,4017.034932,20820.417502,0.035040,0.600000,0.200000,0.200000,0.617499,0.189564,0.192937,10000.000000,0.000000,10.000000
2010-04,10000.000000,30000.000000,18974.673145,6192.903252,6035.896755,31203.473152,0.012429,0.600000,0.200000,0.200000,0.608095,0.198468,0.193437,10000.000000,0.000000,10.000000
2010-05,10000.000000,40000.000000,24088.786874,8917.734288,8063.429998,41069.951160,-0.003241,0.600000,0.200000,0.200000,0.586531,0.217135,0.196334,10000.000000,0.000000,10.000000
2010-06,10000.000000,50000.000000,31453.343745,11108.573209,10105.182859,52667.099813,0.031274,0.600000,0.200000,0.200000,0.597210,0.210921,0.191869,10000.000000,0.000000,10.000000
2010-07,10000.000000,60000.000000,37876.330525,12438.159530,12159.662512,62474.152566,-0.003079,0.600000,0.200000,0.200000,0.606272,0.199093,0.194635,10000.000000,0.000000,10.000000
2010-08,10000.000000,70000.000000,44202.228802,15466.213586,14231.178489,73899.620877,0.019669,0.600000,0.200000,0.200000,0.598139,0.209287,0.192574,10000.000000,0.000000,10.000000
2010-09,10000.000000,80000.000000,56081.487399,17335.405069,16311.029708,89727.922176,0.069468,0.600000,0.200000,0.200000,0.625017,0.193200,0.181783,10000.000000,0.000000,10.000000
2010-10,10000.000000,90000.000000,62016.403171,19988.111147,18411.386740,100415.901057,0.006899,0.600000,0.200000,0.200000,0.617595,0.199053,0.183351,10000.000000,0.000000,10.000000
2010-11,10000.000000,100000.000000,66332.157052,23149.794068,20524.307308,110006.258429,-0.003710,0.600000,0.200000,0.200000,0.602985,0.210441,0.186574,10000.000000,0.000000,10.000000
2010-12,10000.000000,110000.000000,75757.587218,25208.566353,22659.183425,123625.336997,0.030157,0.600000,0.200000,0.200000,0.612800,0.203911,0.183289,10000.000000,0.000000,10.000000
2011-01,10000.000000,120000.000000,72038.914894,25715.739018,26885.351200,124640.005112,-0.067243,0.600000,0.200000,0.200000,0.577976,0.206320,0.215704,12065.883975,2065.883975,14.131768
2011-02,10000.000000,130000.000000,75670.748821,28807.679990,29042.284123,133520.712934,-0.008313,0.600000,0.200000,0.200000,0.566734,0.215754,0.217511,10000.000000,0.000000,10.000000
2011-03,10000.000000,140000.000000,89417.403871,31015.353916,31230.654165,151663.411952,0.056735,0.600000,0.200000,0.200000,0.589578,0.204501,0.205921,10000.000000,0.000000,10.000000
2011-04,10000.000000,150000.000000,94136.948055,35444.013160,33428.345030,163009.306244,0.008325,0.600000,0.200000,0.200000,0.577494,0.217436,0.205070,10000.000000,0.000000,10.000000
2011-05,10000.000000,160000.000000,96941.985658,37638.878749,35667.141524,170248.005930,-0.015960,0.600000,0.200000,0.200000,0.569416,0.221083,0.209501,10000.000000,0.000000,10.000000
2011-06,10000.000000,170000.000000,104663.067590,38372.508548,37920.154543,180955.730681,0.003926,0.600000,0.200000,0.200000,0.578390,0.212055,0.209555,10000.000000,0.000000,10.000000
2011-07,10000.000000,180000.000000,107536.241543,43436.399000,40196.473733,191169.114276,0.001117,0.600000,0.200000,0.200000,0.562519,0.227215,0.210267,10000.000000,0.000000,10.000000
2011-08,10000.000000,190000.000000,103692.221179,52853.995301,42494.934307,199041.150786,-0.010578,0.600000,0.200000,0.200000,0.520959,0.265543,0.213498,10000.000000,0.000000,10.000000
2011-09,10000.000000,200000.000000,108539.169799,52039.448041,44801.279299,205379.897139,-0.017515,0.600000,0.200000,0.200000,0.528480,0.253381,0.218139,10000.000000,0.000000,10.000000
2011-10,10000.000000,210000.000000,123540.052864,57019.231191,47139.213692,227698.497747,0.057195,0.600000,0.200000,0.200000,0.542560,0.250415,0.207025,10000.000000,0.000000,10.000000
2011-11,10000.000000,220000.000000,117648.247555,64119.685088,49493.874221,231261.806865,-0.027079,0.600000,0.200000,0.200000,0.508723,0.277260,0.214017,10000.000000,0.000000,10.000000
2011-12,10000.000000,230000.000000,118461.135366,60195.946009,51867.557477,230524.638853,-0.044504,0.600000,0.200000,0.200000,0.513876,0.261126,0.224998,10000.000000,0.000000,10.000000
2012-01,10000.000000,240000.000000,162380.552287,49926.775246,48447.232067,260754.559600,0.084107,0.600000,0.200000,0.200000,0.622733,0.191470,0.185796,29853.647945,19853.647945,49.707296
2012-02,10000.000000,250000.000000,174578.609307,50489.820493,50803.758990,275872.188790,0.018901,0.600000,0.200000,0.200000,0.632824,0.183019,0.184157,10000.000000,0.000000,10.000000
2012-03,10000.000000,260000.000000,177761.840105,53268.326901,53208.040953,284238.207959,-0.005716,0.600000,0.200000,0.200000,0.625397,0.187407,0.187195,10000.000000,0.000000,10.000000
2012-04,10000.000000,270000.000000,182309.882920,56914.470832,55599.752031,294824.105783,0.001991,0.600000,0.200000,0.200000,0.618368,0.193046,0.188586,10000.000000,0.000000,10.000000
2012-05,10000.000000,280000.000000,176886.164304,59295.425998,58010.865593,294192.455895,-0.034878,0.600000,0.200000,0.200000,0.601260,0.201553,0.197187,10000.000000,0.000000,10.000000
2012-06,10000.000000,290000.000000,196249.505055,61957.708352,60418.577712,318625.791119,0.047448,0.600000,0.200000,0.200000,0.615925,0.194453,0.189622,10000.000000,0.000000,10.000000
2012-07,10000.000000,300000.000000,200550.697177,64347.218726,62854.018264,327751.934167,-0.002659,0.600000,0.200000,0.200000,0.611898,0.196329,0.191773,10000.000000,0.000000,10.000000
2012-08,10000.000000,310000.000000,207933.583706,69307.435275,65307.250226,342548.269207,0.014201,0.600000,0.200000,0.200000,0.607020,0.202329,0.190651,10000.000000,0.000000,10.000000
2012-09,10000.000000,320000.000000,232254.726398,71441.817048,67757.628915,371454.172361,0.053626,0.600000,0.200000,0.200000,0.625258,0.192330,0.182412,10000.000000,0.000000,10.000000
2012-10,10000.000000,330000.000000,235014.293054,72354.654300,70237.091491,377606.038844,-0.010088,0.600000,0.200000,0.200000,0.622380,0.191614,0.186006,10000.000000,0.000000,10.000000
2012-11,10000.000000,340000.000000,252426.035033,74709.293053,72721.808646,399857.136733,0.031607,0.600000,0.200000,0.200000,0.631291,0.186840,0.181869,10000.000000,0.000000,10.000000
2012-12,10000.000000,350000.000000,259809.423206,75884.711335,75240.605246,410934.739788,0.002629,0.600000,0.200000,0.200000,0.632240,0.184664,0.183096,10000.000000,0.000000,10.000000
2013-01,10000.000000,360000.000000,258357.172667,81142.854237,84756.099816,424256.126719,0.007891,0.600000,0.200000,0.200000,0.608965,0.191259,0.199776,23248.579334,13248.579334,36.497159
2013-02,10000.000000,370000.000000,249669.361541,80498.469485,87286.948303,417454.779329,-0.038690,0.600000,0.200000,0.200000,0.598075,0.192832,0.209093,10000.000000,0.000000,10.000000
2013-03,10000.000000,380000.000000,255468.815393,83646.730995,89901.101813,429016.648201,0.003654,0.600000,0.200000,0.200000,0.595475,0.194973,0.209552,10000.000000,0.000000,10.000000
2013-04,10000.000000,390000.000000,273140.868146,77793.556118,92490.143332,443424.567595,0.010040,0.600000,0.200000,0.200000,0.615980,0.175438,0.208581,10000.000000,0.000000,10.000000
2013-05,10000.000000,400000.000000,282061.263465,79470.873715,95083.971978,456616.109158,0.007039,0.600000,0.200000,0.200000,0.617721,0.174043,0.208236,10000.000000,0.000000,10.000000
2013-06,10000.000000,410000.000000,281449.632532,75393.062413,97674.930678,454517.625623,-0.025928,0.600000,0.200000,0.200000,0.619227,0.165875,0.214898,10000.000000,0.000000,10.000000
2013-07,10000.000000,420000.000000,282824.877871,84782.996728,100376.322267,467984.196866,0.007463,0.600000,0.200000,0.200000,0.604347,0.181166,0.214487,10000.000000,0.000000,10.000000
2013-08,10000.000000,430000.000000,275540.839914,99774.506485,103356.465812,478671.812211,0.001439,0.600000,0.200000,0.200000,0.575636,0.208440,0.215923,10000.000000,0.000000,10.000000
2013-09,10000.000000,440000.000000,295397.677206,92127.355538,106291.169876,493816.202620,0.010527,0.600000,0.200000,0.200000,0.598194,0.186562,0.215244,10000.000000,0.000000,10.000000
2013-10,10000.000000,450000.000000,331348.685179,92436.082532,109124.468085,532909.235795,0.057745,0.600000,0.200000,0.200000,0.621773,0.173456,0.204771,10000.000000,0.000000,10.000000
2013-11,10000.000000,460000.000000,331118.148649,90334.393924,111928.386617,533380.929189,-0.017550,0.600000,0.200000,0.200000,0.620791,0.169362,0.209847,10000.000000,0.000000,10.000000
2013-12,10000.000000,470000.000000,344458.352111,88112.060087,114773.183820,547343.596019,0.007293,0.600000,0.200000,0.200000,0.629327,0.160981,0.209691,10000.000000,0.000000,10.000000
2014-01,10000.000000,480000.000000,323359.336491,116252.468640,112287.493363,551899.298494,-0.009768,0.600000,0.200000,0.200000,0.585903,0.210641,0.203456,31356.659117,21356.659117,52.713318
2014-02,10000.000000,490000.000000,339848.596797,124341.578735,115080.720497,579270.896029,0.030916,0.600000,0.200000,0.200000,0.586683,0.214652,0.198665,10000.000000,0.000000,10.000000
2014-03,10000.000000,500000.000000,369757.693531,119189.944209,117991.864619,606939.502359,0.029984,0.600000,0.200000,0.200000,0.609217,0.196379,0.194405,10000.000000,0.000000,10.000000
2014-04,10000.000000,510000.000000,375721.497639,122758.349433,120869.208197,619349.055269,0.003906,0.600000,0.200000,0.200000,0.606639,0.198205,0.195155,10000.000000,0.000000,10.000000
2014-05,10000.000000,520000.000000,412542.950020,117860.643542,123786.719468,654190.313030,0.039471,0.600000,0.200000,0.200000,0.630616,0.180163,0.189221,10000.000000,0.000000,10.000000
2014-06,10000.000000,530000.000000,441069.037700,129104.279917,126673.159581,696846.477198,0.049167,0.600000,0.200000,0.200000,0.632950,0.185269,0.181781,10000.000000,0.000000,10.000000
2014-07,10000.000000,540000.000000,454005.091610,128252.854933,129611.646183,711869.592727,0.007106,0.600000,0.200000,0.200000,0.637764,0.180163,0.182072,10000.000000,0.000000,10.000000
2014-08,10000.000000,550000.000000,474381.071352,132790.609989,132579.046410,739750.727751,0.024771,0.600000,0.200000,0.200000,0.641272,0.179507,0.179221,10000.000000,0.000000,10.000000
2014-09,10000.000000,560000.000000,481526.160641,127698.214370,135530.326175,744754.701186,-0.006664,0.600000,0.200000,0.200000,0.646557,0.171463,0.181980,10000.000000,0.000000,10.000000
2014-10,10000.000000,570000.000000,509924.044503,124442.463667,138522.103421,772888.611591,0.024026,0.600000,0.200000,0.200000,0.659764,0.161010,0.179226,10000.000000,0.000000,10.000000
2014-11,10000.000000,580000.000000,532969.578840,128430.995937,141484.020667,802884.595445,0.025541,0.600000,0.200000,0.200000,0.663818,0.159962,0.176220,10000.000000,0.000000,10.000000
2014-12,10000.000000,590000.000000,520371.771924,133157.929914,144495.708022,798025.409860,-0.018280,0.600000,0.200000,0.200000,0.652074,0.166859,0.181067,10000.000000,0.000000,10.000000
2015-01,10000.000000,600000.000000,516081.300599,171711.966207,162731.137840,850524.404647,0.052596,0.600000,0.200000,0.200000,0.606780,0.201890,0.191330,51556.526008,41556.526008,93.113052
2015-02,10000.000000,610000.000000,528149.662461,163830.612907,165780.993264,857761.268632,-0.003211,0.600000,0.200000,0.200000,0.615730,0.190998,0.193272,10000.000000,0.000000,10.000000
2015-03,10000.000000,620000.000000,510069.664452,163419.945473,168965.089945,842454.699871,-0.029163,0.600000,0.200000,0.200000,0.605456,0.193981,0.200563,10000.000000,0.000000,10.000000
