Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,6121.673039,1984.161293,2039.538460,10145.372792,0.014537,0.600000,0.200000,0.200000,0.603396,0.195573,0.201031,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,12584.000552,4068.512549,3453.694449,20106.207549,-0.001944,0.600000,0.200000,0.200000,0.625876,0.202351,0.171773,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,19357.611436,6160.316616,5620.631717,31138.559770,0.034290,0.600000,0.200000,0.200000,0.621660,0.197836,0.180504,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,26472.998563,8238.995416,7706.755921,42418.749901,0.031119,0.600000,0.200000,0.200000,0.624087,0.194230,0.181683,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,33036.110343,10037.667524,9150.971221,52224.749088,-0.003701,0.600000,0.200000,0.200000,0.632576,0.192201,0.175223,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,39306.220093,11771.056377,10879.223206,61956.499676,-0.004311,0.600000,0.200000,0.200000,0.634416,0.189989,0.175595,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,44209.470335,13527.976730,13292.834361,71030.281427,-0.012872,0.600000,0.200000,0.200000,0.622403,0.190454,0.187143,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,51866.927113,15859.206351,15143.918796,82870.052260,0.022705,0.600000,0.200000,0.200000,0.625883,0.191374,0.182743,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,58235.591229,18144.912903,16393.147281,92773.651414,-0.001038,0.600000,0.200000,0.200000,0.627717,0.195583,0.176700,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,63496.212558,20161.970143,17831.214786,101489.397487,-0.012496,0.600000,0.200000,0.200000,0.625644,0.198661,0.175695,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,69400.943000,22197.501621,20140.893217,111739.337838,0.002242,0.600000,0.200000,0.200000,0.621097,0.198654,0.180249,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,74185.752998,24810.316087,23278.265635,122274.334721,0.004395,0.600000,0.200000,0.200000,0.606716,0.202907,0.190377,12357.340297,2357.340297,14.714681
1984-02,10000.000000,130000.000000,76080.761597,26807.101876,26298.309704,129186.173177,-0.023347,0.600000,0.200000,0.200000,0.588923,0.207508,0.203569,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,82437.931596,28309.899616,28882.727945,139630.559157,0.003193,0.600000,0.200000,0.200000,0.590400,0.202749,0.206851,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,88880.548388,30095.964646,29861.758975,148838.272009,-0.005295,0.600000,0.200000,0.200000,0.597162,0.202206,0.200632,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,94634.947422,31080.307465,31525.267379,157240.522266,-0.010059,0.600000,0.200000,0.200000,0.601848,0.197661,0.200491,10000.000000,0.000000,10.000000
