Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,3154.800650,5030.460245,2003.347427,10188.608322,0.018861,0.305325,0.500692,0.193983,0.309640,0.493734,0.196626,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,6429.394251,10370.993192,3364.088323,20164.475767,-0.001195,0.305325,0.500692,0.193983,0.318848,0.514320,0.166832,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,9609.929845,15358.052498,6040.923260,31008.905603,0.027994,0.305325,0.500692,0.193983,0.309909,0.495279,0.194813,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,13081.094214,20745.515994,8050.655509,41877.265717,0.021175,0.305325,0.500692,0.193983,0.312367,0.495389,0.192244,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,16210.215691,25615.653934,9543.698133,51369.567758,-0.009787,0.305325,0.500692,0.193983,0.315561,0.498654,0.185785,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,18939.384805,30161.429649,11658.901902,60759.716356,-0.009937,0.305325,0.500692,0.193983,0.311710,0.496405,0.191885,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,21290.458198,35148.016654,14307.270198,70745.745050,-0.000197,0.305325,0.500692,0.193983,0.300943,0.496822,0.202235,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,25500.288290,41344.190574,15530.728393,82375.207257,0.020180,0.305325,0.500692,0.193983,0.309563,0.501901,0.188536,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,28463.454719,47122.680122,17182.371853,92768.506695,0.004258,0.305325,0.500692,0.193983,0.306822,0.507960,0.185218,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,31469.657428,52251.071497,19608.579480,103329.308406,0.005457,0.305325,0.500692,0.193983,0.304557,0.505675,0.189768,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,34924.816967,57442.501258,22566.314740,114933.632966,0.014156,0.305325,0.500692,0.193983,0.303869,0.499788,0.196342,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,39577.063606,65115.491157,23669.891484,128362.446247,0.027445,0.305325,0.500692,0.193983,0.308323,0.507278,0.184399,10000.000000,0.000000,10.000000
