Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2010-02,10000.000000,10000.000000,1074.985448,1993.218835,7015.026412,10083.230695,0.008323,0.106612,0.193388,0.700000,0.106611,0.197677,0.695712,10000.000000,0.000000,10.000000
2010-03,10000.000000,20000.000000,2284.440581,3774.299328,14102.983618,20161.723527,0.003908,0.106612,0.193388,0.700000,0.113306,0.187201,0.699493,10000.000000,0.000000,10.000000
2010-04,10000.000000,30000.000000,3235.707033,6074.274467,21179.240697,30489.222198,0.010858,0.106612,0.193388,0.700000,0.106126,0.199227,0.694647,10000.000000,0.000000,10.000000
2010-05,10000.000000,40000.000000,4163.490170,8522.842834,28439.442977,41125.775981,0.015722,0.106612,0.193388,0.700000,0.101238,0.207238,0.691524,10000.000000,0.000000,10.000000
2010-06,10000.000000,50000.000000,5697.797391,10059.953443,35936.534361,51694.285196,0.011120,0.106612,0.193388,0.700000,0.110221,0.194605,0.695174,10000.000000,0.000000,10.000000
2010-07,10000.000000,60000.000000,6651.598065,11320.738189,43380.250046,61352.586300,-0.005539,0.106612,0.193388,0.700000,0.108416,0.184519,0.707065,10000.000000,0.000000,10.000000
2010-08,10000.000000,70000.000000,7663.505962,14781.249539,50198.967064,72643.722565,0.018095,0.106612,0.193388,0.700000,0.105494,0.203476,0.691030,10000.000000,0.000000,10.000000
2010-09,10000.000000,80000.000000,9842.614201,15862.605222,58135.103441,83840.322864,0.014479,0.106612,0.193388,0.700000,0.117397,0.189200,0.693403,10000.000000,0.000000,10.000000
2010-10,10000.000000,90000.000000,9993.924748,18760.112822,66047.827082,94801.864652,0.010247,0.106612,0.193388,0.700000,0.105419,0.197888,0.696693,10000.000000,0.000000,10.000000
2010-11,10000.000000,100000.000000,10896.379345,21338.127958,73766.799255,106001.306558,0.011445,0.106612,0.193388,0.700000,0.102795,0.201301,0.695905,10000.000000,0.000000,10.000000
2010-12,10000.000000,110000.000000,12952.726713,22485.655341,81686.912673,117125.294727,0.009689,0.106612,0.193388,0.700000,0.110589,0.191979,0.697432,10000.000000,0.000000,10.000000
2011-01,10000.000000,120000.000000,12177.992231,23656.699062,89523.836532,125358.527825,-0.013898,0.106612,0.193388,0.700000,0.097145,0.188712,0.714142,10000.000000,0.000000,10.000000
2011-02,10000.000000,130000.000000,14458.088336,26709.417976,95265.785153,136433.291466,0.007940,0.110156,0.189844,0.700000,0.105972,0.195769,0.698259,10000.000000,0.000000,10.000000
2011-03,10000.000000,140000.000000,17660.549647,27986.912060,103125.455039,148772.916747,0.015977,0.110156,0.189844,0.700000,0.118708,0.188118,0.693174,10000.000000,0.000000,10.000000
2011-04,10000.000000,150000.000000,17423.533915,32320.497044,111666.726360,161410.757319,0.016614,0.110156,0.189844,0.700000,0.107945,0.200238,0.691817,10000.000000,0.000000,10.000000
2011-05,10000.000000,160000.000000,18279.472986,32710.632206,120796.212958,171786.318150,0.002191,0.110156,0.189844,0.700000,0.106408,0.190415,0.703177,10000.000000,0.000000,10.000000
2011-06,10000.000000,170000.000000,20359.663066,33408.504701,128105.233500,181873.401267,0.000479,0.110156,0.189844,0.700000,0.111944,0.183691,0.704365,10000.000000,0.000000,10.000000
2011-07,10000.000000,180000.000000,20538.811190,39190.406819,135241.090820,194970.308829,0.016140,0.110156,0.189844,0.700000,0.105343,0.201007,0.693650,10000.000000,0.000000,10.000000
2011-08,10000.000000,190000.000000,20570.677706,45588.372606,144269.769892,210428.820205,0.026631,0.110156,0.189844,0.700000,0.097756,0.216645,0.685599,10000.000000,0.000000,10.000000
2011-09,10000.000000,200000.000000,23026.651331,43249.349437,152613.155611,218889.156380,-0.006985,0.110156,0.189844,0.700000,0.105198,0.197586,0.697217,10000.000000,0.000000,10.000000
2011-10,10000.000000,210000.000000,27194.960431,45849.401560,161379.757330,234424.119322,0.024182,0.110156,0.189844,0.700000,0.116008,0.195583,0.688409,10000.000000,0.000000,10.000000
2011-11,10000.000000,220000.000000,24698.485682,50396.806724,172074.501888,247169.794294,0.011233,0.110156,0.189844,0.700000,0.099925,0.203895,0.696179,10000.000000,0.000000,10.000000
2011-12,10000.000000,230000.000000,26667.296325,45881.816149,180237.058089,252786.170563,-0.017046,0.110156,0.189844,0.700000,0.105493,0.181504,0.713002,10000.000000,0.000000,10.000000
2012-01,10000.000000,240000.000000,32576.708677,51786.492831,185290.512908,269653.714415,0.026134,0.110156,0.189844,0.700000,0.120809,0.192048,0.687142,10000.000000,0.000000,10.000000
2012-02,10000.000000,250000.000000,33873.031556,50353.479256,196576.571426,280803.082238,0.004110,0.116843,0.183157,0.700000,0.120629,0.179320,0.700051,10000.000000,0.000000,10.000000
2012-03,10000.000000,260000.000000,33448.439274,54052.488407,205120.814274,292621.741955,0.006254,0.116843,0.183157,0.700000,0.114306,0.184718,0.700976,10000.000000,0.000000,10.000000
2012-04,10000.000000,270000.000000,35080.015687,57078.083306,213338.429594,305496.528586,0.009500,0.116843,0.183157,0.700000,0.114830,0.186837,0.698333,10000.000000,0.000000,10.000000
2012-05,10000.000000,280000.000000,34627.423641,58158.974477,222424.098484,315210.496602,-0.000907,0.116843,0.183157,0.700000,0.109855,0.184508,0.705637,10000.000000,0.000000,10.000000
2012-06,10000.000000,290000.000000,40775.336895,60208.140752,229194.464210,330177.941857,0.015275,0.116843,0.183157,0.700000,0.123495,0.182351,0.694154,10000.000000,0.000000,10.000000
2012-07,10000.000000,300000.000000,40432.883583,62488.642462,238947.917053,341869.443098,0.004972,0.116843,0.183157,0.700000,0.118270,0.182785,0.698945,10000.000000,0.000000,10.000000
2012-08,10000.000000,310000.000000,41388.949632,67322.717221,248030.231222,356741.898075,0.013847,0.116843,0.183157,0.700000,0.116019,0.188715,0.695265,10000.000000,0.000000,10.000000
2012-09,10000.000000,320000.000000,46497.505781,67449.663678,258306.846897,372254.016355,0.015030,0.116843,0.183157,0.700000,0.124908,0.181193,0.693899,10000.000000,0.000000,10.000000
2012-10,10000.000000,330000.000000,45865.109223,68584.727320,267970.543065,382420.379608,0.000435,0.116843,0.183157,0.700000,0.119934,0.179344,0.700722,10000.000000,0.000000,10.000000
2012-11,10000.000000,340000.000000,48036.783153,72212.785855,276528.545029,396778.114037,0.011105,0.116843,0.183157,0.700000,0.121067,0.181998,0.696935,10000.000000,0.000000,10.000000
2012-12,10000.000000,350000.000000,48293.921381,73593.724676,286322.091526,408209.737582,0.003519,0.116843,0.183157,0.700000,0.118307,0.180284,0.701409,10000.000000,0.000000,10.000000
2013-01,10000.000000,360000.000000,49989.670981,73832.808485,294744.460514,418566.939980,0.000854,0.116843,0.183157,0.700000,0.119431,0.176394,0.704175,10000.000000,0.000000,10.000000
2013-02,10000.000000,370000.000000,47228.761849,76064.141178,301832.404693,425125.307720,-0.008031,0.116685,0.183315,0.700000,0.111094,0.178922,0.709985,10000.000000,0.000000,10.000000
2013-03,10000.000000,380000.000000,50732.656571,80875.381601,306682.925410,438290.963582,0.007275,0.116685,0.183315,0.700000,0.115751,0.184524,0.699725,10000.000000,0.000000,10.000000
2013-04,10000.000000,390000.000000,54643.794580,74643.459861,315815.152789,445102.407230,-0.007113,0.116685,0.183315,0.700000,0.122767,0.167700,0.709534,10000.000000,0.000000,10.000000
