Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,3109.896721,5220.366482,1723.284039,10053.547243,0.005355,0.304809,0.526204,0.168988,0.309333,0.519256,0.171411,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,6345.611327,10775.637699,2897.325876,20018.574902,-0.001744,0.304809,0.526204,0.168988,0.316986,0.538282,0.144732,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,9530.798650,16034.833109,5228.040449,30793.672208,0.025821,0.304809,0.526204,0.168988,0.309505,0.520718,0.169776,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,12981.168560,21672.707817,6971.520392,41625.396769,0.020389,0.304809,0.526204,0.168988,0.311857,0.520661,0.167482,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,16008.687629,26631.253101,8224.512620,50864.453350,-0.014740,0.304809,0.526204,0.168988,0.314732,0.523573,0.161695,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,18680.306474,31317.657951,10034.652095,60032.616520,-0.013667,0.304809,0.526204,0.168988,0.311169,0.521677,0.167153,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,20829.711861,36200.811057,12214.665537,69245.188456,-0.011244,0.304809,0.526204,0.168988,0.300811,0.522792,0.176397,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,24951.902262,42588.494556,13261.020448,80801.417266,0.019638,0.304809,0.526204,0.168988,0.308805,0.527076,0.164119,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,27853.303837,48544.307434,14672.319098,91069.930369,0.002957,0.304809,0.526204,0.168988,0.305845,0.533044,0.161110,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,30452.323607,53228.330221,16557.741538,100238.395366,-0.008227,0.304809,0.526204,0.168988,0.303799,0.531017,0.165184,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,33555.503705,58100.809994,18919.811782,110576.125481,0.003064,0.304809,0.526204,0.168988,0.303461,0.525437,0.171102,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,37328.729737,64655.158800,19481.502659,121465.391195,0.007375,0.304809,0.526204,0.168988,0.307320,0.532293,0.160387,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,38395.746324,68036.828348,23879.138564,130311.713235,-0.008776,0.307818,0.517589,0.174593,0.294645,0.522108,0.183246,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,43378.459525,71370.350922,25003.381614,139752.192061,-0.003988,0.307818,0.517589,0.174593,0.310396,0.510692,0.178912,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,46327.151619,76962.980021,25281.323119,148571.454759,-0.007885,0.307818,0.517589,0.174593,0.311817,0.518020,0.170163,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,48684.819214,79477.597667,27393.079162,155555.496043,-0.019020,0.307818,0.517589,0.174593,0.312974,0.510928,0.176098,10000.000000,0.000000,10.000000
1984-06,10000.000000,170000.000000,50016.052934,85952.223884,28979.752796,164948.029615,-0.003669,0.307818,0.517589,0.174593,0.303223,0.521087,0.175690,10000.000000,0.000000,10.000000
1984-07,10000.000000,180000.000000,53359.911333,92548.682641,28118.913241,174027.507216,-0.005262,0.307818,0.517589,0.174593,0.306618,0.531805,0.161577,10000.000000,0.000000,10.000000
1984-08,10000.000000,190000.000000,61858.887401,99687.330600,32128.170849,193674.388851,0.052421,0.307818,0.517589,0.174593,0.319396,0.514716,0.165888,10000.000000,0.000000,10.000000
