Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,1217.324486,6451.195704,2479.468202,10147.988393,0.014799,0.117814,0.642100,0.240086,0.119957,0.635712,0.244331,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,2475.878734,13273.263638,4155.224909,19904.367281,-0.012092,0.117814,0.642100,0.240086,0.124389,0.666852,0.208759,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,3676.141644,19525.682662,7412.132471,30613.956777,0.023729,0.117814,0.642100,0.240086,0.120081,0.637803,0.242116,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,4998.901767,26348.313958,9868.010583,41215.226308,0.014805,0.117814,0.642100,0.240086,0.121288,0.639286,0.239426,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,6175.102428,32430.890885,11661.110229,50267.103542,-0.018513,0.117814,0.642100,0.240086,0.122846,0.645171,0.231983,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,7176.724332,37984.846817,14170.522993,59332.094142,-0.015514,0.117814,0.642100,0.240086,0.120959,0.640207,0.238834,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,8049.453856,44165.208998,17350.261320,69564.924173,0.003358,0.117814,0.642100,0.240086,0.115711,0.634878,0.249411,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,9695.734961,52245.416808,18940.668535,80881.820304,0.016551,0.117814,0.642100,0.240086,0.119875,0.645948,0.234177,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,10805.450193,59454.303740,20922.144766,91181.898700,0.003302,0.117814,0.642100,0.240086,0.118504,0.652041,0.229455,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,11955.522680,65973.543740,23894.091337,101823.157757,0.006338,0.117814,0.642100,0.240086,0.117415,0.647923,0.234663,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,13297.119520,72686.680474,27558.267348,113542.067342,0.015372,0.117814,0.642100,0.240086,0.117112,0.640174,0.242714,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,15101.257359,82575.634661,28969.009170,126645.901189,0.025124,0.117814,0.642100,0.240086,0.119240,0.652020,0.228740,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,37706.499531,76808.754780,21245.633366,135760.887678,-0.006477,0.290121,0.560795,0.149084,0.277742,0.565765,0.156493,24542.644523,14542.644523,39.085289
