Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2010-02,10000.000000,10000.000000,1008.318492,2061.364412,7015.026412,10084.709316,0.008471,0.100000,0.200000,0.700000,0.099985,0.204405,0.695610,10000.000000,0.000000,10.000000
2010-03,10000.000000,20000.000000,2142.925153,3903.625271,14104.022463,20150.572887,0.003279,0.100000,0.200000,0.700000,0.106346,0.193723,0.699932,10000.000000,0.000000,10.000000
2010-04,10000.000000,30000.000000,3033.917033,6279.622889,21171.408240,30484.948162,0.011090,0.100000,0.200000,0.700000,0.099522,0.205991,0.694487,10000.000000,0.000000,10.000000
2010-05,10000.000000,40000.000000,3904.872270,8813.297161,28436.440172,41154.609603,0.016541,0.100000,0.200000,0.700000,0.094883,0.214151,0.690966,10000.000000,0.000000,10.000000
2010-06,10000.000000,50000.000000,5347.454014,10409.758929,35956.805607,51714.018550,0.010936,0.100000,0.200000,0.700000,0.103404,0.201295,0.695301,10000.000000,0.000000,10.000000
2010-07,10000.000000,60000.000000,6241.084425,11711.525026,43394.127776,61346.737227,-0.005951,0.100000,0.200000,0.700000,0.101735,0.190907,0.707358,10000.000000,0.000000,10.000000
2010-08,10000.000000,70000.000000,7187.651949,15285.348081,50194.851465,72667.851496,0.018517,0.100000,0.200000,0.700000,0.098911,0.210345,0.690744,10000.000000,0.000000,10.000000
2010-09,10000.000000,80000.000000,9234.904402,16409.717417,58152.078809,83796.700628,0.013655,0.100000,0.200000,0.700000,0.110206,0.195828,0.693966,10000.000000,0.000000,10.000000
2010-10,10000.000000,90000.000000,9369.777302,19392.476980,66017.121081,94779.375363,0.010477,0.100000,0.200000,0.700000,0.098859,0.204607,0.696535,10000.000000,0.000000,10.000000
2010-11,10000.000000,100000.000000,10218.429370,22062.915067,73750.968227,106032.312664,0.011958,0.100000,0.200000,0.700000,0.096371,0.208077,0.695552,10000.000000,0.000000,10.000000
2010-12,10000.000000,110000.000000,12152.690195,23260.627078,81708.748733,117122.066006,0.009392,0.100000,0.200000,0.700000,0.103761,0.198602,0.697638,10000.000000,0.000000,10.000000
2011-01,10000.000000,120000.000000,11422.464268,24464.869619,89521.562632,125408.896518,-0.013477,0.100000,0.200000,0.700000,0.091082,0.195081,0.713837,10000.000000,0.000000,10.000000
2011-02,10000.000000,130000.000000,13129.983845,28148.755487,95301.237428,136579.976760,0.008648,0.100000,0.200000,0.700000,0.096134,0.206097,0.697769,10000.000000,0.000000,10.000000
2011-03,10000.000000,140000.000000,16048.365213,29513.656785,103228.765022,148790.787019,0.015083,0.100000,0.200000,0.700000,0.107859,0.198357,0.693785,10000.000000,0.000000,10.000000
2011-04,10000.000000,150000.000000,15832.986126,34054.184876,111681.976623,161569.147626,0.017497,0.100000,0.200000,0.700000,0.097995,0.210772,0.691233,10000.000000,0.000000,10.000000
2011-05,10000.000000,160000.000000,16609.499392,34492.388323,120907.839940,172009.727655,0.002568,0.100000,0.200000,0.700000,0.096561,0.200526,0.702913,10000.000000,0.000000,10.000000
2011-06,10000.000000,170000.000000,18505.283861,35239.006760,128262.679349,182006.969970,-0.000015,0.100000,0.200000,0.700000,0.101673,0.193614,0.704713,10000.000000,0.000000,10.000000
