Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,1165.148259,6583.847134,2265.526271,10014.521665,0.001452,0.114199,0.663640,0.222161,0.116346,0.657430,0.226224,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,2372.806259,13563.610643,3801.571553,19737.988455,-0.013817,0.114199,0.663640,0.222161,0.120215,0.687183,0.192602,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,3537.404070,20033.800402,6808.811769,30380.016241,0.021589,0.114199,0.663640,0.222161,0.116439,0.659440,0.224121,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,4814.172083,27056.057845,9072.194143,40942.424071,0.013928,0.114199,0.663640,0.222161,0.117584,0.660832,0.221584,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,5918.423400,33142.512183,10669.338268,49730.273850,-0.023795,0.114199,0.663640,0.222161,0.119010,0.666445,0.214544,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,6868.290353,38761.220868,12946.249777,58575.760998,-0.019329,0.114199,0.663640,0.222161,0.117255,0.661728,0.221017,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,7641.655452,44706.020458,15723.990837,68071.666747,-0.007351,0.114199,0.663640,0.222161,0.112259,0.656749,0.230992,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,9209.978357,52916.457133,17175.480921,79301.916412,0.015758,0.114199,0.663640,0.222161,0.116138,0.667278,0.216583,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,10263.117226,60212.187340,18970.481276,89445.785842,0.001611,0.114199,0.663640,0.222161,0.114741,0.673170,0.212089,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,11225.853653,66051.898421,21417.908142,98695.660216,-0.007543,0.114199,0.663640,0.222161,0.113742,0.669248,0.217010,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,12395.891017,72250.306827,24524.931955,109171.129799,0.004374,0.114199,0.663640,0.222161,0.113546,0.661808,0.224647,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,13822.536437,80591.870654,25313.021999,119727.429090,0.004668,0.114199,0.663640,0.222161,0.115450,0.673128,0.211422,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,40537.110014,72017.766809,15541.499657,128096.376480,-0.012573,0.329436,0.555376,0.115188,0.316458,0.562215,0.121327,28914.308548,18914.308548,47.828617
1984-03,10000.000000,140000.000000,45691.813164,75371.649463,16235.572754,137299.035382,-0.005774,0.329436,0.555376,0.115188,0.332790,0.548960,0.118250,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,48768.369780,81228.874384,16406.163543,146403.407707,-0.006080,0.329436,0.555376,0.115188,0.333110,0.554829,0.112061,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,51391.440448,84113.921489,17825.539348,153330.901285,-0.019645,0.329436,0.555376,0.115188,0.335167,0.548578,0.116255,10000.000000,0.000000,10.000000
1984-06,10000.000000,170000.000000,52809.277082,90987.942522,18862.535952,162659.755555,-0.004109,0.329436,0.555376,0.115188,0.324661,0.559376,0.115963,10000.000000,0.000000,10.000000
1984-07,10000.000000,180000.000000,56360.293288,98006.370644,18308.858766,172675.522698,0.000091,0.329436,0.555376,0.115188,0.326394,0.567575,0.106030,10000.000000,0.000000,10.000000
1984-08,10000.000000,190000.000000,65716.731200,106179.270136,21040.906520,192936.907856,0.056173,0.329436,0.555376,0.115188,0.340613,0.550332,0.109056,10000.000000,0.000000,10.000000
1984-09,10000.000000,200000.000000,67791.943029,115155.776417,22837.426989,205785.146435,0.014035,0.329436,0.555376,0.115188,0.329431,0.559592,0.110977,10000.000000,0.000000,10.000000
1984-10,10000.000000,210000.000000,70790.882057,123534.025674,24927.845624,219252.753354,0.016070,0.329436,0.555376,0.115188,0.322873,0.563432,0.113695,10000.000000,0.000000,10.000000
1984-11,10000.000000,220000.000000,76491.867162,132970.343489,26483.489358,235945.700009,0.029195,0.329436,0.555376,0.115188,0.324193,0.563563,0.112244,10000.000000,0.000000,10.000000
1984-12,10000.000000,230000.000000,80446.734123,138460.829093,26506.556310,245414.119527,-0.002161,0.329436,0.555376,0.115188,0.327800,0.564193,0.108007,10000.000000,0.000000,10.000000
1985-01,10000.000000,240000.000000,88091.729732,144201.345722,27856.619433,260149.694886,0.018541,0.329436,0.555376,0.115188,0.338619,0.554301,0.107079,10000.000000,0.000000,10.000000
1985-02,10000.000000,250000.000000,140123.152937,110817.895853,26650.559412,277591.608201,0.027547,0.490454,0.409546,0.100000,0.504782,0.399212,0.096006,44404.289198,34404.289198,78.808578
1985-03,10000.000000,260000.000000,140370.925505,116540.583602,30200.877801,287112.386908,-0.001666,0.490454,0.409546,0.100000,0.488906,0.405906,0.105188,10000.000000,0.000000,10.000000
1985-04,10000.000000,270000.000000,146956.001273,125688.555702,31450.173933,304094.730909,0.023501,0.490454,0.409546,0.100000,0.483257,0.413320,0.103422,10000.000000,0.000000,10.000000
1985-05,10000.000000,280000.000000,158228.682326,134309.484612,30391.249516,322929.416454,0.028127,0.490454,0.409546,0.100000,0.489979,0.415910,0.094111,10000.000000,0.000000,10.000000
1985-06,10000.000000,290000.000000,167381.633928,143372.655356,33397.295992,344151.585277,0.033707,0.490454,0.409546,0.100000,0.486360,0.416597,0.097042,10000.000000,0.000000,10.000000
1985-07,10000.000000,300000.000000,177593.386192,144933.747169,35414.158528,357941.291889,0.010701,0.490454,0.409546,0.100000,0.496152,0.404909,0.098938,10000.000000,0.000000,10.000000
1985-08,10000.000000,310000.000000,177123.477048,151795.105755,38301.995549,367220.578352,-0.001959,0.490454,0.409546,0.100000,0.482335,0.413362,0.104302,10000.000000,0.000000,10.000000
