Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,2186.062568,5740.827975,2241.407814,10168.298357,0.016830,0.211570,0.571396,0.217034,0.214988,0.564581,0.220431,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,4450.649380,11823.602471,3760.058977,20034.310828,-0.006643,0.211570,0.571396,0.217034,0.222151,0.590168,0.187681,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,6630.284260,17451.156961,6729.599097,30811.040317,0.025861,0.211570,0.571396,0.217034,0.215192,0.566393,0.218415,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,9020.564419,23560.799631,8963.855047,41545.219098,0.017990,0.211570,0.571396,0.217034,0.217126,0.567112,0.215761,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,11160.669116,29045.779244,10609.430597,50815.878957,-0.014150,0.211570,0.571396,0.217034,0.219630,0.571589,0.208782,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,13005.283188,34110.023167,12926.636496,60041.942851,-0.012726,0.211570,0.571396,0.217034,0.216603,0.568103,0.215293,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,14603.170175,39704.442964,15845.022493,70152.635632,0.001580,0.211570,0.571396,0.217034,0.208163,0.565972,0.225865,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,17540.158764,46835.921501,17248.613759,81624.694023,0.018366,0.211570,0.571396,0.217034,0.214888,0.573796,0.211316,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,19562.979670,53340.062679,19067.969527,91971.011876,0.003780,0.211570,0.571396,0.217034,0.212708,0.579966,0.207326,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,21637.099091,59166.838693,21768.429340,102572.367124,0.005897,0.211570,0.571396,0.217034,0.210945,0.576830,0.212225,10000.000000,0.000000,10.000000
