Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2010-02,10000.000000,10000.000000,1041.651970,2027.291624,7015.026412,10083.970005,0.008397,0.103306,0.196694,0.700000,0.103298,0.201041,0.695661,10000.000000,0.000000,10.000000
2010-03,10000.000000,20000.000000,2213.685476,3838.959924,14103.503040,20156.148440,0.003594,0.103306,0.196694,0.700000,0.109827,0.190461,0.699712,10000.000000,0.000000,10.000000
2010-04,10000.000000,30000.000000,3134.793505,6176.967926,21175.324632,30487.086063,0.010974,0.103306,0.196694,0.700000,0.102824,0.202609,0.694567,10000.000000,0.000000,10.000000
2010-05,10000.000000,40000.000000,4034.174492,8668.077878,28437.942195,41140.194565,0.016131,0.103306,0.196694,0.700000,0.098059,0.210696,0.691245,10000.000000,0.000000,10.000000
2010-06,10000.000000,50000.000000,5522.675725,10234.808039,35946.671231,51704.154994,0.011028,0.103306,0.196694,0.700000,0.106813,0.197949,0.695238,10000.000000,0.000000,10.000000
2010-07,10000.000000,60000.000000,6446.374563,11516.101236,43387.191106,61349.666905,-0.005745,0.103306,0.196694,0.700000,0.105076,0.187713,0.707212,10000.000000,0.000000,10.000000
2010-08,10000.000000,70000.000000,7425.569750,15033.310251,50196.912882,72655.792883,0.018306,0.103306,0.196694,0.700000,0.102202,0.206911,0.690887,10000.000000,0.000000,10.000000
2010-09,10000.000000,80000.000000,9538.804536,16136.122873,58143.595243,83818.522652,0.014067,0.103306,0.196694,0.700000,0.113803,0.192513,0.693684,10000.000000,0.000000,10.000000
2010-10,10000.000000,90000.000000,9681.780115,19076.371665,66032.481758,94790.633537,0.010362,0.103306,0.196694,0.700000,0.102139,0.201247,0.696614,10000.000000,0.000000,10.000000
2010-11,10000.000000,100000.000000,10557.369465,21700.563455,73758.893265,106016.826185,0.011701,0.103306,0.196694,0.700000,0.099582,0.204690,0.695728,10000.000000,0.000000,10.000000
2010-12,10000.000000,110000.000000,12552.763930,22873.093103,81697.842375,117123.699407,0.009541,0.103306,0.196694,0.700000,0.107175,0.195290,0.697535,10000.000000,0.000000,10.000000
2011-01,10000.000000,120000.000000,11800.225221,24060.793080,89522.712992,125383.731294,-0.013687,0.103306,0.196694,0.700000,0.094113,0.191897,0.713990,10000.000000,0.000000,10.000000
2011-02,10000.000000,130000.000000,13794.162054,27428.957671,95283.524750,136506.644475,0.008294,0.105078,0.194922,0.700000,0.101051,0.200935,0.698014,10000.000000,0.000000,10.000000
2011-03,10000.000000,140000.000000,16854.866412,28749.911485,103177.117328,148781.895225,0.015530,0.105078,0.194922,0.700000,0.113286,0.193235,0.693479,10000.000000,0.000000,10.000000
2011-04,10000.000000,150000.000000,16628.663517,33187.209874,111674.106507,161489.979898,0.017055,0.105078,0.194922,0.700000,0.102970,0.205506,0.691523,10000.000000,0.000000,10.000000
2011-05,10000.000000,160000.000000,17444.878324,33601.111368,120852.045777,171898.035469,0.002379,0.105078,0.194922,0.700000,0.101484,0.195471,0.703045,10000.000000,0.000000,10.000000
2011-06,10000.000000,170000.000000,19433.051560,34323.208955,128183.965281,181940.225796,0.000232,0.105078,0.194922,0.700000,0.106810,0.188651,0.704539,10000.000000,0.000000,10.000000
2011-07,10000.000000,180000.000000,19598.829028,40252.700645,135288.194240,195139.723913,0.016669,0.105078,0.194922,0.700000,0.100435,0.206276,0.693289,10000.000000,0.000000,10.000000
2011-08,10000.000000,190000.000000,19640.350513,46824.091360,144396.434391,210860.876264,0.027889,0.105078,0.194922,0.700000,0.093144,0.222062,0.684795,10000.000000,0.000000,10.000000
2011-09,10000.000000,200000.000000,21996.690808,44421.670555,152852.042020,219270.403383,-0.007201,0.105078,0.194922,0.700000,0.100318,0.202589,0.697094,10000.000000,0.000000,10.000000
2011-10,10000.000000,210000.000000,25984.527626,47154.212507,161648.569702,234787.309835,0.024063,0.105078,0.194922,0.700000,0.110673,0.200838,0.688489,10000.000000,0.000000,10.000000
2011-11,10000.000000,220000.000000,23599.171034,51822.399101,172337.834847,247759.404982,0.012142,0.105078,0.194922,0.700000,0.095250,0.209164,0.695585,10000.000000,0.000000,10.000000
2011-12,10000.000000,230000.000000,25493.191649,47179.695581,180629.435219,253302.322448,-0.017292,0.105078,0.194922,0.700000,0.100643,0.186258,0.713098,10000.000000,0.000000,10.000000
2012-01,10000.000000,240000.000000,31136.013496,53276.137693,185654.465420,270066.616609,0.025690,0.105078,0.194922,0.700000,0.115290,0.197270,0.687440,10000.000000,0.000000,10.000000
2012-02,10000.000000,250000.000000,32282.164044,52143.635784,196683.521531,281109.321359,0.003723,0.108422,0.191578,0.700000,0.114838,0.185492,0.699669,10000.000000,0.000000,10.000000
2012-03,10000.000000,260000.000000,31778.628247,56350.359494,204857.042222,292986.029963,0.006447,0.108422,0.191578,0.700000,0.108465,0.192331,0.699204,10000.000000,0.000000,10.000000
2012-04,10000.000000,270000.000000,32590.739827,59774.462120,213595.249211,305960.451158,0.009817,0.108422,0.191578,0.700000,0.106519,0.195367,0.698114,10000.000000,0.000000,10.000000
2012-05,10000.000000,280000.000000,32178.832718,60922.638119,222751.172861,315852.643698,-0.000341,0.108422,0.191578,0.700000,0.101879,0.192883,0.705238,10000.000000,0.000000,10.000000
2012-06,10000.000000,290000.000000,37911.085874,63100.926748,229647.035965,330659.048586,0.014750,0.108422,0.191578,0.700000,0.114653,0.190834,0.694513,10000.000000,0.000000,10.000000
2012-07,10000.000000,300000.000000,37592.689650,65466.944685,239335.703553,342395.337888,0.005097,0.108422,0.191578,0.700000,0.109793,0.191203,0.699004,10000.000000,0.000000,10.000000
2012-08,10000.000000,310000.000000,38463.160694,70523.532208,248400.941200,357387.634102,0.014167,0.108422,0.191578,0.700000,0.107623,0.197331,0.695046,10000.000000,0.000000,10.000000
2012-09,10000.000000,320000.000000,43223.571192,70656.517637,258770.535539,372650.624369,0.014325,0.108422,0.191578,0.700000,0.115990,0.189605,0.694405,10000.000000,0.000000,10.000000
2012-10,10000.000000,330000.000000,42635.703448,71836.053069,268343.462298,382815.218814,0.000430,0.108422,0.191578,0.700000,0.111374,0.187652,0.700974,10000.000000,0.000000,10.000000
2012-11,10000.000000,340000.000000,44654.468903,75598.091451,276785.275496,397037.835850,0.010750,0.108422,0.191578,0.700000,0.112469,0.190405,0.697126,10000.000000,0.000000,10.000000
2012-12,10000.000000,350000.000000,44893.502495,77024.325022,286497.463737,408415.291254,0.003384,0.108422,0.191578,0.700000,0.109921,0.188593,0.701486,10000.000000,0.000000,10.000000
2013-01,10000.000000,360000.000000,46409.366034,77265.674748,294889.333407,418564.374190,0.000356,0.108422,0.191578,0.700000,0.110877,0.184597,0.704526,10000.000000,0.000000,10.000000
2013-02,10000.000000,370000.000000,44513.586331,78846.865301,301830.597609,425191.049241,-0.007871,0.109977,0.190023,0.700000,0.104691,0.185439,0.709871,10000.000000,0.000000,10.000000
