Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
1983-02,10000.000000,10000.000000,2137.522490,5902.106808,1994.405155,10034.034454,0.003403,0.209504,0.594922,0.195574,0.213027,0.588209,0.198764,10000.000000,0.000000,10.000000
1983-03,10000.000000,20000.000000,4357.277244,12170.994124,3349.892475,19878.163843,-0.007780,0.209504,0.594922,0.195574,0.219199,0.612280,0.168521,10000.000000,0.000000,10.000000
1983-04,10000.000000,30000.000000,6520.143809,18044.035367,6022.247708,30586.426884,0.023705,0.209504,0.594922,0.195574,0.213171,0.589936,0.196893,10000.000000,0.000000,10.000000
1983-05,10000.000000,40000.000000,8876.995282,24378.485470,8027.337037,41282.817788,0.017158,0.209504,0.594922,0.195574,0.215029,0.590524,0.194447,10000.000000,0.000000,10.000000
1983-06,10000.000000,50000.000000,10930.206635,29909.254585,9455.284679,50294.745899,-0.019267,0.209504,0.594922,0.195574,0.217323,0.594680,0.187997,10000.000000,0.000000,10.000000
1983-07,10000.000000,60000.000000,12719.317043,35076.028764,11504.663259,59300.009066,-0.016498,0.209504,0.594922,0.195574,0.214491,0.591501,0.194008,10000.000000,0.000000,10.000000
1983-08,10000.000000,70000.000000,14167.077578,40500.152256,13988.475456,68655.705290,-0.009297,0.209504,0.594922,0.195574,0.206350,0.589902,0.203748,10000.000000,0.000000,10.000000
1983-09,10000.000000,80000.000000,17022.576844,47792.007881,15233.173318,80047.758044,0.017698,0.209504,0.594922,0.195574,0.212655,0.597044,0.190301,10000.000000,0.000000,10.000000
1983-10,10000.000000,90000.000000,18985.468564,54428.235894,16839.731508,90253.435966,0.002284,0.209504,0.594922,0.195574,0.210357,0.603060,0.186583,10000.000000,0.000000,10.000000
1983-11,10000.000000,100000.000000,20761.661800,59693.337868,19007.918929,99462.918597,-0.007885,0.209504,0.594922,0.195574,0.208738,0.600157,0.191106,10000.000000,0.000000,10.000000
1983-12,10000.000000,110000.000000,22901.416769,65226.206388,21742.385685,109870.008842,0.003719,0.209504,0.594922,0.195574,0.208441,0.593667,0.197892,10000.000000,0.000000,10.000000
1984-01,10000.000000,120000.000000,25506.856495,72670.517922,22414.444245,120591.818662,0.006022,0.209504,0.594922,0.195574,0.211514,0.602616,0.185870,10000.000000,0.000000,10.000000
1984-02,10000.000000,130000.000000,33689.102510,72661.734885,23318.902922,129669.740318,-0.007061,0.318627,0.536482,0.144891,0.259807,0.560360,0.179833,10000.000000,0.000000,10.000000
1984-03,10000.000000,140000.000000,42137.522196,73111.856968,23800.492103,139049.871267,-0.004438,0.318627,0.536482,0.144891,0.303039,0.525796,0.171165,10000.000000,0.000000,10.000000
1984-04,10000.000000,150000.000000,46757.057353,78169.472959,23013.652642,147940.182955,-0.007445,0.318627,0.536482,0.144891,0.316054,0.528386,0.155561,10000.000000,0.000000,10.000000
1984-05,10000.000000,160000.000000,50148.191542,81969.504813,22770.597623,154888.293979,-0.019323,0.318627,0.536482,0.144891,0.323770,0.529217,0.147013,10000.000000,0.000000,10.000000
1984-06,10000.000000,170000.000000,51563.663453,88730.696170,23952.679996,164247.039620,-0.003889,0.318627,0.536482,0.144891,0.313940,0.540227,0.145833,10000.000000,0.000000,10.000000
1984-07,10000.000000,180000.000000,55012.272534,95542.620720,23241.711451,173796.604706,-0.002585,0.318627,0.536482,0.144891,0.316532,0.549738,0.133729,10000.000000,0.000000,10.000000
