start,Strategy,XIRR,Worst wealth drop
1983-02,Equity SIP,0.14757668644827437,-0.22843824576740068
1983-02,Equal-weight SIP,0.09607627034313035,-0.06191342961349333
1983-02,60/20/20 annual rebal,0.11013816678717017,-0.1290795449996578
1983-02,Risk-parity SIP,0.09877487512981675,-0.04908057661556764
1983-02,Max-Sharpe SIP,0.11542407319780139,-0.0705688340271734
1983-02,Optimized SIP,0.10663423279286588,-0.05910425599604663
1983-03,Equity SIP,0.14837869640561846,-0.22758323168253858
1983-03,Equal-weight SIP,0.09802071045263483,-0.06066869796447261
1983-03,60/20/20 annual rebal,0.11143011157771916,-0.12621721770108407
1983-03,Risk-parity SIP,0.10070744153855116,-0.04813844309519455
1983-03,Max-Sharpe SIP,0.11839738994402652,-0.06969593316010947
1983-03,Optimized SIP,0.10907619424290556,-0.05820176663038634
1983-04,Equity SIP,0.1499820494534764,-0.22670056097051805
1983-04,Equal-weight SIP,0.10009202060814537,-0.05941059425228978
1983-04,60/20/20 annual rebal,0.11267899786889156,-0.12126636832064064
1983-04,Risk-parity SIP,0.10262206593447519,-0.04716180198818698
1983-04,Max-Sharpe SIP,0.12101410240192287,-0.06878794370145114
1983-04,Optimized SIP,0.11133146862428452,-0.057270277251458834
1983-05,Equity SIP,0.14517107126965842,-0.22580471111474976
1983-05,Equal-weight SIP,0.0989657751794612,-0.058214029706130654
1983-05,60/20/20 annual rebal,0.11081121193855051,-0.11881165714707886
1983-05,Risk-parity SIP,0.10262127590826878,-0.04614097038830467
1983-05,Max-Sharpe SIP,0.12013349940055269,-0.0678273342174659
1983-05,Optimized SIP,0.11088203783791938,-0.05629056431409085
1983-06,Equity SIP,0.1443297529845331,-0.2250035458055104
1983-06,Equal-weight SIP,0.10046034874971838,-0.05702980841043748
1983-06,60/20/20 annual rebal,0.11283191148424317,-0.11944207213864544
1983-06,Risk-parity SIP,0.10514480470918587,-0.045101546261359204
1983-06,Max-Sharpe SIP,0.12005740405076323,-0.06684541889044937
1983-06,Optimized SIP,0.11211121772017087,-0.05529046708964125
1983-07,Equity SIP,0.1438429305901344,-0.22435046601387065
1983-07,Equal-weight SIP,0.100897014637859,-0.05587192629938953
1983-07,60/20/20 annual rebal,0.11348777554032793,-0.11911436883637283
1983-07,Risk-parity SIP,0.10568735313052127,-0.04403711632590945
1983-07,Max-Sharpe SIP,0.12042715469844303,-0.06574640047548519
1983-07,Optimized SIP,0.11255591138845913,-0.05426392908816824
1983-08,Equity SIP,0.14188120899134585,-0.2236750862776966
1983-08,Equal-weight SIP,0.10252885241454464,-0.05472747275300649
1983-08,60/20/20 annual rebal,0.11436528782815572,-0.11557799822443826
1983-08,Risk-parity SIP,0.1084073566407049,-0.04290660658058454
1983-08,Max-Sharpe SIP,0.12177414227627671,-0.06453037090979041
1983-08,Optimized SIP,0.11458144702741142,-0.05316904791130761
1983-09,Equity SIP,0.14306324954601737,-0.22296890743213538
1983-09,Equal-weight SIP,0.1020265128543199,-0.05356399932038591
1983-09,60/20/20 annual rebal,0.11376498834272614,-0.11300121421819764
1983-09,Risk-parity SIP,0.10688552229191224,-0.041704706563089444
1983-09,Max-Sharpe SIP,0.12191176482028808,-0.06322622003419032
1983-09,Optimized SIP,0.11388379114252073,-0.05190258329219466
1983-10,Equity SIP,0.14338881197803097,-0.22220554239315293
1983-10,Equal-weight SIP,0.10110040715206646,-0.05228647967746336
1983-10,60/20/20 annual rebal,0.1139147237641506,-0.1085251555818264
1983-10,Risk-parity SIP,0.10470245738917036,-0.04042760506044618
1983-10,Max-Sharpe SIP,0.12311343171293096,-0.061841395281028944
1983-10,Optimized SIP,0.11340142838098305,-0.05053052357819188
1983-11,Equity SIP,0.14356557908317047,-0.22142510037850083
1983-11,Equal-weight SIP,0.1018078158503672,-0.05100816229366323
1983-11,60/20/20 annual rebal,0.11498572242397523,-0.10871871223705054
1983-11,Risk-parity SIP,0.10553732721669362,-0.03910955676586725
1983-11,Max-Sharpe SIP,0.12316675643667492,-0.06042861555496071
1983-11,Optimized SIP,0.1138322626259483,-0.04911107078487509
1983-12,Equity SIP,0.14143743581992366,-0.22060570515706934
1983-12,Equal-weight SIP,0.09931735367154082,-0.04968527621512042
1983-12,60/20/20 annual rebal,0.11211734008731433,-0.11964433437928879
1983-12,Risk-parity SIP,0.10323267153552504,-0.037725828883886425
1983-12,Max-Sharpe SIP,0.11866445571103583,-0.058895587794101534
1983-12,Optimized SIP,0.11045998527313003,-0.04761803553767152
1984-01,Equity SIP,0.14088512521361854,-0.2197283353133187
1984-01,Equal-weight SIP,0.09929924315808704,-0.04827490236127252
1984-01,60/20/20 annual rebal,0.111650701069339,-0.12070356677984384
1984-01,Risk-parity SIP,0.10337383852959532,-0.0362536300718852
1984-01,Max-Sharpe SIP,0.11775825462037971,-0.05726862340971839
1984-01,Optimized SIP,0.1101035178243826,-0.04602643627089409
1984-02,Equity SIP,0.14186023876774403,-0.21879652085346712
1984-02,Equal-weight SIP,0.0997893502326384,-0.046774987062372375
1984-02,60/20/20 annual rebal,0.11275264498461489,-0.11855461600787265
1984-02,Risk-parity SIP,0.10358616417616097,-0.034888596971489494
1984-02,Max-Sharpe SIP,0.11764876739877103,-0.05556159462562982
1984-02,Optimized SIP,0.11008996658905663,-0.044295673005713465
1984-03,Equity SIP,0.13948714371801013,-0.21782217857209463
1984-03,Equal-weight SIP,0.09668139518056931,-0.04523618408640073
1984-03,60/20/20 annual rebal,0.10996911137390505,-0.11525774655188592
1984-03,Risk-parity SIP,0.10011003017221047,-0.03376782708872961
1984-03,Max-Sharpe SIP,0.1139282001320472,-0.05375794699752723
1984-03,Optimized SIP,0.10657957063744232,-0.042530420664067425
1984-04,Equity SIP,0.13438321846026594,-0.21672816951674445
1984-04,Equal-weight SIP,0.09169570905066175,-0.043447189020620613
1984-04,60/20/20 annual rebal,0.10486115716049005,-0.10981536847577189
1984-04,Risk-parity SIP,0.09537461196474749,-0.0325657792395625
1984-04,Max-Sharpe SIP,0.10784186694016384,-0.051815073717413895
1984-04,Optimized SIP,0.10103186247394717,-0.04063191681099532
1984-05,Equity SIP,0.12557666461620862,-0.21556349585056467
1984-05,Equal-weight SIP,0.08439495138627094,-0.041562445439580875
1984-05,60/20/20 annual rebal,0.0972169606807445,-0.10679153907829098
1984-05,Risk-parity SIP,0.08843896414476217,-0.03604950607582991
1984-05,Max-Sharpe SIP,0.1004737772991653,-0.049950944448604484
1984-05,Optimized SIP,0.09382805801799629,-0.04130639840189887
1984-06,Equity SIP,0.1251249020861293,-0.2143219250407873
1984-06,Equal-weight SIP,0.08325932644992391,-0.03959009861232998
1984-06,60/20/20 annual rebal,0.0966716226959604,-0.10672150610157205
1984-06,Risk-parity SIP,0.08710467127433542,-0.035805075633886796
1984-06,Max-Sharpe SIP,0.09820413498552887,-0.04818299966464501
1984-06,Optimized SIP,0.09204011351818223,-0.04106541713280387
1984-07,Equity SIP,0.12471666094145326,-0.2129851222217497
1984-07,Equal-weight SIP,0.08362200054495383,-0.037501887901387976
1984-07,60/20/20 annual rebal,0.09715235116539658,-0.10557408081896824
1984-07,Risk-parity SIP,0.08749207493048099,-0.03554879890264928
1984-07,Max-Sharpe SIP,0.09833136174910208,-0.046249986972123236
1984-07,Optimized SIP,0.09229761117514694,-0.04082617148193912
1984-08,Equity SIP,0.12115986252799696,-0.2115173112011176
1984-08,Equal-weight SIP,0.08064485556944262,-0.03613717021095786
1984-08,60/20/20 annual rebal,0.0939576805869925,-0.10113756649528238
1984-08,Risk-parity SIP,0.08453341725798845,-0.03528417299185438
1984-08,Max-Sharpe SIP,0.09497249793644813,-0.044307692416880706
1984-08,Optimized SIP,0.089136929515817,-0.04058128931842042
1984-09,Equity SIP,0.12420923479341259,-0.2099145237627077
1984-09,Equal-weight SIP,0.08123593172429718,-0.03583723982147913
1984-09,60/20/20 annual rebal,0.09521573166199562,-0.09761354299139247
1984-09,Risk-parity SIP,0.08407680218371168,-0.035011641873126
1984-09,Max-Sharpe SIP,0.09475310039116983,-0.044062276978059645
1984-09,Optimized SIP,0.0889626588162696,-0.040326650469144965
1984-10,Equity SIP,0.12332824753747251,-0.20832645998625365
1984-10,Equal-weight SIP,0.08080566684663681,-0.03554615077622991
1984-10,60/20/20 annual rebal,0.09657942398979912,-0.0922391989010638
1984-10,Risk-parity SIP,0.08379505212447799,-0.03475047748645066
1984-10,Max-Sharpe SIP,0.09299126954451685,-0.043819845767800625
1984-10,Optimized SIP,0.08793944171126722,-0.04007607205276231
1984-11,Equity SIP,0.12009183288024294,-0.20663356248445008
1984-11,Equal-weight SIP,0.07756927779208554,-0.03525241929829903
