Model,Asset,OOS R2 vs hist mean,RMSE,Correlation,Direction hit rate
Historical mean,Equity,0.0,0.19485812529894936,-0.11159934573024258,0.8627450980392157
Historical mean,Bonds,0.0,0.16065005013418882,-0.04910867368077663,0.796078431372549
Historical mean,Gold,0.0,0.1723561346587799,-0.2659484054880929,0.7705882352941177
Historical mean,Pick best asset,,,,0.4764705882352941
Ridge,Equity,-0.5015361849178253,0.23877366260980343,-0.0499275755822074,0.8588235294117647
Ridge,Bonds,0.07619597184107985,0.15440835322828564,0.397020830732335,0.7
Ridge,Gold,-0.6738311161084716,0.22298855043291355,0.12876295749283526,0.6588235294117647
Ridge,Pick best asset,,,,0.37450980392156863
Random forest,Equity,-0.1622603662246629,0.210072998352453,-0.04248337638692261,0.8627450980392157
Random forest,Bonds,-0.041303328386990135,0.16393417283502523,0.0399570161760508,0.792156862745098
Random forest,Gold,-0.13487847810960063,0.18361215418286075,-0.06652947147107911,0.7411764705882353
Random forest,Pick best asset,,,,0.44901960784313727
Gradient boosting,Equity,-0.18724494627534605,0.2123189143034256,0.047433886777746175,0.8411764705882353
Gradient boosting,Bonds,0.03617553144650054,0.15771748357637572,0.22407139186817687,0.7745098039215687
Gradient boosting,Gold,-0.18785664764254406,0.1878489457598743,0.08156087956797488,0.7392156862745098
Gradient boosting,Pick best asset,,,,0.44509803921568625
Trailing 10y mean,Equity,-0.01571107719932363,0.19638287529735413,0.15268824578727186,0.8254901960784313
Trailing 10y mean,Bonds,0.12428781520463272,0.15033550531950718,0.29267224170025147,0.796078431372549
Trailing 10y mean,Gold,-0.0868010240796222,0.17968083838152907,-0.17061189994138964,0.7705882352941177
Trailing 10y mean,Pick best asset,,,,0.44509803921568625
