Month,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.23708896695551143,0.14859794752052014,-0.19097235928984793
1983-02,0.1605592473647304,0.09990041370406014,-0.0899923744702948
1983-03,0.11938152418030543,0.0915898520740271,-0.18858949105458053
1983-04,0.08510919230235434,0.08931396196683272,-0.1236499591731257
1983-05,0.1002987425988541,0.09163085011187715,-0.16860122096791333
1983-06,0.08095031603240124,0.09158569387092838,-0.15684617890416588
1983-07,0.0703296782647801,0.08951535771480804,-0.14741018281892415
1983-08,0.07619281762861325,0.12463284986333581,-0.09766964178935075
1983-09,0.05892601004121779,0.14171938352991198,-0.09281359618996653
1983-10,0.053794779631239104,0.0594531927523549,0.23734983488706618
1983-11,0.061271277883799546,0.05799038836339512,0.12834360269205775
1983-12,0.02313451241536486,0.06789447195740361,0.24989402310390746
1984-01,0.008958265242028368,0.1114714445829419,0.20845852370507534
1984-02,0.07598760025189744,0.09815778824684677,0.3117140636630185
1984-03,0.0765491044931604,0.10849001592463886,0.4384669876682841
1984-04,0.07425777268115767,0.1850463989455082,0.4303157935872222
1984-05,0.008229988171667063,0.3187395697700561,0.5413141831486279
1984-06,0.008229988171667063,0.32921952318062536,0.4335214078771037
1984-07,0.022832570679229596,0.36308754376704533,0.40033490634171864
1984-08,0.10221524424108802,0.2883612749928045,0.10563095871759419
1984-09,0.11847820934184618,0.23252867015050957,0.13085948309847484
1984-10,0.11847820934184618,0.19180130486331864,0.1458521844509813
1984-11,0.09753968818548206,0.13200583801802707,0.1308590699350164
1984-12,0.08918352880943312,0.13481168691641007,0.19925425382458534
1985-01,0.1273912302097349,0.13975105782038316,0.08464570897402358
1985-02,0.12980837975591572,0.16611841612422448,0.07582869348649383
1985-03,0.12285049216153411,0.32877365762586336,0.10406188118610374
1985-04,0.11982071912410844,0.1323058852698756,0.15328768774948448
1985-05,0.07886376521852424,0.11162330660117954,0.22345387665491873
1985-06,0.09784343923515465,0.09757195430357489,0.17823837577999643
1985-07,0.08760473575981291,0.09139471676647011,0.09142034800927146
1985-08,0.07129581393291265,0.08443904581649998,0.19027950932535123
1985-09,0.10892515372934783,0.08035730610701372,0.2025165167897078
1985-10,0.10892515372934783,0.049408616601569276,0.19816595013706723
1985-11,0.09835277507368846,0.04752734995261047,0.09487322034809285
1985-12,0.07540275613312514,0.06126348192938208,0.09205859912383141
1986-01,0.056386733381467116,0.02628174348787551,0.06664697249107022
1986-02,0.05254250712521894,0.025994047949256752,0.028387901739009708
1986-03,0.04822138836854168,0.033168667085906205,0.016525430997871318
1986-04,-0.016845005798850766,0.018376721407684794,0.02246374805937959
1986-05,0.05511795113116567,0.025318590972557967,0.0286566882461698
1986-06,0.041016354408629906,0.022720162804123794,0.03931687080451357
1986-07,-0.036201207076235815,0.02922882612953404,0.08631250398278077
1986-08,-0.012285543170817882,0.02947778712400405,0.055571810415509876
1986-09,-0.015589976320887766,0.030966382793564253,0.3114000774415759
1986-10,-0.015887004919993848,0.04022171541868653,0.31159740957509574
1986-11,-0.004639820855535885,0.04636932769022308,0.21796951919592114
1986-12,0.031237478497388102,0.05573558033514134,0.29742717680627384
1987-01,0.033504884162317616,0.08254287286756323,0.29654152235207126
1987-02,0.04912979990713799,0.07761193664707634,0.3101517728250703
1987-03,0.015898068658977835,-0.0022641082415306244,0.15705521485425344
1987-04,0.06788280855432988,0.08019176390351572,0.31866148927748655
1987-05,0.07827046036019053,0.07041645390796537,0.41248269628173034
1987-06,0.06499649909590294,0.06858846381871074,0.3728566792874361
1987-07,0.07185397809105742,0.0825596463394187,0.4305775363284492
1987-08,0.07469607026019456,0.08064743701619262,0.33315963712246727
1987-09,0.12732848327643487,0.11886030358552441,0.16356384986417707
1987-10,0.283875035980049,0.17222203373656303,0.1920899936480818
1987-11,0.2665865709209633,0.16304072650807938,0.27764118830461104
1987-12,0.2713543056514352,0.16055937974604775,0.23631624116069733
1988-01,0.3401655759844017,0.14575231249741363,0.1765245036091738
1988-02,0.34865120038020714,0.17372438251237876,0.15449069705327062
1988-03,0.34425390569962877,0.18335973859571297,0.18801408179957882
1988-04,0.34460306083992626,0.2075916279060936,0.1655132026548582
1988-05,0.32217222813162427,0.22767380781047036,0.17006409219177146
1988-06,0.3234932676110628,0.19940304877189702,0.082375496044322
1988-07,0.330117669192631,0.21615883664500538,0.059755626569725565
1988-08,0.3339668709094331,0.28015846526407495,0.06074649605362991
1988-09,0.3297605371599411,0.28052529740277266,0.13894406878380985
1988-10,0.3189983802238532,0.2764626750395741,0.10678925983628187
1988-11,0.2590397488121366,0.1585884226161214,0.10531357362129783
1988-12,0.24587163735091147,0.22826510535191077,0.09809106391038891
1989-01,0.22765593905890621,0.2610606877620426,0.1392114584310985
1989-02,0.17181058106170402,0.17470437109406517,0.12663505326977556
1989-03,0.2166809645987934,0.1541246790965755,0.1800324084922729
1989-04,0.2335731833419608,0.25541864989410606,0.13734083464888125
1989-05,0.21438770415409372,0.2624567946319884,0.36692194243549375
1989-06,0.1337309898670276,0.20155248080331029,0.11488259803282352
1989-07,0.14424313861450463,0.13699257102163678,0.11488259803282352
1989-08,0.11858987945002414,0.15201018891990575,0.11488259803282352
1989-09,0.11428134136567912,0.20489110771495375,0.11355605430802333
1989-10,0.13038398157170683,0.0866788471020698,0.11355605430802333
1989-11,0.15468580282958208,0.06598384289902443,0.12060087022417194
1989-12,0.15754252405073926,0.03791033163877811,0.15805547081983942
1990-01,0.21538258512626948,0.08301552851173172,0.11367878441248509
1990-02,0.2499971823155946,0.1029446372958094,0.1272451757321282
1990-03,0.25708214874818264,0.17039801707208305,0.11938527306570311
1990-04,0.26640547757429484,0.2574407519048563,0.11690709379426532
1990-05,0.19535129260084794,0.2405914042776389,0.09265935794702179
1990-06,0.05342151028556706,0.2052379628797794,0.0861985584352093
1990-07,0.06426469066759122,0.17685374952819222,0.07859444103564335
1990-08,0.12000253831140226,0.07302553527975122,0.1264113366828178
1990-09,0.12025444530834556,0.02654949187744427,0.13010650236456112
1990-10,0.129288151687523,0.08857793637617979,0.10077236485948607
1990-11,0.18943499397675567,0.18450570225320032,0.07494724249950906
1990-12,0.1871656456033221,0.13291542662736913,0.0821534451677308
1991-01,0.05545473599779255,0.11043273998902098,0.11866021560519086
1991-02,0.33480296050350056,0.12575658421188946,0.1767494508335165
1991-03,0.33499703603495157,0.1254505686540631,0.17358648766140203
1991-04,0.3131529310929269,0.13480744307532422,0.14651588269205795
1991-05,0.3225072027101422,0.11821827035414866,0.1479037321499686
1991-06,0.3198672835858859,0.11165668279919323,0.2073509601725989
1991-07,0.2275901004662833,0.1362589364727146,-0.07995030867159361
1991-08,0.2137619207555129,0.1350042902101991,-0.07725353407087925
1991-09,0.21212202680868886,0.15077676271845522,-0.06297564294686846
1991-10,0.20255743389949946,0.16612519079518595,-0.05119216138719673
1991-11,0.18740194386759923,0.15850653919227692,-0.04652817833864385
1991-12,0.1231245743628446,0.15810935811638857,-0.053267802867312045
1992-01,0.10108521563589534,0.132665288457487,-0.12048231697910719
1992-02,0.16159201672318615,0.132665288457487,-0.11836397006265727
1992-03,0.17918092230131785,0.13515279959350626,-0.12704352121148027
1992-04,0.17918092230131785,0.13004046065611996,-0.12704352121148027
1992-05,0.19179556719758953,0.1326699921698067,-0.12704352121148027
1992-06,0.13169265216244552,0.132665288457487,-0.11705687582424004
1992-07,0.030840104636528552,0.05992055434719262,0.08717689495129431
1992-08,0.06356379532514095,0.06232686313716537,0.08894148996581337
1992-09,0.06356379532514095,0.05543270042664212,0.08501283546461941
1992-10,0.03559663465143719,0.06814550080517393,0.08856490612488416
1992-11,-0.00322082796747361,0.06612580015286038,0.08856490612488416
1992-12,-0.004349434549662905,0.06429030329677488,0.08366468110456568
1993-01,0.03571323701187125,0.08707278794492364,0.09740320794712522
1993-02,0.09287267828089298,0.08865011059443932,0.09489628524683619
1993-03,0.09558090444068569,0.08946926320579324,0.09828042673350121
1993-04,0.09558090444068569,0.08946926320579324,0.10010935617874572
1993-05,0.08900486874290632,0.0609896942314991,0.10291743009704525
1993-06,0.011528065502802875,0.10718371412796879,0.09889203194366808
1993-07,0.03299085886572806,0.07144972503685966,0.0917070884146679
1993-08,0.029554128973993156,0.10426553841837628,0.09287899743391372
1993-09,0.004163291029724589,0.07164645380331532,0.08987684650919046
1993-10,-0.025800969069400922,0.06060331007644418,0.09090508184167423
1993-11,-0.05732141894664035,0.062478645895104414,0.08903311781952057
1993-12,-0.05020190050712556,0.06744734052223621,0.09204005796041072
1994-01,0.08156195645110463,0.1425913414437427,0.2008383129521855
1994-02,0.09370528555186543,0.09498437650149004,0.14256688243440277
1994-03,0.010095602190404885,0.07894557870493388,0.18386564402316394
1994-04,0.007547936496712719,0.10012586265057348,0.10905110368515683
1994-05,0.02337727278344909,0.07046833445919767,0.10654459882227849
