Month,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.14362834970506802,0.15624575355376033,-0.04192315919435521
1983-02,0.14362834970506802,0.15552740325896433,-0.04192315919435521
1983-03,0.14362834970506802,0.15893697025219672,-0.04192315919435521
1983-04,0.14271047228844938,0.15893697025219672,-0.04192315919435521
1983-05,0.12915118882704177,0.15893697025219672,-0.04192315919435521
1983-06,0.11521647687733645,0.15821861995740075,-0.04192315919435521
1983-07,0.11521647687733645,0.15821861995740075,-0.04192315919435521
1983-08,0.1176953588202622,0.16004917225038853,-0.027435385106369357
1983-09,0.10384222799058136,0.18189100525124843,-0.026613843016278515
1983-10,0.14748870866578462,0.03074875571091687,0.17823734092830162
1983-11,0.1282906196516514,0.031467106005712855,0.1637495668403158
1983-12,0.09362553894128325,0.031052155715486293,0.17823734092830162
1984-01,0.06587925269725131,0.22121509036342865,0.37196834353553343
1984-02,0.06175009924795756,0.22298059564680767,0.3881477066471814
1984-03,0.06368029196728632,0.21841903797045834,0.4113228061847582
1984-04,0.062465519408938824,0.22632342033188693,0.4113228061847582
1984-05,0.07050711039230767,0.22632342033188693,0.4084139383395627
1984-06,0.062465519408938824,0.21841903797045834,0.4113228061847582
1984-07,0.07518794477061226,0.24032049721256257,0.38747678106689465
1984-08,0.12441012517305505,0.2721960578241916,0.22491368078208498
1984-09,0.13355975266138567,0.2721960578241916,0.22491368078208498
1984-10,0.1367298301035577,0.2676910950495983,0.22491368078208498
1984-11,0.12627337295334848,0.24626030213420969,0.22491368078208498
1984-12,0.11841698405201537,0.2546955226417263,0.23893711213241967
1985-01,0.1296245061385174,0.11412204318059514,0.2017871963821159
1985-02,0.11237325643972504,0.181027882449057,0.20003269058807419
1985-03,0.11966882410706123,0.31195527769330256,0.20003269058807419
1985-04,0.12061970298127835,0.12444542751584885,0.20303900008503775
1985-05,0.11082709735996149,0.0671085920122044,0.2444020087150234
1985-06,0.1121780816188587,0.055194196210044864,0.300747988043112
1985-07,0.11554368373154,0.057664546815490755,0.20558205767106957
1985-08,0.090326441493993,0.05201513838779406,0.2444020087150234
1985-09,0.08969820835177286,0.050791955172250054,0.25345442005018676
1985-10,0.08954357577962108,0.03459135420932758,0.2578857478631764
1985-11,0.12643526415389236,0.03907240158774464,0.20446401840106382
1985-12,0.12478731817841376,0.03791103349466008,0.20446401840106382
1986-01,0.15615995134909932,0.05526980389061224,-0.05286776134856701
1986-02,0.15599302102627316,0.0546675527935385,-0.05286776134856701
1986-03,0.10925236014140997,0.0546675527935385,-0.012409872070697436
1986-04,0.10442908127654679,0.0563765985318646,-0.018124572301983843
1986-05,0.1075825828757415,0.055971603801631235,-0.015897110225820917
1986-06,0.10507358598684632,0.0582625013854583,-0.018223654975365246
1986-07,0.10658972817121672,0.07377863265889355,0.06929803966582036
1986-08,0.10743367878553604,0.07167460279211386,0.06685845957770109
1986-09,0.10701410308025545,0.07485752649987457,0.0703211295985545
1986-10,0.10629340849494712,0.07485752649987457,0.07156263294930118
1986-11,0.10529719916415267,0.07485752649987457,-0.00297192514038466
1986-12,0.10979652687654384,0.07348597957112532,0.061953750665722215
1987-01,0.16416946568848875,0.11278540460725456,0.094994429204481
1987-02,0.16033681721698875,0.11069744759010408,0.09709487909395575
1987-03,0.14502983901254415,0.004988086248272798,0.13143862093815945
1987-04,0.17017813364481282,0.10816157578914634,0.04885653209069622
1987-05,0.18045251105445048,0.10579844318834873,0.11023147217141646
1987-06,0.17743036207589113,0.10579844318834873,0.0846121870160529
1987-07,0.16068909841819945,0.1086839102361471,0.04506347681487981
1987-08,0.16101691922290656,0.10922379057214224,0.046003678685175096
1987-09,0.1769103246796906,0.11960935802891781,0.04550722030726297
1987-10,0.22852599454737327,0.12881070617759424,0.10632515270087443
1987-11,0.22798211906424626,0.11196145812317969,0.12250900935806319
1987-12,0.22921418963789933,0.10861512412735072,0.12250900935806319
1988-01,0.24920575727786023,0.10203210693236185,0.1745738793886381
1988-02,0.26134529003901896,0.1223429915373349,0.16077195922444187
1988-03,0.2640695686935943,0.1322388104818149,0.1575654988699397
1988-04,0.27157792719177404,0.14513470184513802,0.12108184466187477
1988-05,0.27994709407719376,0.1450930461878743,0.10317344574746148
1988-06,0.278020495835171,0.13854272016806027,0.06227173608925365
1988-07,0.28761688829725623,0.14845027462016924,0.06125077063214792
1988-08,0.29100095454068653,0.1902788936594813,0.05629712248132765
1988-09,0.3142365105865073,0.18018252375872992,0.11805703426799594
1988-10,0.30930527875412495,0.18995579862407966,0.11830454114136384
1988-11,0.25012342961429845,0.09643858253732603,0.11448154994531817
1988-12,0.2425362965937431,0.12294916884127831,0.11448154994531817
1989-01,0.1883653906436566,0.12443096284675745,0.04022885833617698
1989-02,0.18019175256184097,0.06634413412914426,0.03894815953332754
1989-03,0.1891583762351175,0.04363681536844253,0.05017082121630694
1989-04,0.2076748969848907,0.08861666024518902,0.05094502142588582
1989-05,0.21336020376937395,0.09897262255552657,0.12931531342530658
1989-06,0.19588535291351786,0.11931943413844881,0.12603278203180318
1989-07,0.19347832768850093,0.11931943413844881,0.127133426051602
1989-08,0.19508318562235194,0.10544559942525039,0.12603278203180318
1989-09,0.1737985766112303,0.08525260980618941,0.12603278203180318
1989-10,0.17139155138621337,0.022274057758660516,0.127133426051602
1989-11,0.18789880476575044,0.019404464180752472,0.13485697142432002
1989-12,0.18770376734634361,0.002049306119456209,0.14715611790185504
1990-01,0.17855300644071057,0.027362431167265666,0.11234007595955325
1990-02,0.1745276832219532,0.0398613649075362,0.1053477936414612
1990-03,0.18664641008080962,0.10042955122831171,0.1053477936414612
1990-04,0.2215392358062485,0.15935533892373416,0.09949121075912298
1990-05,0.20883122583915756,0.1405636756220876,0.08573335028921132
1990-06,0.08307313781030035,0.15144518624829537,0.08291286878563987
1990-07,0.08265407075957425,0.13669682067159813,0.07713899204849818
1990-08,0.1286771259930749,0.01952812377821817,0.08876317899008387
1990-09,0.14640141739128898,-0.00757298446857138,0.08291544671579558
1990-10,0.1505601823796215,0.05581845884396628,0.0774318521822439
1990-11,0.26551801733551345,0.14110688209823724,0.08448117316011743
1990-12,0.274265774156196,0.1535260601617247,0.08636989400942127
1991-01,0.13875827232516985,0.11496220008182671,0.08333111506462255
1991-02,0.2871853062126776,0.11934544746932757,0.07536972737695236
1991-03,0.2912091078159878,0.1123974939418472,0.07368853727699498
1991-04,0.286585618211732,0.056538205707662686,0.076019703199664
1991-05,0.28197168229252656,0.0200000620167385,0.07368853727699498
1991-06,0.27563137217928924,0.01841380087309281,0.07050190652298409
1991-07,0.27705124740134895,0.117436283934916,-0.026275130694765936
1991-08,0.27394672333907116,0.1170312774894855,-0.02058977581459164
1991-09,0.2674280442741874,0.11816759315488687,-0.013332184525309794
1991-10,0.2615594279459969,0.11513195190013972,-0.005927493878132818
1991-11,0.24674092403728223,0.1154094005777133,-0.0029208406735256294
1991-12,0.24901162373948899,0.11504438384683058,-0.0028926948825976967
1992-01,0.1675669470554069,0.10899114623414205,-0.05422506510304118
1992-02,0.16163853755111213,0.10843589133996813,-0.053456560309413856
1992-03,0.1891141219260132,0.10876682748316632,-0.05422506510304118
1992-04,0.18837524428260263,0.1076427186424019,-0.05422506510304118
1992-05,0.18837524428260263,0.10899114623414205,-0.05422506510304118
1992-06,0.164140303841472,0.10923116943785031,-0.04674769141469958
1992-07,0.11347861252308025,0.11430263702788918,0.06695589058982648
1992-08,0.13822985542565222,0.11710547751588515,0.06719164761495847
1992-09,0.13746448022783092,0.1051890255058302,0.06719164761495847
1992-10,0.11307785208743516,0.11699899394313805,0.06695589058982648
1992-11,0.10645744896384494,0.11567600993683896,0.06695589058982648
1992-12,0.10780658960761437,0.1133829331117934,0.06695589058982648
1993-01,0.11092141737703864,0.2093950064527556,0.09392426067241734
1993-02,0.1478277959280685,0.19499232912550815,0.09392426067241734
1993-03,0.14870126757478289,0.19242777073841463,0.09237812059856645
1993-04,0.1619743671449484,0.20551697962094687,0.09392426067241734
1993-05,0.15870423202945416,0.1671654460489766,0.09392426067241734
1993-06,0.10367616676001905,0.16861054197373918,0.09392426067241734
1993-07,0.1118056365739593,0.16651463179543968,0.09392426067241734
1993-08,0.11510363521716707,0.16861054197373918,0.09392426067241734
1993-09,0.10806599290161734,0.18269509651941324,0.09392426067241734
1993-10,0.09312930423716931,0.15383075150025247,0.09392426067241734
1993-11,0.08514257507979027,0.16809179768595278,0.09392426067241734
1993-12,0.0841316612996598,0.17633308703525155,0.09506412324498814
1994-01,0.12690973563823352,0.19712349126756462,0.13178422968518477
1994-02,0.10625435548354488,0.13001990709911632,0.15236273339030248
1994-03,0.09375890816133958,0.03705743091612,0.22857519761972256
1994-04,0.09962974377698286,0.07263205541603096,0.16942958692460036
1994-05,0.11770494816469194,0.08028925675691151,0.16870184901122023
