Model,Asset,OOS R2 vs hist mean,RMSE,Correlation,Direction hit rate
Historical mean,Equity,0.0,0.16079458707690386,-0.13489614500962208,0.8196078431372549
Historical mean,Bonds,0.0,0.09392645353678855,0.12613365714991162,0.7705882352941177
Historical mean,Gold,0.0,0.1820509606889725,-0.31457516443427225,0.592156862745098
Historical mean,Pick best asset,,,,0.4647058823529412
Ridge,Equity,-0.38069161314535904,0.1889381976468544,-0.08220813862312677,0.7549019607843137
Ridge,Bonds,0.19046502127553178,0.08450953925539312,0.511142885792651,0.6745098039215687
Ridge,Gold,-0.8725066645498576,0.249117743324429,0.07723937089309481,0.5509803921568628
Ridge,Pick best asset,,,,0.37450980392156863
Random forest,Equity,-0.08478657330305261,0.16747252772414192,-0.05906832676024878,0.8372549019607843
Random forest,Bonds,0.2450555272624736,0.08161038553663404,0.46845760968786826,0.7705882352941177
Random forest,Gold,-0.4883401910572389,0.22209770958773023,-0.04156571967240349,0.5882352941176471
Random forest,Pick best asset,,,,0.43333333333333335
Gradient boosting,Equity,-0.23291662918742584,0.17854113030508398,-0.08959204180047127,0.7568627450980392
Gradient boosting,Bonds,0.11226082394911996,0.08849742158407256,0.3402283826798581,0.7313725490196078
Gradient boosting,Gold,-0.16004106992101552,0.19607835631661893,0.04251224312422057,0.5823529411764706
Gradient boosting,Pick best asset,,,,0.41568627450980394
Trailing 10y mean,Equity,-0.07327778044515787,0.16658177830326004,-0.013014549551123328,0.7745098039215687
Trailing 10y mean,Bonds,0.1230763703827572,0.08795667651710469,0.29456077837674516,0.7705882352941177
Trailing 10y mean,Gold,0.027234728979350975,0.17955479347134182,0.040191908841088045,0.6039215686274509
Trailing 10y mean,Pick best asset,,,,0.44509803921568625
