Month,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.06480601914439202,0.036016860927114286,-0.12770242772523452
1983-02,0.06480601914439202,0.03630218703997165,-0.12770242772523452
1983-03,0.06480601914439202,0.03829588100268086,-0.12770242772523452
1983-04,0.06480601914439202,0.03829588100268086,-0.12770242772523452
1983-05,0.06249297211413749,0.03829588100268086,-0.12770242772523452
1983-06,0.039686781133959154,0.03663513766147264,-0.03483626977182897
1983-07,0.039083545171719414,0.03956285918178471,-0.03483626977182897
1983-08,0.043110656971612614,0.05299652816710587,-0.04344517292791208
1983-09,0.03282126624323693,0.14911314684405602,-0.01595909498469027
1983-10,0.03282126624323693,0.15028055396827733,-0.01595909498469027
1983-11,0.03282126624323693,0.15162671524461394,-0.008395154030306632
1983-12,0.03282126624323693,0.15241440303901688,0.12486329678267497
1984-01,0.0202635614650461,0.2027673255171511,0.17010921417492678
1984-02,0.0202635614650461,0.20044265314708326,0.2147138991588865
1984-03,0.0202635614650461,0.17890645640180744,0.2260414461704093
1984-04,0.0202635614650461,0.19871402464229668,0.22908355551787413
1984-05,0.0202635614650461,0.2017689679640513,0.23195832576878891
1984-06,0.0202635614650461,0.18366017383256897,0.23195832576878891
1984-07,0.021602269226660278,0.2017689679640513,0.23195832576878891
1984-08,0.036463303988840866,0.2017689679640513,0.22245851775269115
1984-09,0.036463303988840866,0.2017689679640513,0.22683821459891015
1984-10,0.036463303988840866,0.2017689679640513,0.22889993573215445
1984-11,0.024492988395705906,0.19883655098797096,0.23220452837415337
1984-12,0.024492988395705906,0.20105932410131724,0.23503288739748776
1985-01,0.01918695125602272,0.18219310414558204,0.15877874000797057
1985-02,0.017796346651121682,0.1831150786471731,0.018014102455531682
1985-03,0.01727483610663743,0.19701644172989954,0.021839852972486525
1985-04,0.017018752392131554,0.18219310414558204,0.02083871894674513
1985-05,0.008554596364598089,0.1816502845879418,0.0249640021015043
1985-06,0.0151865700625456,0.1816502845879418,0.02083871894674513
1985-07,0.01632292676693446,0.13831420649749596,0.018014102455531682
1985-08,0.007441029271221354,0.12575034776896274,0.02844737268921035
1985-09,0.006919518726737101,0.12495749512040528,0.14581044876184904
1985-10,0.007441029271221354,0.11381903690629425,0.04928139514709502
1985-11,0.014804372758926683,0.12503373624820172,0.018014102455531682
1985-12,0.016435222621303563,0.0422234592937504,0.02083871894674513
1986-01,0.04369675635948831,0.04395235000923009,-0.065526394921456
1986-02,0.04369675635948831,0.05236197095504151,-0.065526394921456
1986-03,0.04290448607591503,0.05643250505800926,-0.05740956224625895
1986-04,0.0425189717698611,0.0712415066460528,-0.05740956224625895
1986-05,0.041956233905201784,0.06397806217605317,-0.061552890945094994
1986-06,0.038892189655924586,0.0649148881667979,-0.0625592716763001
1986-07,0.03298209185367945,0.06107897411337107,-0.053655656038067594
1986-08,0.036858130250541604,0.05661119700968089,-0.05881233402197436
1986-09,0.03660904137089767,0.020202974157682893,-0.050390067860491425
1986-10,0.04355682930524853,0.02072852518491227,-0.051396448591696536
1986-11,0.05885796556319854,0.06298970556469655,-0.051396448591696536
1986-12,0.06696657496241644,0.08242240163061512,-0.0596329058913073
1987-01,0.13156110512257232,0.04126158310479892,0.1171550577501985
1987-02,0.0933966166868235,0.04126158310479892,0.11850159106063975
1987-03,0.09695385101476413,0.04126158310479892,0.11925261759346642
1987-04,0.1027694960052332,0.02750081951370112,0.05821512776325871
1987-05,0.08016470913364508,0.01705092468604437,0.06510566885361387
1987-06,0.07310946019708879,0.022823941480757205,0.06510566885361387
1987-07,0.09288347243938652,0.02462582553193888,0.052578350796415346
1987-08,0.10948002946059526,0.026797456596527963,0.050803443430520547
1987-09,0.1326059181603241,0.04116806981456555,0.05316655821725389
1987-10,0.12510439811082916,0.04217985697985457,-0.02673961448898486
1987-11,0.1333378742330749,0.038154542415231044,0.006106664709472072
1987-12,0.16911868110367054,0.025873561250028078,0.007881572075366883
1988-01,0.19944046537121854,0.0480137098924655,0.047066718981230736
1988-02,0.2008958010176906,0.055747991993874896,0.03535396513422994
1988-03,0.2008958010176906,0.05649262644447561,0.03535396513422994
1988-04,0.15080885135223204,0.06307402915332949,0.03300171352480195
1988-05,0.154601791802535,0.12787610762018736,0.026009402760562583
1988-06,0.1584543838281582,0.11213843405353353,0.0019085656537533374
1988-07,0.15706398195948634,0.12787610762018736,-0.008245697364870424
1988-08,0.15702488914275065,0.21516540972164416,-0.02835769762325381
1988-09,0.15913219841259393,0.26285312874190675,0.038508819575115386
1988-10,0.17959988189798828,0.2639222834890974,0.03751824789737413
1988-11,0.17435772004243982,0.24521734037238305,0.12172383523470963
1988-12,0.15193074566662226,0.2343661273880195,0.12324327594460799
1989-01,0.12106890928531938,0.23517365935166487,0.03036256210020102
1989-02,0.1190042017188325,0.23517365935166487,0.22279549636927853
1989-03,0.12173969312610085,0.24336346625791358,0.22218221168174765
1989-04,0.1191114538124252,0.2348830824845696,0.3067327787063608
1989-05,0.1484255851153738,0.23266424134763813,0.45924833597432874
1989-06,0.18552540134657114,0.23266424134763813,0.17111231353873127
1989-07,0.2025265033258885,0.23266424134763813,0.17111231353873127
1989-08,0.2025265033258885,0.23266424134763813,0.17297736230156896
1989-09,0.12243336592154554,0.23266424134763813,0.17297736230156896
1989-10,0.11842731945376545,0.23190217134059157,0.17297736230156896
1989-11,0.13350813449909782,0.23025097379770026,0.17811435958346591
1989-12,0.1774325278902243,0.15414861554090614,0.198331196574373
1990-01,0.14501468465869316,0.10626718149270538,0.14449848002470833
1990-02,0.19235623004356944,0.08476591360782494,0.14359152616646462
1990-03,0.17738646433771,0.10571425458334978,0.1427578619659952
1990-04,0.18187811758694125,0.1344965260654651,0.14175180735289364
1990-05,0.1696798180402417,0.12107040446438608,0.12675788373636115
1990-06,0.1323573102676429,0.1672171989114728,0.19127956358497206
1990-07,0.14572440630590877,0.12335174245025593,0.4449159648900781
1990-08,0.06323343354391268,0.061394160054486085,0.2568086336551368
1990-09,0.08779734993328209,0.061397570303057904,0.2391867936118933
1990-10,0.09288231613968939,0.06249597348732722,0.24004519998176702
1990-11,0.15632650080835533,0.12882812769783927,0.0428798712792532
1990-12,0.17076371471494103,0.18122511420004098,0.06745375819762361
1991-01,0.13246139636428073,0.14616967998044786,0.08123798931736227
1991-02,0.14650292240314028,0.13290719894784053,-0.022329633498798854
1991-03,0.11894272436581678,0.13102603092615547,-0.06122247064489586
1991-04,0.11807716680001928,0.12252454949210521,-0.05196168298777845
1991-05,0.11854764546490176,0.10880539722831034,-0.05422588784889473
1991-06,0.12343664434698894,0.07100202559150824,-0.05266197037780986
1991-07,0.12343664434698894,0.07394381721769125,-0.05304197269744928
1991-08,0.0842155439251861,0.12090530369519074,0.0679899998788314
1991-09,0.1267950102085734,0.12028567651734749,0.12310727193313115
1991-10,0.12627149598993317,0.11916729043302739,0.12310727193313115
1991-11,0.11729149067335864,0.11916729043302739,0.2224554956979829
1991-12,0.1291016213623664,0.11235740564798238,0.20400836142382872
1992-01,0.13439484633102455,0.11595273639873259,0.181796023110336
1992-02,0.10309211894566955,0.10967082923852162,0.1095313816370977
1992-03,0.10204190689034404,0.11891161274619476,0.10838233375461188
1992-04,0.101363651797639,0.12598198163506816,0.10922434277941184
1992-05,0.10144283647450893,0.11892642652155151,0.11005220830697261
1992-06,0.10562069125734547,0.12212533964052343,0.11957335497569956
1992-07,0.14249385337434606,0.11406393476403855,0.11070068837937136
1992-08,0.14175921534841857,0.11444525912803698,0.11070068837937136
1992-09,0.14220053841125055,0.11025940130650845,0.11362269356802573
1992-10,0.10515971679507768,0.11973630100174987,0.10947546213887577
1992-11,0.1261952920465894,0.12043558367802126,0.10980108894750869
1992-12,0.10584367743843229,0.11867486283884465,0.10336860832071952
1993-01,0.10626385525988596,0.11612215411524937,0.0684365217162746
1993-02,0.12149042770655205,0.11215450083494348,0.06754338593114748
1993-03,0.12129043396554053,0.10639297592294537,0.06754338593114748
1993-04,0.12157705939224643,0.0980288805261175,0.06819321793330917
1993-05,0.10002854319307714,0.06812723478100867,0.06984316898357049
1993-06,0.09824935200081857,0.06750890534387244,0.07101083442725489
1993-07,0.09819746531432749,0.06341518626917782,0.07933710624489133
1993-08,0.10733854657704715,0.0635971443270102,0.20966870146761457
1993-09,0.11921093884900877,0.09330892241475794,0.07128846960220525
1993-10,0.10967266198575802,0.0877342027635365,0.2691103867643723
1993-11,0.09713744048412633,0.06253989736309525,0.07331433433033457
1993-12,0.09656370291874422,0.06156010187508507,0.07162227545050327
1994-01,0.10076269924544004,0.03877904800673006,0.06641166434038334
1994-02,0.10224786296347776,0.04304735862554831,0.10019446681128247
1994-03,0.12097424588789207,0.044175306401382015,0.10236746481387929
1994-04,0.14754686134971565,0.06393434756347571,0.10290506433746462
1994-05,0.1478713287954405,0.11595818761402586,0.09573208552351378
