Month,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.25627186736461705,0.10873637872820235,0.5886970142043378
1983-02,0.22929800556557878,0.10636155114074847,0.539367002238597
1983-03,0.18962401071742807,0.07589158684444175,0.5234532711777827
1983-04,0.1598978242765058,0.07296396211740329,0.47193336105460315
1983-05,0.13987359943442387,0.0686494960880423,0.42507706471328466
1983-06,0.07412537214206831,0.051565936985319555,0.5749176191131405
1983-07,0.031024355230080514,0.05968390644679561,0.4338102792883755
1983-08,0.03822797174476378,0.0832116369948497,0.3019827239423731
1983-09,-0.044420015326835136,0.11019953997494417,0.23529840820190207
1983-10,-0.08019251025414374,0.11076384379621049,0.3312804184320207
1983-11,-0.06491433605740486,0.12365110589208891,0.2832350626716992
1983-12,-0.053398405763560156,0.14707926249934328,0.26799142203555415
1984-01,-0.0614872797299664,0.16276216393683218,0.24382769515926084
1984-02,0.02611052994020513,0.17807931598394233,0.2394071154042544
1984-03,0.034185313945056944,0.19735536005895615,0.25606814273347267
1984-04,0.020325577040550186,0.22165938094819096,0.24730462204316694
1984-05,0.006814855877466802,0.26076235428324535,0.1905101363980792
1984-06,0.04855858515489195,0.2627855227615151,0.24169674844840505
1984-07,0.085519153079708,0.26729121048173715,0.25424442633231636
1984-08,0.0910333788784875,0.24446846902558625,0.0921397780675043
1984-09,0.0947292605881766,0.257380766923174,0.06672496014565513
1984-10,0.12640563446492548,0.26024172428635695,0.07147650737778734
1984-11,0.14632241327879955,0.23760376307551243,0.08977697784370003
1984-12,0.16607200572226735,0.24243930474249764,0.10957792030677302
1985-01,0.14513358935221435,0.23179611946863482,-0.026679069596022148
1985-02,0.08899393032713734,0.2316969255141016,-0.04486441735312266
1985-03,0.09659478995740256,0.23831287656187422,-0.03953008309716635
1985-04,0.0880082445055709,0.19147599608709956,0.0027223102524928378
1985-05,0.08662831596456624,0.14927485337445878,0.07363005130249706
1985-06,0.0737150891312024,0.10713086878328501,0.10289153372348371
1985-07,0.025169744710447237,0.06925320065980714,0.12090050215866088
1985-08,0.00954124006428611,0.07956397524511045,0.15523692431242092
1985-09,0.035373945469174065,0.08923333243923369,0.1577075798657036
1985-10,0.013218209507029052,0.0716101807851412,0.17899176997232494
1985-11,-0.01802900029667262,0.0518218100322359,0.12256366668727514
1985-12,-0.04265587563582077,0.01715783953164112,0.11558946842502804
1986-01,-0.007830797428601988,0.013821459789955803,0.06338577007497331
1986-02,-0.034753688312862824,-0.007834692210892238,0.02397745659834831
1986-03,-0.057230314677849004,-0.04777941847688165,0.028355409286581673
1986-04,-0.05425645674012497,-0.037595098437797056,0.021473890120602787
1986-05,-0.05995616332505363,-0.005094958150944753,-0.06164138006521061
1986-06,-0.08494463760716661,0.014150911355072751,-0.09879788328495206
1986-07,-0.02820805867655357,0.025432310025313445,-0.08289842178340118
1986-08,-0.050201795907161034,0.011055602440227505,-0.055718059466202674
1986-09,-0.034994642435387746,0.005723161533151805,-0.060373380895000606
1986-10,-0.018941751369125737,0.025410550086032935,-0.08082584001797055
1986-11,-0.04514864015047498,0.029748807641472128,-0.13691435082927242
1986-12,-0.05288323460468031,0.03163495037229267,-0.15560091772629261
1987-01,-0.003099525075221654,0.08964027694448667,-0.15261399569954923
1987-02,-0.05085509822001025,0.0923226977515718,-0.22393198558910746
1987-03,-0.10099879423206867,0.08453724922208225,-0.18745831684998557
1987-04,-0.10808770420898092,0.10417858852140026,-0.28044762523543065
1987-05,-0.10187698969348372,0.11795037833997342,-0.3109885164152
1987-06,-0.10873933199337812,0.1144946530949739,-0.34574896404604905
1987-07,-0.14182886258846136,0.10204380791600583,-0.29972512024129083
1987-08,-0.17146453791413788,0.1087547514011813,-0.3471465941061749
1987-09,-0.16679708853643274,0.1410303591949796,-0.3559824105934679
1987-10,-0.0021657682956682245,0.17448741578708055,-0.4079922343563922
1987-11,0.18812094978741986,0.19507682586588765,-0.39213995972291016
1987-12,0.21211442230175412,0.19762557363075267,-0.367552221703608
1988-01,0.3069863031336316,0.16363386946978414,-0.3023633422399655
1988-02,0.24615938359099157,0.15280065518750605,-0.3615184567720907
1988-03,0.2251027239421963,0.16534570234765716,-0.40351329140559816
1988-04,0.2532672769696803,0.1890547003813174,-0.3567753350972704
1988-05,0.27911372483137736,0.21447001138837352,-0.3299934364319639
1988-06,0.2737678546916539,0.2211027510886142,-0.376875775663236
1988-07,0.2754788664497777,0.2342999727942228,-0.38762213657134365
1988-08,0.2862723140085739,0.25726872298691966,-0.36817307796385074
1988-09,0.3036634809042321,0.25215033486206223,-0.32713958947198957
1988-10,0.22005089236461695,0.217543700848767,-0.22206018139695494
1988-11,0.08201742846197489,0.1834317829859307,-0.019495463083758158
1988-12,0.061899051925232235,0.18541199450869938,-0.00870253656721684
1989-01,0.030853417126344443,0.18308116140820616,0.010496315390348718
1989-02,0.0202680836682613,0.19543168978576947,0.024002817946274638
1989-03,0.042107403309091684,0.21716674852299594,0.005219185057605519
1989-04,0.04156001486145999,0.2099012190758215,0.020795476073514924
1989-05,0.032820931457094304,0.19601208187232239,0.046445644126368923
1989-06,0.04176802229997241,0.1821209460515501,0.0445741263508575
1989-07,0.03455521070531034,0.15528796183799493,0.07382004373016415
1989-08,-0.0062812564749916144,0.14262479042740028,0.08942796342775444
1989-09,-0.008162598858884179,0.13749442812888016,0.10150784229902116
1989-10,0.004166095634579259,0.13205599401285822,0.10131434430878603
1989-11,0.009436376403437169,0.11077179114387248,0.1322677381769197
1989-12,0.00843874242830231,0.10780986434640656,0.12742577214147988
1990-01,0.06760097220569077,0.12430791606441348,0.0779870069347646
1990-02,0.1146188357187447,0.13166115310751036,0.07793708372938009
1990-03,0.08170868096342522,0.12626775212364613,0.04743803227763828
1990-04,0.06914809823828162,0.13520717974623708,0.020344130132209967
1990-05,0.04780964205593495,0.1278168039444605,0.02397646095256059
1990-06,0.008472522694276896,0.11913616922954848,0.036499531664228244
1990-07,0.0030474824221422836,0.12508675878965891,0.04034569149073888
1990-08,0.08616970383995061,0.13062808719905816,0.017021333991865978
1990-09,0.12437633538909537,0.14599086908737396,0.02107404244092921
1990-10,0.14048548159204907,0.14598942942324797,0.04292098570858319
1990-11,0.1350093032536528,0.13628376170744055,0.04945847132183415
1990-12,0.12929672034491754,0.13461685880943217,0.015230048916301031
1991-01,0.14327416360621817,0.12525371012322845,0.032523998697910464
1991-02,0.12443059449889858,0.11354134169505839,-0.08443087824544787
1991-03,0.1296080040335295,0.12237310876386004,-0.11621551160912252
1991-04,0.15114815073884533,0.12466035868493723,-0.11710489777228814
1991-05,0.17221521562952205,0.1420864393441767,-0.14507874498573314
1991-06,0.18937103466183589,0.15440501625092692,-0.1640414575642763
1991-07,0.27498263371691045,0.2238975559463833,-0.3295801580264735
1991-08,0.24975904904342644,0.21003928141700023,-0.2271633915754347
1991-09,0.22912603410583676,0.18105943593570012,-0.14368638930938418
1991-10,0.20454849302726574,0.16076971972698187,-0.11114142768218913
1991-11,0.19865203014133037,0.1631562944334556,-0.11431763256094621
1991-12,0.20291193611172906,0.15917319124542306,-0.11746910997789406
1992-01,0.1674821793476829,0.14211720962405427,-0.14980165177715432
1992-02,0.15811185227441335,0.16074188288514385,-0.11388982361974105
1992-03,0.20335355573099329,0.20134366703940712,-0.19527393910584218
1992-04,0.20366470609525794,0.1981009806087267,-0.1860326983186027
1992-05,0.17921125678572344,0.17718861885870363,-0.14760700460511111
1992-06,0.19356115220666298,0.17461603338900314,-0.10197091132504567
1992-07,0.11409566159738618,0.09609671633543242,0.042900920965196404
1992-08,0.10972760075414756,0.08645113101773966,0.0612587774523663
1992-09,0.10643008604052456,0.07637185673513552,0.07992970983094527
1992-10,0.10217255621445626,0.08206746580553943,0.07101291154500551
1992-11,0.06074269258994491,0.08223458531921558,0.027556876670291358
1992-12,0.04089819999550945,0.07920937902756484,0.010497073320675385
1993-01,0.03222856763193316,0.08216728441444537,0.04932882709388635
1993-02,0.056927651562864015,0.0810529360912868,0.05650086629410639
1993-03,0.0627356307756281,0.06299214006809284,0.10220338553512691
1993-04,0.06344804773434735,0.05455446959438773,0.10810589207801011
1993-05,0.043156544367473196,0.05091931342058753,0.06317403531278622
1993-06,0.021924743712749828,0.04213007193942425,0.0766577203147692
1993-07,0.010745566152148611,0.0373457150449225,0.08349147415369079
1993-08,0.008731940913269454,0.0285359553325968,0.08085606064725921
1993-09,-0.01342335657138452,0.01508943839785791,0.049363231353826746
1993-10,-0.019390363671762223,0.0073606577978849175,0.07623626547606861
1993-11,-0.009014584847591683,0.020284554963275456,0.05079748457737143
1993-12,-0.027332736279265024,0.021398664491621006,0.052529728366609976
1994-01,-0.020530436751753922,0.02978580555586692,0.08295330040023166
1994-02,-0.03563548843839082,0.02940586639025912,0.07678971648179808
1994-03,-0.052129422338437426,0.031060636430627855,0.05702559438730065
