Month,Equity,Bonds,Gold
1973-02,-0.06348288,-0.03857733,0.10286017
1973-03,-0.03982909,-0.02622643,0.10478698
1973-04,-0.01637214,0.00841991,0.08329027
1973-05,-0.03260506,-0.01428295,0.11293247
1973-06,-0.04878023,-0.02737238,0.14180155
1973-07,0.02311155,0.00035950,0.01087749
1973-08,0.01218769,0.01584989,-0.08246032
1973-09,0.03825038,0.04642109,-0.02011428
1973-10,0.04602176,0.03092005,-0.02570924
1973-11,-0.05564226,0.02392124,-0.03685729
1973-12,-0.03521936,0.04029696,0.16599707
1974-01,0.05809829,0.02786629,0.25432234
1974-02,-0.04707119,-0.01514288,0.13615222
1974-03,0.02193791,-0.03419747,0.09450099
1974-04,-0.07075512,-0.03809160,-0.00048732
1974-05,-0.03695255,-0.00874632,-0.06196438
1974-06,0.01276580,0.01730549,-0.04750888
1974-07,-0.11510621,-0.01394098,-0.07314399
1974-08,-0.01927148,0.00991585,0.10461349
1974-09,-0.08470632,0.02396146,-0.00254013
1974-10,0.01488179,0.00738074,0.03697164
1974-11,0.03922563,0.02342581,0.14663045
1974-12,-0.05733169,0.02763575,0.01485024
1975-01,0.09099767,0.00566017,-0.03936632
1975-02,0.08649987,-0.00585451,0.00281365
1975-03,0.02054235,-0.04442876,-0.03861298
1975-04,0.03243083,-0.01017198,-0.02841827
1975-05,0.09228823,0.04232724,0.00551594
1975-06,0.04442506,0.03566475,-0.00319094
1975-07,0.04086902,0.02920973,0.04271129
1975-08,-0.03709707,0.01891653,0.02278822
1975-09,-0.00003282,0.01362044,-0.10899599
1975-10,0.05322949,0.02994149,-0.00361738
1975-11,0.02097915,0.01340994,-0.00644596
1975-12,-0.00254662,0.01954181,-0.01196433
1976-01,0.09111137,0.02037940,-0.06093075
1976-02,0.04082659,0.00212042,-0.00129768
1976-03,0.01094478,0.01352303,0.01820886
1976-04,0.01399927,0.02122183,-0.03469543
1976-05,0.00001154,-0.01298340,-0.00398358
1976-06,0.01844027,0.01874039,0.00140261
1976-07,0.00551403,-0.01217508,-0.08277544
1976-08,0.00021085,0.01653296,-0.06234336
1976-09,0.03418265,0.02861225,0.04628215
1976-10,-0.04876805,0.00021414,-0.00102962
1976-11,0.00415101,0.02250383,0.12948284
1976-12,0.02486541,0.02294642,0.01785846
1977-01,0.00043563,-0.01233668,-0.00917303
1977-02,-0.02835645,-0.01124122,0.02537435
1977-03,-0.00289875,-0.00104776,0.08566899
1977-04,-0.01180261,0.01260809,0.00689339
1977-05,-0.00038472,-0.00111631,-0.01443808
1977-06,0.01204736,0.02185424,-0.03791721
1977-07,0.00777198,-0.00241532,0.00912521
1977-08,-0.03133772,-0.00953837,0.00305981
1977-09,-0.01076751,0.01134946,0.03227010
1977-10,-0.03486204,-0.01939800,0.04932454
1977-11,0.01280041,0.00510236,0.02188373
1977-12,-0.01275871,-0.01317154,-0.02416484
1978-01,-0.07193815,-0.05077177,0.03868190
1978-02,-0.02078072,-0.00928155,0.01740955
1978-03,0.01482296,0.01822416,0.04625095
1978-04,0.08114951,0.03062986,-0.01910974
1978-05,0.06971286,0.00729551,0.01969805
1978-06,-0.01421391,-0.02112955,0.02369937
1978-07,-0.02887721,-0.03291546,-0.00186626
1978-08,0.05322599,0.00336040,0.06958023
1978-09,0.00682827,0.00918286,0.03202845
1978-10,-0.04291814,-0.02294063,0.05403354
1978-11,-0.03973376,0.01153496,-0.07845876
1978-12,0.04238247,0.01699746,0.03264667
1979-01,0.04097811,0.00086901,0.09042961
1979-02,-0.00563993,0.01260339,0.08909973
1979-03,0.02239440,0.00529578,-0.01723794
1979-04,0.01988458,-0.00058776,-0.01621001
1979-05,-0.00901936,0.01330345,0.08990149
1979-06,0.00315934,0.00865966,0.05920412
1979-07,-0.01231161,-0.02144347,0.02969957
1979-08,0.06403600,0.01554854,0.03383734
1979-09,0.03118445,0.00374773,0.19773055
1979-10,-0.02282193,-0.04111252,0.11645411
1979-11,-0.00725948,-0.01653319,-0.00404819
1979-12,0.03217558,0.01308930,0.14752403
1980-01,0.01892784,-0.02945047,0.46313061
1980-02,0.04309598,-0.08218219,-0.01562879
1980-03,-0.06831457,0.01265827,-0.14914216
1980-04,-0.02155049,0.07439287,-0.07616275
1980-05,0.02284634,0.06041400,-0.03184649
1980-06,0.06642394,0.03138559,0.16685034
1980-07,0.03952209,-0.03017754,0.05951538
1980-08,0.03717919,-0.03982830,-0.02287447
1980-09,0.02401071,-0.01879488,0.07041575
1980-10,0.03095440,-0.00646073,-0.02146452
1980-11,0.05140996,-0.03706098,-0.04970608
1980-12,0.00791017,0.02238330,-0.12145497
1981-01,0.00340353,0.02915605,0.03873597
1981-02,0.00139462,0.00905605,-0.07260952
1981-03,0.04423261,0.01754192,0.00068283
1981-04,0.01890999,-0.01319768,-0.00015170
1981-05,-0.00280077,0.00277251,-0.01910477
1981-06,0.02680453,0.06458021,-0.02222510
1981-07,0.01992925,0.00859342,-0.07649686
1981-08,0.02545516,-0.00477672,0.01977801
1981-09,-0.07749089,-0.00061867,0.08946467
1981-10,0.01945987,0.02354705,-0.01139232
1981-11,0.03045987,0.10773753,-0.05705698
1981-12,0.01129527,-0.00693211,-0.00775296
1982-01,-0.04574744,-0.03111154,-0.06115793
1982-02,-0.01250522,0.02736317,-0.01945461
1982-03,-0.01909663,0.05120917,-0.11007260
1982-04,0.06590567,0.02176797,0.07188146
1982-05,-0.00456147,0.01449014,-0.05544785
1982-06,-0.03535297,-0.00623822,-0.03960959
1982-07,0.01265684,0.04092225,0.08716064
1982-08,0.00907805,0.06153436,0.07495891
1982-09,0.12979180,0.05971497,0.21000427
1982-10,0.09456865,0.10143639,-0.02922111
1982-11,0.05537321,0.04113879,-0.00682503
1982-12,0.00277469,-0.00133825,0.06088415
1983-01,0.05010837,0.02423234,0.09218449
1983-02,0.03429347,0.00570793,0.03377685
1983-03,0.04355705,0.02649959,-0.14056666
1983-04,0.04377234,0.01721793,0.03273181
1983-05,0.04498284,0.01060541,0.01226681
1983-06,0.02360592,-0.01362573,-0.05145190
