Month,Equity,Bonds,Gold
1973-02,-0.03325122,-0.00754169,0.13846154
1973-03,-0.01345350,0.00052283,0.13513514
1973-04,-0.01633304,0.00846000,0.08333333
1973-05,-0.02569759,-0.00724465,0.12087912
1973-06,-0.01989791,0.00215995,0.17647059
1973-07,0.01210242,-0.01040481,0.00000000
1973-08,-0.01635423,-0.01279530,-0.10833333
1973-09,0.01995290,0.02797962,-0.03738318
1973-10,0.04235322,0.02730447,-0.02912621
1973-11,-0.06852864,0.00994917,-0.05000000
1973-12,-0.06805283,0.00489352,0.12631579
1974-01,0.01700429,-0.01205357,0.20560748
1974-02,-0.02472861,0.00794829,0.16279070
1974-03,0.04574639,-0.01169680,0.12000000
1974-04,-0.04816639,-0.01470887,0.02380952
1974-05,-0.02705675,0.00143932,-0.05232558
1974-06,0.00457232,0.00907528,-0.05521472
1974-07,-0.11346846,-0.01211600,-0.07142857
1974-08,-0.03764763,-0.00900719,0.08391608
1974-09,-0.10013591,0.00670000,-0.01935484
1974-10,0.02376933,0.01620259,0.04605263
1974-11,0.03743439,0.02166181,0.14465409
1974-12,-0.06091828,0.02372588,0.01098901
1975-01,0.08632772,0.00135550,-0.04347826
1975-02,0.10807531,0.01388698,0.02272727
1975-03,0.04973644,-0.01709326,-0.01111111
1975-04,0.01487030,-0.02700788,-0.04494382
1975-05,0.06712635,0.01831625,-0.01764706
1975-06,0.02894624,0.02031576,-0.01796407
1975-07,0.00431999,-0.00692991,0.00609756
1975-08,-0.06996252,-0.01586075,-0.01212121
1975-09,-0.00852682,0.00501048,-0.11656442
1975-10,0.04971261,0.02650237,-0.00694444
1975-11,0.02041700,0.01285196,-0.00699301
1975-12,-0.01179638,0.01008721,-0.02112676
1976-01,0.09545284,0.02443943,-0.05719424
1976-02,0.04178138,0.00303971,-0.00038153
1976-03,0.00802408,0.01059489,0.01526718
1976-04,0.01095450,0.01815537,-0.03759398
1976-05,-0.00383274,-0.01677772,-0.00781250
1976-06,0.00900582,0.00930315,-0.00787402
1976-07,0.02665357,0.00859257,-0.06349206
1976-08,-0.00560621,0.01062097,-0.06779661
1976-09,0.02437883,0.01886124,0.03636364
1976-10,-0.03108215,0.01881075,0.01754386
1976-11,-0.00366645,0.01454349,0.12068966
1976-12,0.03786506,0.03592173,0.03076923
1977-01,-0.00537249,-0.01807065,-0.01492537
1977-02,-0.02368604,-0.00648854,0.03030303
1977-03,-0.00054181,0.00131356,0.08823529
1977-04,-0.01193671,0.01247068,0.00675676
1977-05,0.00064502,-0.00008733,-0.01342282
1977-06,0.00899768,0.01877501,-0.04081633
1977-07,0.01282439,0.00258601,0.01418440
1977-08,-0.02078620,0.00125060,0.01398601
1977-09,-0.01175334,0.01034159,0.03124138
1977-10,-0.02197859,-0.00630813,0.06333177
1977-11,0.00981142,0.00213609,0.01886792
1977-12,-0.00080140,-0.00121923,-0.01234568
1978-01,-0.03390357,-0.01186973,0.08125000
1978-02,-0.00971992,0.00190914,0.02890173
1978-03,0.00265666,0.00601708,0.03370787
1978-04,0.04829993,-0.00068473,-0.04891304
1978-05,0.05504321,-0.00651817,0.00571429
1978-06,0.00673556,-0.00032705,0.04545455
1978-07,-0.00062291,-0.00477865,0.02717391
1978-08,0.07328143,0.02246630,0.08994709
1978-09,0.00399690,0.00634487,0.02912621
1978-10,-0.02773500,-0.00744057,0.07075472
1978-11,-0.05437652,-0.00388958,-0.09251101
1978-12,0.01922828,-0.00559286,0.00970874
1979-01,0.04185309,0.00171027,0.09134615
1979-02,-0.01056954,0.00758333,0.08370044
1979-03,0.02341161,0.00629598,-0.01626016
1979-04,0.02430902,0.00374787,-0.01194215
1979-05,-0.01893024,0.00316931,0.07900130
1979-06,0.02417638,0.02979195,0.08139535
1979-07,0.01420846,0.00483140,0.05734767
1979-08,0.05014335,0.00228897,0.02033898
1979-09,0.01540451,-0.01161236,0.17940199
1979-10,-0.03352517,-0.05161541,0.10422535
1979-11,-0.00322435,-0.01253575,0.00000000
1979-12,0.04403996,0.02473429,0.16071429
1980-01,0.03312461,-0.01592776,0.48351648
1980-02,0.04395852,-0.08142325,-0.01481481
1980-03,-0.08777826,-0.00849701,-0.16691729
1980-04,-0.01162050,0.08529656,-0.06678700
1980-05,0.05036138,0.08893964,-0.00580271
1980-06,0.06862684,0.03351612,0.16926070
1980-07,0.04969459,-0.02068711,0.06988353
1980-08,0.03504684,-0.04180234,-0.02488336
1980-09,0.02835808,-0.01462924,0.07496013
1980-10,0.03324769,-0.00425066,-0.01928783
1980-11,0.04614695,-0.04188113,-0.05446293
1980-12,-0.01244780,0.00173299,-0.13920000
1981-01,0.00009988,0.02576760,0.03531599
1981-02,-0.03070175,-0.02328588,-0.10233393
1981-03,0.04143302,0.01481389,-0.00200000
1981-04,0.01293794,-0.01898153,-0.00601202
1981-05,-0.01617270,-0.01067415,-0.03225806
1981-06,0.00857589,0.04568094,-0.03958333
1981-07,-0.02016251,-0.03105274,-0.11279826
1981-08,0.00802565,-0.02169239,0.00244499
1981-09,-0.08302683,-0.00661592,0.08292683
1981-10,0.01727247,0.02135088,-0.01351351
1981-11,0.03043731,0.10771328,-0.05707763
1981-12,0.01179369,-0.00644267,-0.00726392
1982-01,-0.04804120,-0.03344047,-0.06341463
1982-02,-0.01913896,0.02046160,-0.02604167
1982-03,-0.02744541,0.04226199,-0.11764706
1982-04,0.05469314,0.01101973,0.06060606
1982-05,0.00569647,0.02494442,-0.04571429
