Model,Asset,OOS R2 vs hist mean,RMSE,Correlation,Direction hit rate
Historical mean,Equity,0.0,0.19485812303412572,-0.11159934833555185,0.8627450980392157
Historical mean,Bonds,0.0,0.1606500541767539,-0.04910867822835268,0.796078431372549
Historical mean,Gold,0.0,0.17235613750391957,-0.2659483974832717,0.7705882352941177
Historical mean,Pick best asset,,,,0.4764705882352941
Ridge,Equity,-0.5015361418120736,0.2387736564072229,-0.04992756031126849,0.8588235294117647
Ridge,Bonds,0.07619599002176469,0.15440835559438917,0.39702083385820197,0.7
Ridge,Gold,-0.6738310244614649,0.22298854800923082,0.12876295374979352,0.6588235294117647
Ridge,Pick best asset,,,,0.37450980392156863
Random forest,Equity,-0.1622603753812779,0.21007299673829502,-0.04248338374213816,0.8627450980392157
Random forest,Bonds,-0.041303327053978434,0.16393417685530215,0.03995701434810163,0.792156862745098
Random forest,Gold,-0.13501171570143522,0.18362293516234435,-0.06677736838569845,0.7411764705882353
Random forest,Pick best asset,,,,0.44901960784313727
Gradient boosting,Equity,-0.20167768838873457,0.2136055407514725,0.03643037053577323,0.8352941176470589
Gradient boosting,Bonds,0.03756666961999444,0.15760362550271628,0.22524615569299866,0.7745098039215687
Gradient boosting,Gold,-0.18818016674925575,0.1878745279518353,0.08047094708820401,0.7470588235294118
Gradient boosting,Pick best asset,,,,0.44313725490196076
Trailing 10y mean,Equity,-0.015711082397689813,0.19638287351734798,0.1526882409952966,0.8254901960784313
Trailing 10y mean,Bonds,0.12428782054408583,0.15033550864420114,0.2926722504145288,0.796078431372549
Trailing 10y mean,Gold,-0.08680103465464284,0.17968084222176423,-0.17061192325164426,0.7705882352941177
Trailing 10y mean,Pick best asset,,,,0.44509803921568625
