Date,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.24121025689565695,0.1444936435106264,-0.1923877515206787
1983-02,0.16552445505425345,0.09537223013139158,-0.08558933999045079
1983-03,0.12248042102841704,0.0894215947105639,-0.18745422050191898
1983-04,0.09114160092477983,0.08525089164663523,-0.12087165978914124
1983-05,0.1055113758647933,0.08881189812952298,-0.17169534199392963
1983-06,0.08873778326692609,0.08832582068929236,-0.15199637827258247
1983-07,0.07854869531676287,0.08775935645119176,-0.14234536684872703
1983-08,0.08267856843524024,0.1252983337646332,-0.0945240959748801
1983-09,0.06803419811576195,0.14821095187223302,-0.08689060092243168
1983-10,0.05067114884708345,0.06741722922430396,0.24090248779292178
1983-11,0.05981014179463987,0.06346319511230997,0.12731085010756046
1983-12,0.017007367609090544,0.07570617310900145,0.24818031659710663
1984-01,0.005842395276580311,0.1116284647024736,0.20973960792176433
1984-02,0.07823590941115327,0.10343453268758165,0.3145056563765478
1984-03,0.08213923263625046,0.11122764015071646,0.43154647236323085
1984-04,0.07934084143254941,0.18783586883686945,0.4217991972646217
1984-05,0.012812561415787394,0.3248840927843957,0.5604404254096568
1984-06,0.012812561415787394,0.33037988315539146,0.42500481162212356
1984-07,0.02937296584692351,0.36629895785337635,0.3931133778899093
1984-08,0.09981008834905734,0.2885693062130696,0.09704730743088161
1984-09,0.11369591722683396,0.23271276441537703,0.12229971658815454
1984-10,0.11369591722683396,0.18927856954885522,0.13636002804940728
1984-11,0.09512618633339677,0.12945650285658558,0.12212620458356488
1984-12,0.08866734800115972,0.13502091275870876,0.1904826683829268
1985-01,0.1287034838697015,0.13505474918230945,0.08457487626497376
1985-02,0.13499501776839004,0.16141558274678866,0.07576595770585369
1985-03,0.12428931078977955,0.33002499988817674,0.10398713416692078
1985-04,0.11997142507278291,0.124366463826369,0.15319511306621855
1985-05,0.07825023540013992,0.11254221441518475,0.22337159874220305
1985-06,0.09832697067525953,0.0972989629962497,0.17814242174110478
1985-07,0.08646069043053553,0.09035094740884617,0.09132271496738122
1985-08,0.0690500790788999,0.08345681627510902,0.1901746431546848
1985-09,0.1092169651998454,0.07939286481735533,0.20239077654898613
1985-10,0.11052425515240576,0.04701123313906667,0.1980402099920726
1985-11,0.09720801300586393,0.045744335241059135,0.09478466874132133
1985-12,0.07643080251279377,0.0572628138323368,0.09193909781233019
1986-01,0.056593525300339044,0.025102345893606045,0.06725158825806699
1986-02,0.05278639054674763,0.02482736062803105,0.02721918587200326
1986-03,0.04631213991489006,0.03451451563448557,0.015356686748072805
1986-04,-0.021676199305081963,0.0203011677485437,0.023043895789696497
1986-05,0.05337836845413885,0.027906533085979828,0.02909050182406455
1986-06,0.042391140620695676,0.02530931244647393,0.039202043337491374
1986-07,-0.03608813364806339,0.03133289072229427,0.08655469662516298
1986-08,-0.02039154241996253,0.03153964677634135,0.05448152988374233
1986-09,-0.010727305920703322,0.028595260933026063,0.3020283074619283
1986-10,-0.011314631760624184,0.03512977508978235,0.29884344259515866
1986-11,-0.005258322207335234,0.048219951800983166,0.20026983218959493
1986-12,0.023708716865877583,0.05858310310397015,0.28316413374579835
1987-01,0.035951152848085595,0.08221602898330439,0.3014495331921183
1987-02,0.04950976678069655,0.07728519001902893,0.3108169341090946
1987-03,0.014552436416775857,-0.002638926628932326,0.15765207263227043
1987-04,0.07478708687386156,0.07979669119239258,0.31917698711988723
1987-05,0.08633916438354712,0.07001490325928127,0.4129712899130919
1987-06,0.07478708687386156,0.06819721122575707,0.37334527362629766
1987-07,0.07871449810518151,0.08215971467942933,0.4310729626059367
1987-08,0.0820334940419384,0.08023516449984244,0.32844666785042154
1987-09,0.13201273080238018,0.11680210888891804,0.158215569384453
1987-10,0.2772359988997504,0.17193945820249332,0.18008013008793333
1987-11,0.26876873750037056,0.16433236246811064,0.2667474275006727
1987-12,0.27176491275873194,0.1618532054912137,0.2253814460946056
1988-01,0.35634512945003893,0.14575182123503938,0.18270214887070296
1988-02,0.3504342162445528,0.17372389016968062,0.1566318964176599
1988-03,0.3520592259738193,0.18207056678424283,0.1861751412509585
1988-04,0.33285590719786556,0.20759113640761284,0.16591554681534978
1988-05,0.3163613993704243,0.22767331660896184,0.16929255143066263
1988-06,0.308882644378498,0.19940305198454314,0.08695114774930295
1988-07,0.32294235468408455,0.2161583458141324,0.06612148495844959
1988-08,0.3323752562518758,0.28015797377325435,0.07065070148306933
1988-09,0.3153653944267604,0.28052480599779284,0.13884430255167457
1988-10,0.31438293247182936,0.2764621835109643,0.110886481158687
1988-11,0.26210435331658427,0.15858793141320904,0.10870021308776173
1988-12,0.2486672281959062,0.22826510770777184,0.10473324484567173
1989-01,0.22540843161139448,0.2606480392945004,0.14295197422355477
1989-02,0.1698033985904048,0.17328283677686243,0.13034140802294764
1989-03,0.2147683994275546,0.15522455159446866,0.18644074364093513
1989-04,0.22862713030634343,0.25323812049610434,0.13725545030889486
1989-05,0.21350275700171156,0.26027416533037145,0.3653499758811299
1989-06,0.1328132714790252,0.2015551812315195,0.11182903095748441
1989-07,0.1433213045931012,0.13658575997619984,0.11182903095748441
1989-08,0.11859588755112346,0.1495166792190015,0.11182903095748441
1989-09,0.11283014847914685,0.20243684676982,0.11182903095748441
1989-10,0.13193044530981443,0.08727298844820731,0.11182903095748441
1989-11,0.15078853910158752,0.0665931877906863,0.11890137735006139
1989-12,0.1532830791995675,0.0390503944499567,0.15369720440558837
1990-01,0.21538407840404922,0.08200872377420071,0.11088947727022264
1990-02,0.2500019535637727,0.10334927309320933,0.11946023216852526
1990-03,0.25708285341383375,0.1700694644529071,0.11666620624365226
1990-04,0.266391670221048,0.2585670528365437,0.11417569899578975
1990-05,0.1953524623766171,0.2417167342115701,0.08880365197715033
1990-06,0.05343714677314926,0.2063660758680598,0.08697712654926583
1990-07,0.06428132837243351,0.17799755914110704,0.080162885753898
1990-08,0.1200122328149077,0.07490486019278263,0.12278177555007921
1990-09,0.1202540331544257,0.02843497301053186,0.13075558427788952
1990-10,0.1293009961340099,0.09045539672939451,0.10269492022286857
1990-11,0.18945797022643054,0.18639632144226276,0.07736455525000734
1990-12,0.1871900963209725,0.13270791544117222,0.08161136210066669
1991-01,0.05565653760869002,0.11307863875978237,0.11866021704670629
1991-02,0.3350650206289131,0.12690691817976915,0.17674945054558053
1991-03,0.3341333160240395,0.12718939687768846,0.17358648722356124
1991-04,0.30794839280509145,0.1385216194703325,0.14651588291031922
1991-05,0.31399299094413485,0.11800693303092219,0.14790373228517267
1991-06,0.3082425566513198,0.11161802924776397,0.20735095816199156
1991-07,0.21715549412495605,0.13324741139965396,-0.07995030490853859
1991-08,0.2033206534601798,0.13196641460022235,-0.07725353033705766
1991-09,0.2033206534601798,0.15471668343324596,-0.06297563953342321
1991-10,0.19707564790176432,0.17746492409496878,-0.05119215821491362
1991-11,0.18126786805852238,0.17627599226114132,-0.04652817528490852
1991-12,0.12526581494039785,0.17357855443100886,-0.0532677998736808
1992-01,0.08145675410080508,0.12324933677128558,-0.11204944047831333
1992-02,0.13167777384676946,0.12324933677128558,-0.11204944047831333
1992-03,0.17299697443232923,0.12714521667454207,-0.12323289555292871
1992-04,0.17299697443232923,0.12060321429297134,-0.126330424868243
1992-05,0.16403632623962353,0.12323267354045232,-0.12323289555292871
1992-06,0.10428396589187212,0.12495094292527896,-0.10438926613834715
1992-07,0.03579174711652359,0.05798757900590509,0.08780788147685495
1992-08,0.07058381102987243,0.061317119417301044,0.08958370434423976
1992-09,0.07058381102987243,0.05272322082793908,0.08558849561541029
1992-10,0.04129260376523427,0.06784300224422242,0.08708639444843524
1992-11,0.008852058835142632,0.06502836583872028,0.08708639444843524
1992-12,0.009721315800346225,0.0617154141796631,0.08559093472793865
1993-01,0.04242827055950701,0.08707157039313293,0.0974181956677126
1993-02,0.10244608326328873,0.0886488930909664,0.09490843377868197
1993-03,0.10510044106227262,0.08960775500447284,0.0982925750425021
1993-04,0.10510044106227262,0.08960775500447284,0.10012275480972375
1993-05,0.09684029035043445,0.06098848037217937,0.10293082878228342
1993-06,0.020476147575615507,0.10718250437962613,0.09890152521984817
1993-07,0.04092893319408499,0.07144851143784989,0.09171658181759446
1993-08,0.03742875737609303,0.10426432541226933,0.09288844258064945
1993-09,0.007081786188206411,0.07164302901230557,0.08991542437918477
1993-10,-0.02277987438750896,0.060599888569118375,0.09094093718396123
1993-11,-0.054803039484378695,0.06247522445449156,0.08906903117634189
1993-12,-0.0450046940167202,0.06744391922866728,0.09206705604314168
1994-01,0.08754683726913462,0.14425458229343072,0.20085640565266383
1994-02,0.093503576475705,0.09756863280744217,0.14259455037476268
1994-03,-0.006590680957840746,0.07868177335373565,0.1838648111184633
1994-04,-0.010014880836414069,0.09973293245449986,0.1090627295923485
1994-05,-0.004150614126669143,0.07427310581206749,0.10656761686919652
