Date,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.14362834373591787,0.15624575030003063,-0.04192315565456859
1983-02,0.14362834373591787,0.15552740000995113,-0.04192315565456859
1983-03,0.14362834373591787,0.15893696688605463,-0.04192315565456859
1983-04,0.14271046637751508,0.15893696688605463,-0.04192315565456859
1983-05,0.1291511831157734,0.15893696688605463,-0.04192315565456859
1983-06,0.11521647117388048,0.15821861659597514,-0.04192315565456859
1983-07,0.11521647117388048,0.15821861659597514,-0.04192315565456859
1983-08,0.11769535322331746,0.16004916891620258,-0.027435381656830432
1983-09,0.10384222302499657,0.18189100137071235,-0.02661383956983151
1983-10,0.14748870117515075,0.0307487547105712,0.17823734235295574
1983-11,0.12829061301981462,0.03146710500065069,0.1637495683552176
1983-12,0.09362553549336491,0.031052154739179768,0.17823734235295574
1984-01,0.06587925002586795,0.2212150893059651,0.3719683466033802
1984-02,0.06175009659668132,0.2229805945924724,0.388147709528631
1984-03,0.0636802890216683,0.21841903702654947,0.41132280895558515
1984-04,0.062465516582398115,0.2263234192774824,0.41132280895558515
1984-05,0.07050710709447623,0.2263234192774824,0.40841394114401747
1984-06,0.062465516582398115,0.21841903702654947,0.41132280895558515
1984-07,0.07518794148456574,0.2403204963053053,0.3874767845216779
1984-08,0.1244101214357407,0.2721960567465279,0.22491368639851864
1984-09,0.13355974895398368,0.2721960567465279,0.22491368639851864
1984-10,0.13672982626761596,0.26769109401265895,0.22491368639851864
1984-11,0.12627336902414077,0.2462603011441936,0.22491368639851864
1984-12,0.11841698016596221,0.2546955215252582,0.23893711764150094
1985-01,0.12962450256248392,0.11412204342811895,0.20178720159074148
1985-02,0.1123732528865098,0.1810278824756679,0.20003269575107382
1985-03,0.11966882054969086,0.31195527778042353,0.20003269575107382
1985-04,0.12061969946848768,0.12444542768145742,0.20303900529239072
1985-05,0.11082709395909345,0.06710859214277352,0.24440201367389913
1985-06,0.11217807825155582,0.055194196297168735,0.30074799224884796
1985-07,0.11554368033781813,0.05766454691566945,0.20558206286154015
1985-08,0.09032643784519276,0.0520151385328844,0.24440201367389913
1985-09,0.08969820469561098,0.05079195533097265,0.2534544251161056
1985-10,0.08954357213082367,0.03459135473392186,0.2578857528307931
1985-11,0.12643526061532853,0.039072402063569094,0.2044640234657614
1985-12,0.12478731467556933,0.03791103407903174,0.2044640234657614
1986-01,0.15615994811539952,0.05526980501855526,-0.05286775587811695
1986-02,0.15599301790886852,0.05466755391074251,-0.05286775587811695
1986-03,0.10925235748987787,0.05466755391074251,-0.012409867661533673
1986-04,0.10442907863813691,0.056376599588901406,-0.018124567876412322
1986-05,0.10758258023660028,0.05597160489206906,-0.015897105838042446
1986-06,0.10507358313932087,0.05826250241403474,-0.018223650567490382
1986-07,0.10658972602255938,0.07377863346894242,0.06929804364406113
1986-08,0.10743367673680132,0.07167460357131633,0.06685846305944358
1986-09,0.10701410082521115,0.07485752729297626,0.07032113357247428
1986-10,0.10629340636084357,0.07485752729297626,0.0715626369481805
1986-11,0.10529719716733082,0.07485752729297626,-0.0029719208851989865
1986-12,0.10979652499024206,0.07348598034446092,0.06195375415387809
1987-01,0.16416946253858974,0.11278540586970058,0.09499443148981104
1987-02,0.16033681393960184,0.11069744894609526,0.09709488128698589
1987-03,0.14502983568189007,0.004988087460714963,0.13143862246977198
1987-04,0.17017812894579845,0.10816157687672918,0.04885653489012868
1987-05,0.18045250547672617,0.1057984442608786,0.1102314744621924
1987-06,0.1774303567589267,0.1057984442608786,0.08461218965879574
1987-07,0.16068909299981096,0.10868391130322254,0.04506347971458382
1987-08,0.16101691379193503,0.10922379163454506,0.0460036815855831
1987-09,0.17691031944269286,0.1196093589791421,0.0455072231870962
1987-10,0.2285259890532032,0.128810707108668,0.10632515508401949
1987-11,0.22798211313940647,0.11196145932025367,0.12250901164447223
1987-12,0.22921418376938113,0.10861512540665495,0.12250901164447223
1988-01,0.24920575134754253,0.10203210844849606,0.1745738795146176
1988-02,0.2613452847982365,0.12234299235389388,0.16077195939747455
1988-03,0.2640695635347944,0.1322388108881888,0.15756549905021922
1988-04,0.2715779218765893,0.14513470157680222,0.12108184518224727
1988-05,0.2799470887353518,0.1450930459455058,0.10317344677101616
1988-06,0.27802049113414146,0.1385427202915655,0.062271738054841076
1988-07,0.28761688411615344,0.14845027443297104,0.061250772635750746
1988-08,0.29100095046303687,0.19027889289969302,0.05629712471690482
1988-09,0.31423650695678196,0.18018252280796712,0.1180570346323207
1988-10,0.30930527525611656,0.18995579738562177,0.11830454144577185
1988-11,0.25012342666708787,0.09643858288087678,0.11448155069291331
1988-12,0.242536293601135,0.12294916839707434,0.11448155069291331
1989-01,0.18836538834081368,0.12443096356268174,0.04022885875846451
1989-02,0.18019175025705764,0.06634413609893397,0.0389481599775423
1989-03,0.1891583736794096,0.04363681721006981,0.05017082144438288
1989-04,0.2076748946322983,0.0886166605421411,0.050945021643021636
1989-05,0.21336020148698367,0.09897262256248043,0.1293153120728067
1989-06,0.19588535161681114,0.11931943469161516,0.1260327807204196
1989-07,0.193478326444898,0.11931943469161516,0.127133424731205
1989-08,0.19508318436041924,0.10544559959140706,0.1260327807204196
1989-09,0.17379857557441028,0.08525261002584786,0.1260327807204196
1989-10,0.17139155040249718,0.022274059264470906,0.127133424731205
1989-11,0.18789880368943362,0.01940446579655832,0.13485697002372066
1989-12,0.18770376628401098,0.0020493083831614883,0.14715611626932523
1990-01,0.17855300465085835,0.027362436669136448,0.11234007625156277
1990-02,0.1745276813530529,0.039861370662455854,0.1053477940192567
1990-03,0.18664640806745147,0.10042955606642179,0.1053477940192567
1990-04,0.22153923255296573,0.15935534154343545,0.09949121124315666
1990-05,0.20883122327750667,0.14056367749037624,0.08573335076789736
1990-06,0.08307313823414417,0.1514451867084471,0.08291286845129443
1990-07,0.08265407102944264,0.13669682190636867,0.07713899154396293
1990-08,0.12867712460334318,0.019528127839915314,0.08876317838846087
1990-09,0.14640141473989665,-0.00757298026436727,0.08291544643170001
1990-10,0.1505601806289857,0.05581846275608679,0.07743185230533489
1990-11,0.26551801518761553,0.14110688347161573,0.0844811729086427
1990-12,0.2742657720610066,0.15352606083119785,0.08636989396851862
1991-01,0.13875827100915458,0.11496219743211254,0.08333111599201619
1991-02,0.2871853010438031,0.11934544479192294,0.07536972862038181
1991-03,0.29120910225399677,0.11239749179418816,0.07368853856298385
1991-04,0.28658561246137726,0.05653820789199046,0.07601970438923533
1991-05,0.2819716768391245,0.020000066287429848,0.07368853856298385
1991-06,0.27563136656311354,0.018413805274177145,0.07050190796655931
1991-07,0.2770512417907627,0.11743628932733462,-0.02627512727091988
1991-08,0.2739467177842111,0.1170312829213406,-0.020589772624317836
1991-09,0.26742803890821476,0.1181675988061278,-0.013332181576570906
1991-10,0.26155942273280375,0.1151319571971304,-0.005927490930329131
1991-11,0.2467409190100665,0.11540940593283457,-0.0029208377638777674
1991-12,0.24901161869375252,0.11504438917699876,-0.0028926919532529494
1992-01,0.16756694288572913,0.10899115107193977,-0.054225061010160266
1992-02,0.16163853342997964,0.1084358961079719,-0.05345655620519762
1992-03,0.18911411733263844,0.10876683201500788,-0.054225061010160266
1992-04,0.18837523971285972,0.10764272325203791,-0.054225061010160266
1992-05,0.18837523971285972,0.10899115107193977,-0.054225061010160266
1992-06,0.16414029978755412,0.10923117430160477,-0.0467476873074815
1992-07,0.1134786095766744,0.1143026352342562,0.06695589397870837
1992-08,0.13822985202255766,0.1171054759193406,0.06719165097067102
1992-09,0.13746447682778834,0.1051890250468026,0.06719165097067102
1992-10,0.11307784920523284,0.11699899227694587,0.06695589397870837
1992-11,0.10645744613632978,0.1156760081291426,0.06695589397870837
1992-12,0.10780658672560424,0.1133829311562314,0.06695589397870837
1993-01,0.11092141420212692,0.2093950092942204,0.09392426274849763
1993-02,0.14782779166687726,0.19499233104471522,0.09392426274849763
1993-03,0.14870126331788516,0.1924277728545349,0.09237812269528715
1993-04,0.16197436287588232,0.20551698260719065,0.09392426274849763
1993-05,0.15870422781412874,0.16716545156718013,0.09392426274849763
1993-06,0.10367616381418111,0.1686105475819707,0.09392426274849763
1993-07,0.11180563338641082,0.1665146372562685,0.09392426274849763
1993-08,0.11510363201480901,0.1686105475819707,0.09392426274849763
1993-09,0.10806599020475337,0.18269510006313858,0.09392426274849763
1993-10,0.0931293016718091,0.15383075622478995,0.09392426274849763
1993-11,0.0851425727760792,0.16809180328409584,0.09392426274849763
1993-12,0.0841316589974335,0.17633309295969968,0.09506412539254773
1994-01,0.12690973111489115,0.19712349791664655,0.13178423069666628
1994-02,0.10625435214913613,0.13001991203458846,0.1523627324467031
1994-03,0.093758905284402,0.03705743370089741,0.22857519778076202
1994-04,0.09962974092857539,0.07263205779498967,0.16942958599591745
1994-05,0.11770494449681726,0.08028925910471642,0.16870184806696678
