Model,Asset,OOS R2 vs hist mean,RMSE,Correlation,Direction hit rate
Historical mean,Equity,0.0,0.16079458788754106,-0.1348961430558933,0.8196078431372549
Historical mean,Bonds,0.0,0.09392645339313853,0.12613361229956432,0.7705882352941177
Historical mean,Gold,0.0,0.18205096076339894,-0.31457516389140017,0.592156862745098
Historical mean,Pick best asset,,,,0.4647058823529412
Ridge,Equity,-0.38069160938660906,0.1889381983421965,-0.08220812296371446,0.7549019607843137
Ridge,Bonds,0.1904650339572299,0.08450953846420688,0.5111428831175369,0.6745098039215687
Ridge,Gold,-0.8725066810956883,0.24911774452690008,0.07723937731354533,0.5549019607843138
Ridge,Pick best asset,,,,0.37450980392156863
Random forest,Equity,-0.08482906218286401,0.1674758083151891,-0.05913714220859739,0.8372549019607843
Random forest,Bonds,0.24495426433307987,0.08161585854917686,0.468355374604774,0.7705882352941177
Random forest,Gold,-0.48834013525672226,0.22209770551510988,-0.04153520544980274,0.592156862745098
Random forest,Pick best asset,,,,0.43137254901960786
Gradient boosting,Equity,-0.2273281408881911,0.17813603152851748,-0.07379435689885529,0.7588235294117647
Gradient boosting,Bonds,0.11632830184104526,0.08829444821996467,0.3420732864488091,0.7352941176470589
Gradient boosting,Gold,-0.1564748222183765,0.19577672817832611,0.04781670305962457,0.5843137254901961
Gradient boosting,Pick best asset,,,,0.4117647058823529
Trailing 10y mean,Equity,-0.07327777548742587,0.1665817787583321,-0.013014533531234808,0.7745098039215687
Trailing 10y mean,Bonds,0.12307635453185217,0.08795667717751884,0.2945607487649688,0.7705882352941177
Trailing 10y mean,Gold,0.027234715003529364,0.17955479483458914,0.04019190088589299,0.6078431372549019
Trailing 10y mean,Pick best asset,,,,0.44509803921568625
