Date,Equity,Bonds,Gold
1973-02,,,
1973-03,,,
1973-04,,,
1973-05,,,
1973-06,,,
1973-07,,,
1973-08,,,
1973-09,,,
1973-10,,,
1973-11,,,
1973-12,,,
1974-01,,,
1974-02,,,
1974-03,,,
1974-04,,,
1974-05,,,
1974-06,,,
1974-07,,,
1974-08,,,
1974-09,,,
1974-10,,,
1974-11,,,
1974-12,,,
1975-01,,,
1975-02,,,
1975-03,,,
1975-04,,,
1975-05,,,
1975-06,,,
1975-07,,,
1975-08,,,
1975-09,,,
1975-10,,,
1975-11,,,
1975-12,,,
1976-01,,,
1976-02,,,
1976-03,,,
1976-04,,,
1976-05,,,
1976-06,,,
1976-07,,,
1976-08,,,
1976-09,,,
1976-10,,,
1976-11,,,
1976-12,,,
1977-01,,,
1977-02,,,
1977-03,,,
1977-04,,,
1977-05,,,
1977-06,,,
1977-07,,,
1977-08,,,
1977-09,,,
1977-10,,,
1977-11,,,
1977-12,,,
1978-01,,,
1978-02,,,
1978-03,,,
1978-04,,,
1978-05,,,
1978-06,,,
1978-07,,,
1978-08,,,
1978-09,,,
1978-10,,,
1978-11,,,
1978-12,,,
1979-01,,,
1979-02,,,
1979-03,,,
1979-04,,,
1979-05,,,
1979-06,,,
1979-07,,,
1979-08,,,
1979-09,,,
1979-10,,,
1979-11,,,
1979-12,,,
1980-01,,,
1980-02,,,
1980-03,,,
1980-04,,,
1980-05,,,
1980-06,,,
1980-07,,,
1980-08,,,
1980-09,,,
1980-10,,,
1980-11,,,
1980-12,,,
1981-01,,,
1981-02,,,
1981-03,,,
1981-04,,,
1981-05,,,
1981-06,,,
1981-07,,,
1981-08,,,
1981-09,,,
1981-10,,,
1981-11,,,
1981-12,,,
1982-01,,,
1982-02,,,
1982-03,,,
1982-04,,,
1982-05,,,
1982-06,,,
1982-07,,,
1982-08,,,
1982-09,,,
1982-10,,,
1982-11,,,
1982-12,,,
1983-01,0.0648060132559196,0.0360168639774458,-0.12770243973849044
1983-02,0.0648060132559196,0.03630219003977377,-0.12770243973849044
1983-03,0.0648060132559196,0.03829588365831642,-0.12770243973849044
1983-04,0.0648060132559196,0.03829588365831642,-0.12770243973849044
1983-05,0.062492966240919406,0.03829588365831642,-0.12770243973849044
1983-06,0.03968677487864385,0.036635140648015235,-0.03483627926815543
1983-07,0.039083538912829646,0.039562861611968606,-0.03483627926815543
1983-08,0.04311065072338187,0.05299652833260377,-0.04344518247379478
1983-09,0.03282125993986885,0.14911313343564409,-0.015959104166608718
1983-10,0.03282125993986885,0.15028054035721625,-0.015959104166608718
1983-11,0.03282125993986885,0.15162670151128269,-0.008395162974564776
1983-12,0.03282125993986885,0.15241438918437128,0.12486328873368256
1984-01,0.020263555649182,0.20276730750067148,0.17010920796202217
1984-02,0.020263555649182,0.20044263538141824,0.21471389487408107
1984-03,0.020263555649182,0.17890644087347077,0.22604144242201335
1984-04,0.020263555649182,0.1987140070393995,0.22908355191986882
1984-05,0.020263555649182,0.20176895003081546,0.23195832232964692
1984-06,0.020263555649182,0.1836601577835784,0.23195832232964692
1984-07,0.021602263407098938,0.20176895003081546,0.23195832232964692
1984-08,0.03646329877610275,0.20176895003081546,0.22245851407840295
1984-09,0.03646329877610275,0.20176895003081546,0.22683821116610062
1984-10,0.03646329877610275,0.20176895003081546,0.22889993228226063
1984-11,0.02449298267129285,0.1988365333930258,0.23220452497956015
1984-12,0.02449298267129285,0.20105930624186963,0.23503288412200157
1985-01,0.019186945922690244,0.18219308989111674,0.158778736346849
1985-02,0.017796341334940097,0.1831150643446456,0.01801409378251423
1985-03,0.017274830655401186,0.1970164261923957,0.021839844336523005
1985-04,0.017018747027803472,0.18219308989111674,0.0208387102908326
1985-05,0.008554590660537643,0.18165027038956225,0.024963993560846342
1985-06,0.015186564664594488,0.18165027038956225,0.0208387102908326
1985-07,0.016322921387968158,0.13831419552034582,0.01801409378251423
1985-08,0.007441023542839962,0.12575033794538445,0.02844736427453591
1985-09,0.0069195128633010505,0.12495748538155539,0.1458104444916302
1985-10,0.007441023542839962,0.11381902818741196,0.049281387464042516
1985-11,0.014804367326007001,0.1250337265086864,0.01801409378251423
1985-12,0.01643521720120301,0.042223457094686,0.0208387102908326
1986-01,0.0436967518198422,0.043952347608990756,-0.06552640319395404
1986-02,0.0436967518198422,0.0523619687965869,-0.06552640319395404
1986-03,0.042904481476778986,0.05643250272669448,-0.05740957037186925
1986-04,0.04251896714636315,0.0712415018669376,-0.05740957037186925
1986-05,0.041956229257697354,0.06397805859417356,-0.06155289908799606
1986-06,0.03889218500496406,0.06491488445540758,-0.06255927986599463
1986-07,0.032982087081334086,0.06107897120431718,-0.05365566380535261
1986-08,0.03685812558941319,0.05661119492301802,-0.05881234198406032
1986-09,0.03660903669569358,0.020043348393785923,-0.050390075666725966
1986-10,0.04355682544691536,0.020568899398927948,-0.05139645644472454
1986-11,0.05885796302684133,0.06298970722186928,-0.05139645644472454
1986-12,0.06696657255607262,0.08242240179133457,-0.059632914078357614
1987-01,0.13156110093704196,0.04126158344269066,0.11715505501810869
1987-02,0.09339661301008884,0.04126158344269066,0.11850158832919991
1987-03,0.09695384775411348,0.04126158344269066,0.11925261486894373
1987-04,0.10276949277962068,0.027500822482301047,0.05821512242041826
1987-05,0.08016470501053298,0.017050928991560046,0.06510566347821282
1987-06,0.0731094556535378,0.02282394522430277,0.06510566347821282
1987-07,0.09288346847414233,0.02462582896290867,0.05257834544259184
1987-08,0.10948002669251272,0.026797458436170336,0.050803438047887194
1987-09,0.13260591665540386,0.04116806885919943,0.05316655285673543
1987-10,0.1251043964254402,0.042179855652204605,-0.026739621513847945
1987-11,0.1333378725569229,0.03815454328299997,0.006106659539189081
1987-12,0.1691186786071726,0.025873563435513308,0.00788156693389372
1988-01,0.19944046364275053,0.04801370816283456,0.04706671264742104
1988-02,0.20089579919560316,0.05574798904544909,0.03535395869021173
1988-03,0.20089579919560316,0.056492623428883976,0.03535395869021173
1988-04,0.15080885039850267,0.0630740255970931,0.033001707101334245
1988-05,0.15460179086036496,0.12787610067557206,0.026009396707364924
1988-06,0.1584543833312012,0.11213842777875009,0.0019085596769902594
1988-07,0.1570639814666687,0.12787610067557206,-0.009300003880707192
1988-08,0.15702488885725138,0.21516540076134658,-0.02941200392071129
1988-09,0.15913219818398283,0.26285311810007966,0.03850881559502574
1988-10,0.17959988129156748,0.26392227280763936,0.037518243936748547
1988-11,0.1743577195319686,0.2452173308444717,0.12172383201133238
1988-12,0.15193074578034194,0.23436611819266542,0.12324327273373312
1989-01,0.12106890920372405,0.23517365019056893,0.03036255634715915
1989-02,0.11900420155389424,0.23517365019056893,0.2227954906541733
1989-03,0.1217396930275268,0.24336345688707728,0.22218220639738323
1989-04,0.11911145367437187,0.2348830733342952,0.3067327728029778
1989-05,0.14842558433762815,0.2326642321909786,0.45924833076336335
1989-06,0.18552540008248358,0.2326642321909786,0.17111231041114075
1989-07,0.20252650195629585,0.2326642321909786,0.17111231041114075
1989-08,0.20252650195629585,0.2326642321909786,0.17297735917704704
1989-09,0.12243336510623104,0.2326642321909786,0.17297735917704704
1989-10,0.11842731858935428,0.23190216222172041,0.17297735917704704
1989-11,0.1335081337549159,0.23025096468963885,0.17811435648739843
1989-12,0.17743252667803097,0.15414860770652797,0.19833119324903467
1990-01,0.14501468526139338,0.10626717509448187,0.1444984776830117
1990-02,0.19235623145105912,0.0847659080517551,0.14359152390966373
1990-03,0.17738646583344367,0.10571424832423905,0.14275785966636603
1990-04,0.18187811816371924,0.1344965186175549,0.14175180510928626
1990-05,0.16967981977930818,0.12107039714750463,0.126757881264313
1990-06,0.13235731136613355,0.16721719131041962,0.19127956003185187
1990-07,0.14572440697049285,0.12335173509614326,0.44491595917648896
1990-08,0.06323343081148983,0.061394155344534865,0.25680862923320413
1990-09,0.0877973467375879,0.061397565775029216,0.23918678929947
1990-10,0.09288231241635868,0.06249596872802084,0.240045195676286
1990-11,0.1563265011272502,0.12882811994438984,0.042879868042472395
1990-12,0.17076371528699696,0.18122510583362636,0.06745375514235129
1991-01,0.1324613982391231,0.1461696701867481,0.08123798981737348
1991-02,0.14650292348256247,0.13290718957254574,-0.0223296373593225
1991-03,0.11894272595296601,0.13102602157324758,-0.06122247397743777
1991-04,0.11807716840886734,0.12252454024354514,-0.05196168647990747
1991-05,0.11854764699554728,0.10880538798942839,-0.05422589129983488
1991-06,0.12343664628102005,0.07100201935410527,-0.05266197378605485
1991-07,0.12343664628102005,0.07394381073051123,-0.05304197603330038
1991-08,0.0842155465775871,0.12090529442787973,0.06798999976983679
1991-09,0.12679501303248375,0.12028566724290682,0.12310727185597266
1991-10,0.12627149879896002,0.11916728115803053,0.12310727185597266
1991-11,0.11659454294003807,0.11916728115803053,0.2224554947656077
1991-12,0.12840467355873816,0.11235739655181948,0.20400836053403343
1992-01,0.13439484947227898,0.11595272596205422,0.18179602168043002
1992-02,0.10309212161615909,0.10967081835305034,0.10953138096393002
1992-03,0.10204190951351531,0.11891160227590145,0.10838233307028215
1992-04,0.1013636541789784,0.12598197099895134,0.1092243421296537
1992-05,0.101442839073412,0.11892641604468074,0.11005220766379142
1992-06,0.1056206937639341,0.12212532911208164,0.11957335421241928
1992-07,0.14249385585960697,0.11406392402060124,0.11070068774340765
1992-08,0.14175921778935888,0.11444524812590381,0.11070068774340765
1992-09,0.14220054089487313,0.11025939036088823,0.11362269287053081
1992-10,0.10515971928799246,0.11973629011019822,0.10947546151087983
1992-11,0.1261952940136689,0.1204355731035338,0.1098010882825653
1992-12,0.10584368011338424,0.11867485236825125,0.10336860745520568
1993-01,0.10626386061677556,0.11612214613579018,0.06843652090222335
1993-02,0.1214904333352433,0.11215449316117984,0.06754338509623321
1993-03,0.1212904396356839,0.10639296812494967,0.06754338509623321
1993-04,0.12157706499506475,0.09802887262503296,0.06819321708959697
1993-05,0.10002854871859562,0.06812722975453889,0.0698431680466464
1993-06,0.09824935749959769,0.06750890018162152,0.07101083340463617
1993-07,0.09819747097001505,0.06341518179976208,0.07933710504365735
1993-08,0.10733855240032115,0.06359713979943996,0.20966869934348498
1993-09,0.11921094458223322,0.09330891461762515,0.07128846870648783
1993-10,0.1096726677336861,0.08773419522604796,0.2691103841299789
1993-11,0.09713744590432022,0.06253989270635936,0.07331433317546697
1993-12,0.09656370817215112,0.06156009772206688,0.0716222742728053
1994-01,0.10076270553358382,0.03877904789038186,0.06641166352242305
1994-02,0.1022478693734496,0.04304735795523335,0.10019446548812894
1994-03,0.12097425084287435,0.04417530599938033,0.10236746051571761
1994-04,0.14754686430677946,0.06393434410425404,0.10290506015320842
1994-05,0.14787133179803166,0.11595818203949931,0.09573208159536822
