Look-back (months),Execution,XIRR,Volatility,Sharpe,Worst wealth drop,Annual sell turnover
60,band 3%,0.07959926957007625,0.05798573434967115,1.3458729975808779,-0.1624559985830003,0.10997737910598511
60,band 5%,0.07972938704577405,0.058244120352465095,1.340807856856798,-0.16349635415760588,0.07657271893956104
60,band 10%,0.08017522242014127,0.05893733014268114,1.331543856952377,-0.16524672767193038,0.05970588294159661
60,pro-rata + annual rebal,0.08073520013293656,0.05821728484417156,1.3559321460667493,-0.16394010053487817,0.08208006039682053
60,"smart, never rebalance",0.07962819485288927,0.05904029179116613,1.3134333732447836,-0.1577026542355211,0.0
120,band 3%,0.07569479989004041,0.054730305143482844,1.3895704970819673,-0.16492931633824437,0.07485845384357782
120,band 5%,0.07527146477740548,0.05463094364299504,1.3865254070623987,-0.1643174120513088,0.04226969059321547
120,band 10%,0.07599024591828886,0.054928633436380915,1.395918412936436,-0.1661412366652827,0.02282264890986679
120,pro-rata + annual rebal,0.07470582200027805,0.0546761667903141,1.3850821228949035,-0.16434479451568718,0.046266292131001856
120,"smart, never rebalance",0.07727343806238868,0.05738961074135051,1.3545633362782912,-0.15644658384066712,0.0
180,band 3%,0.07226094222329672,0.05296192391171836,1.400865766049937,-0.16302071587717526,0.04885599929953982
180,band 5%,0.07313898070189516,0.052861422968967516,1.4180017463639731,-0.16251470687151948,0.03464337789341918
180,band 10%,0.07478154857345966,0.05434124149828524,1.409819616834807,-0.16449208758787737,0.011038865530677702
180,pro-rata + annual rebal,0.07396371142213719,0.053203582160361446,1.4261767723735905,-0.16254812828686893,0.04317392963030145
180,"smart, never rebalance",0.07924686985559895,0.057876648167491926,1.3815730688116896,-0.1572395120933776,0.0
